radius,h_err,l_err,u_err,cs_err,sig_err,Btot_err,Breg_err,Bord_err,po_err,pB_err,alphak_err,taue_err,taur_err,dkdc_err,mach_err,gamma_err
6.25,62.68810930104769,34.33895199766347,27.67559398655777,20.488548888627918,24.902486059179125,32.06219749955117,14.086989957507305,23.503157508954466,30.117182542922816,46.445385529503625,26.835998666715298,9.604499621889719,50.07891337921796,76.82918251692425,34.43427272457615,137.56717131847685
6.750000000000001,62.686220820538686,34.33889160673933,27.67452458063375,20.47528786253178,25.112411716092133,34.11873493111413,14.21162835120929,24.437876594429166,29.958366114343484,46.65408949436677,26.74710187040605,9.599569621484754,50.074299293773315,76.92186685745878,34.425524307084174,137.5841130233789
7.25,62.68440902479811,34.33883366969533,27.67349859108556,20.46255761982892,25.098529220920472,34.529581381671676,15.001981420595282,22.971364293470284,32.962922103406925,46.99565668235761,27.147549486208472,9.59483757040378,50.06987230165443,77.52074583702505,34.41712929074174,137.5632623049175
7.75,62.68266981813634,34.338778055365765,27.672513699628777,20.450330302464277,24.536191622228277,35.16718163239745,15.009936116970499,25.90284269345675,29.699764528685645,46.705833413422646,27.263725496541202,9.590293039904855,50.06562242785185,77.52774786024213,34.40906891992329,137.57005685179894
8.25,62.68099937464906,34.33872464123304,27.671567740642306,20.438579850504432,23.807605239704365,35.784942025850675,15.057443900539807,26.599398988723337,29.05873211790159,46.52034706953952,27.36557147491576,9.585926277324834,50.06154035306163,77.5653979921058,34.40132566530543,137.56276235374588
8.75,62.67939411717294,34.33867331275239,27.670658689263988,20.427281865062156,23.67748381727332,37.11913282821619,15.146967152385201,26.368674058331887,29.803186266588312,46.55804200899047,27.367717455882662,9.581728154287326,50.05761736265827,77.63586536544574,34.39388312901638,137.56795744404582
9.25,62.67785069813176,34.33862396273727,27.669784650555044,20.41641348322426,23.93959233645585,38.52175603982724,15.594537690423833,27.58503273884457,28.99861410003567,46.7584224795775,27.541053786132757,9.577690119470335,50.05384530023894,77.9902528866635,34.386725958225114,137.59681202657976
9.75,62.67636598208111,34.33857649079935,27.668943849625173,20.405953263799642,23.83102011734934,39.95432870216111,15.865580050833334,29.09285008400549,26.791421132856907,46.8867340339569,27.54351157260624,9.57380415548148,50.050216525277015,78.20932947073479,34.379839766323606,137.6543351896795
10.25,62.674937029781596,34.33853080283759,27.66813462262209,20.39588108283347,24.267104571136848,41.523285195094246,16.71307008705769,31.01726877499471,24.472812902810155,47.57546439358132,27.63197855676279,9.57006273943848,50.046723874475,78.91290719175268,34.37321106095012,137.8058331094161
10.75,62.67356108365002,34.338486810571595,27.66735540850028,20.386178037947616,24.192865404328856,42.297363393641156,17.42401310734601,30.89880456672726,24.712353058667556,48.21543229942533,27.70647358437316,9.566458806896282,50.04336062645207,79.52627490159668,34.36682717818402,137.8680076650065
11.25,62.6722355544533,34.33844443111482,27.666604741492723,20.376826360667405,24.001400400914658,42.37373697531654,16.95561609640369,33.618380993777194,21.193688683464483,47.80407678395557,27.492657364467867,9.562985718800626,50.040120469441604,79.12088688184723,34.360676222315206,137.9839237083484
11.75,62.67095800912582,34.33840358658393,27.665881244217942,20.36780933598372,23.765862010882362,42.0499255219197,16.11003400254355,36.77148160797878,16.749057115301223,47.04516246232633,27.240539822025333,9.559637231181947,50.03699747170922,78.41155431593914,34.354747010655686,138.16412052709802
12.25,62.669726159602725,34.33836420374069,27.665183621361813,20.359111228477538,24.040505589557405,41.505529828332804,15.563366951707824,40.46803938665718,10.66155639540244,46.50711594647062,27.115672208377458,9.556407467333473,50.033986054432475,77.96925799224616,34.34902902291688,139.25430900824892
12.75,62.668537852573834,34.338326213663436,27.664510653879955,20.350717214403673,24.115947229817923,41.07795755800226,15.321267591841853,42.42338262129848,5.771775965431902,46.15392912711787,27.047157441023607,9.553290892243904,50.03108096681119,77.7777981029939,34.34351235472666,147.30193492100042
13.25,62.66739106007222,34.338289551445364,27.663861193672368,20.34261331919182,23.760768489681624,41.09120729283682,15.211601886919185,42.79997535554397,4.254206639771481,45.93783431115947,26.987293529432538,9.55028228907873,50.02827726320106,77.69220301362793,34.338187674904056,162.1138920678353
13.749999999999998,62.666283870820635,34.33825415591711,27.663234158686794,20.334786359877814,23.47392669419576,41.07246084985405,15.339061326923758,42.851818347542306,4.096055307300229,45.92846263408815,27.032499757334357,9.547376737525019,50.02557028208498,77.79291407091317,34.333046186148536,162.32971046047496
14.25,62.665214482267096,34.33821996939145,27.66262852841178,20.32722389202657,23.50647602876513,41.01799098892064,15.594087133495623,43.348764029878545,0.8410566157619908,46.019216589855084,27.074186820466313,9.54456959383314,50.022955626715,77.99597958526633,34.32807958883627,1939.7267930064204
14.75,62.66418119324727,34.33818693742809,27.66204333972453,20.31991416075152,23.69433446132818,40.608660910550384,nan,43.47132880721964,nan,46.06102151308378,27.035534288461026,9.541856472405426,50.020429147275415,78.1978144285511,34.323280047645625,143.0958863798703
15.249999999999998,62.66318239721825,34.3381550086168,27.661477683061836,20.312846055473937,22.91056667692403,41.013970597210815,15.789841130490428,42.09388565372674,7.238497977023249,46.61428949841322,26.946400019893712,9.539233228796487,50.017986924431426,78.15433208500139,34.31864016076265,140.1687069488516
15.75,62.66221657601321,34.338124134377324,27.660930698885807,20.306009068100003,22.796107200919106,40.60720956053852,15.408452173169568,38.03061070605685,15.661560273386705,46.88225207762023,26.91410298780627,9.536695944003029,50.01562525414223,77.84971064667981,34.31415293144103,137.72896358948356
16.25,62.66128229407162,34.33809426877443,27.660401574418625,20.29939325432433,22.913794224557876,39.36551955351517,14.863141072941833,35.09690371009122,21.24412149470137,46.57752618872147,26.86235030900397,9.534240909932775,50.01334063362839,77.42491779920789,34.30981174171331,137.5384440890366
16.75,62.66037819310429,34.33806536834697,27.6598895406233,20.292989197796217,22.716485278842786,38.17839253409447,14.563768002718062,31.28717397979475,28.389360605729873,46.33693189827753,26.85036270937495,9.531864615952612,50.01112974839453,77.19745671327564,34.305610328069605,137.46542360627566
