kpc_r,sigma_tot,sigma_HI,sigma_H2,q,\Omega,sigma_sfr,T
1.221815106875,1639.1770014545455,4.047089951,150.8590709,0.9948260923271821,205.77749408919976,0.103020522,5137.210167093685
2.0363585118125,944.1545986980645,4.454608319,133.3521432,0.8980650162516555,127.1822616757038,0.0769702061912908,5365.413179422373
2.8712655016875,542.1482822063158,4.4639207449170435,100.0,1.1952275205148237,89.95483230674355,0.04726119449999999,5599.321267007185
3.6858089066249997,405.0275084384001,4.836417785,78.13707377,1.063815751885744,66.30406721654978,0.03019692688877142,5827.524279335873
4.5207158965000005,324.8665445085714,5.859453915,69.06940492,0.8588421225354406,55.607725305128184,0.02982606226929367,6061.432366920685
5.355622886375,233.88448398328356,6.172138704863384,53.23416866,1.0024936753030973,47.56925223143786,0.029654795499999994,6295.340454505498
6.1701662913125,162.0708735427027,5.471359333,29.935772950000004,1.1320456576066742,40.965193317228504,0.023268181954746368,6523.543466834186
6.9847096951875,101.39491574995128,4.516082892,14.08670837,1.4491306475763244,35.11627083892533,0.015480331959728772,6751.746478865202
7.8196166850625,60.81548207397752,4.454608319,10.85711119,1.8440545883376043,29.007911643978396,0.0118824025,6985.654566450015
8.6545236749375,45.05158006799999,5.286787399705168,16.37893707,2.165795236076167,23.7051728825433,0.011304103838787305,7219.562654034828
