kpc_r,sigma_tot,sigma_HI,sigma_H2,q,\Omega,sigma_sfr,T
1.087921325776271,0.2903818013534898,0.000917334087074396,0.055381546232995564,1.2240168963047293,4.743185524887359e-15,9.313937496799772e-19,6039.530122178506
1.8534955916271185,0.19008297334283478,0.0009027643056137628,0.030935568406694227,1.084091640214582,2.5989803340164883e-15,4.6954817145478485e-19,6243.4295397168335
2.578776474169491,0.15025061831413086,0.0008527634643234861,0.015946574364441725,1.0010002432612035,1.846172519629987e-15,2.431470609186907e-19,6436.597408725228
3.3443507400203387,0.12617117202530675,0.0008029080173603671,0.009460698807809365,0.9672707107148355,1.4294819382260662e-15,1.4870841021412956e-19,6640.496826263557
4.109925005871186,0.11200843203957167,0.0007687886046497512,0.006724614649966139,0.856378386939449,1.1767067260842555e-15,1.1923575248656768e-19,6844.396243801884
4.875499271722034,0.10189319198980058,0.00083308757682686,0.005726641031197542,0.6879793732241581,1.0387119539793038e-15,1.1541690196131405e-19,7048.295661340213
5.5604867735728805,0.09162383142976846,0.0008988933762786138,0.005391842156354082,0.7244447165404165,9.528361277199524e-16,1.2005755307858058e-19,7230.731982515659
6.326061039423728,0.08077125364823519,0.000998111433169147,0.005391842156354082,0.8439591452220057,8.583408559156816e-16,1.2152755464775088e-19,7434.631400053988
7.0916353052745755,0.0733276591241973,0.001060087762480667,0.005076616760491964,0.7901456922466582,7.776106225870782e-16,1.2152755464775088e-19,7638.5308175923155
7.816916187816948,0.06765178940097681,0.001101242452732145,0.004684795720106144,0.6722863661765786,7.255520815783069e-16,1.2152755464775088e-19,7831.69868660071
8.582490453667795,0.06115151430440612,0.0011684444736800974,0.004237268721464272,0.6577219656905796,6.853103871298868e-16,1.2355857226864974e-19,8035.598104139039
9.307771337518643,0.05433011382261854,0.0012407845965137605,0.004070466142706346,0.7673111543194242,6.496935056311872e-16,1.2836396361151324e-19,8228.765973495927
10.073345603369491,0.04690639836196937,0.0013221235882001703,0.003989543607456286,0.9671698782468121,6.058654579021115e-16,1.3369334696383677e-19,8432.665391034254
10.79862648722034,0.04145504709813742,0.001347529642418972,0.0037563013439866747,1.1002997249740518,5.628056326629635e-16,1.420020454936802e-19,8625.833260391142
11.523907369762712,0.036826908318705706,0.0013489410898602937,0.0033299280073932733,1.2002365764401044,5.211188793504046e-16,1.4270598503000734e-19,8819.001129399538
12.329775018922033,0.033271728644681885,0.001376302548666921,0.0027793706833776754,1.2451211361805012,4.786395254925864e-16,1.3107602601210902e-19,9033.632095467798
13.095349287389828,0.03081105563019692,0.001376302548666921,0.002273720983640591,1.2416145958873541,4.444216598205447e-16,1.0835954792297641e-19,9237.53151370311
13.820630163389827,0.028827287684166456,0.0013489410898602937,0.0017868414034863792,1.2208055352923683,4.143305107971478e-16,8.810932910167613e-20,9430.699380969041
14.545911052474574,0.02750616633825632,0.0013358947376377018,0.001376302548666921,1.1819160342737283,3.9090833730668163e-16,6.989184902521339e-20,9623.867251719901
15.311485317016947,0.026246844479512105,0.0013221235882001703,0.0011035288244664056,1.1371771815642135,3.6754555618962087e-16,5.775921450562271e-20,9827.766668909735
16.036766206101696,0.02522747803272048,0.0013221235882001703,0.0009210756674412387,1.097425701294058,3.498442228140073e-16,4.993976859583199e-20,10020.934539660597
16.80234047064407,0.024190959272061777,0.0012700774145972063,0.0007385247884729623,1.056145611892368,3.3230385395794437e-16,4.6651151928492624e-20,10224.83395685043
17.56791473518644,0.02310824602441328,0.0012460902379352668,0.0005921542412825391,1.0529047234903446,3.1747307624044936e-16,4.6352172397557236e-20,10428.733374040266
18.33348899972881,0.02199199505139622,0.0011958243774345793,0.0004653542467685467,1.0772807296465041,3.0460949264909484e-16,4.9874411524728736e-20,10632.6327912301
