kpc_r,sigma_tot,sigma_HI,sigma_H2,q,\Omega,sigma_sfr,T
1.087921325776271,1390.3574084879936,4.392225125946684,265.16862537412015,1.2240168963047293,146.3747052980239,0.14063615570808163,6039.530122178506
1.8534955916271185,910.1233926602611,4.322464543501702,148.12049694421225,1.084091640214582,80.20453310774883,0.07089960586041041,6243.4295397168335
2.578776474169491,719.4047950982003,4.0830589065281195,76.35271116944539,1.0010002432612035,56.97288395578139,0.03671408352382947,6436.597408725228
3.3443507400203387,604.1116314636089,3.8443494222713177,45.29813030844468,0.9672707107148355,44.1138126136564,0.02245428331590317,6640.496826263557
4.109925005871186,536.2999766978022,3.6809845763534548,32.19767132178428,0.856378386939449,36.31316956696013,0.01800404808217032,6844.396243801884
4.875499271722034,487.8678818616887,3.988850124083766,27.419341523349697,0.6879793732241581,32.05465089980132,0.017427419285509407,7048.295661340213
5.5604867735728805,438.6978530633138,4.303930409290219,25.816313737784732,0.7244447165404165,29.404522901437733,0.01812813617709154,7230.731982515659
6.326061039423728,386.7353614422264,4.7789896582188645,25.816313737784732,0.8439591452220057,26.488398813557936,0.018350099626646566,7434.631400053988
7.0916353052745755,351.09519134879037,5.0757343171731195,24.307004399397748,0.7901456922466582,23.997063813037233,0.018350099626646566,7638.5308175923155
7.816916187816948,323.9189444817018,5.272784298330568,22.43095265041527,0.6722863661765786,22.39053723750655,0.018350099626646566,7831.69868660071
8.582490453667795,292.7954181601428,5.594549736987,20.288178980853672,0.6577219656905796,21.148678546828307,0.01865677390965172,8035.598104139039
9.307771337518643,260.13433316132233,5.940916572800784,19.489522866558595,0.7673111543194242,20.04954158377844,0.01938236581464939,8228.765973495927
10.073345603369491,224.58934466303955,6.330370282237883,19.102063163939047,0.9671698782468121,18.697008030859163,0.02018707809366453,8432.665391034254
10.79862648722034,198.4880994038278,6.452015287327435,17.98529170141645,1.1002997249740518,17.368181823979054,0.021441653208191618,8625.833260391142
11.523907369762712,176.32842200841057,6.45877334309259,15.943802446403755,1.2002365764401044,16.081728616753484,0.021547944827900244,8819.001129399538
12.329775018922033,159.3061073342629,6.589780888267652,13.307716263748727,1.2451211361805012,14.770815756701214,0.019791874714823215,9033.632095467798
13.095349287389828,147.52432576389884,6.589780888267652,10.886649231130654,1.2416145958873541,13.71485242206201,0.01636179141140811,9237.53151370311
13.820630163389827,138.02598100665665,6.45877334309259,8.55545413504101,1.2208055352923683,12.786239563199981,0.013304101870058233,9430.699380969041
14.545911052474574,131.70040949275258,6.396306988858692,6.589780888267652,1.1819160342737283,12.063431289284194,0.010553346493481362,9623.867251719901
15.311485317016947,125.67073591191938,6.330370282237883,5.283731519762729,1.1371771815642135,11.3424558640117,0.008721374700635776,9827.766668909735
16.036766206101696,120.7899765645541,6.330370282237883,4.410139933135858,1.097425701294058,10.796192716040265,0.007540674472726687,10020.934539660597
16.80234047064407,115.82709138648367,6.081171528338549,3.536080450700983,1.056145611892368,10.254896933142163,0.007044108540379552,10224.83395685043
17.56791473518644,110.64302551830735,5.966320154646439,2.8352535609920397,1.0529047234903446,9.797219132780267,0.006998964011676621,10428.733374040266
18.33348899972881,105.29837994192386,5.725645597165894,2.2281311072189998,1.0772807296465041,9.400248943151066,0.007530805856761141,10632.6327912301
