radius,h_err,l_err,u_err,cs_err,sig_err,Btot_err,Breg_err,Bord_err,po_err,pB_err,alphak_err,taue_err,taur_err,dkdc_err,mach_err,gamma_err
6.25,62.68810930104769,34.33895199766347,27.67559398655777,20.488548888627918,19.895770610863796,35.43770530671522,14.086989957507305,27.11956722447505,25.200222001223626,45.99447450522324,26.835998666715298,9.604499621889719,50.07891337921796,76.82918251692425,34.434272724576154,137.62270985784255
6.750000000000001,62.68622082053867,34.33889160673934,27.67452458063375,20.47528786253178,19.981028015576214,37.202976709411914,14.21162835120929,28.11294136434799,24.47086605523999,46.093595744815104,26.74710187040605,9.599569621484754,50.074299293773315,76.92186685745878,34.42552430708417,137.65924943554379
7.25,62.68440902479811,34.33883366969533,27.67349859108556,20.46255761982892,20.610370882984853,37.83298326591673,15.001981420595282,27.63152306395613,26.21955737700894,46.53954056854753,27.147549486208472,9.59483757040378,50.06987230165443,77.52074583702503,34.41712929074174,137.65512842510813
7.75,62.68266981813634,34.33877805536576,27.672513699628777,20.450330302464277,19.598638210677755,37.70603975893714,15.009936116970495,29.350962829720594,24.897403702234755,46.42158751455738,27.263725496541202,9.590293039904855,50.06562242785185,77.52774786024213,34.40906891992329,137.62626731421287
8.25,62.68099937464906,34.33872464123304,27.671567740642306,20.438579850504432,19.342241690044382,37.91447997222274,15.057443900539807,29.92159247975411,25.03598222225918,46.37913116080144,27.36557147491576,9.585926277324832,50.06154035306163,77.5653979921058,34.40132566530542,137.61709592098674
8.75,62.67939411717294,34.33867331275239,27.670658689263988,20.427281865062156,19.720148335249842,39.297100671594606,15.146967152385201,31.313536252742814,23.88840276193812,46.41715127381795,27.367717455882662,9.581728154287324,50.05761736265827,77.63586536544574,34.39388312901638,137.65668289995844
9.25,62.67785069813178,34.33862396273728,27.669784650555044,20.41641348322426,19.852497825800487,40.40916043717297,15.594537690423833,32.52091905477618,22.598161192583696,46.568579083352894,27.541053786132757,9.577690119470335,50.05384530023894,77.9902528866635,34.386725958225114,137.72423985098357
9.75,62.676365982081094,34.33857649079935,27.668943849625173,20.405953263799642,19.78690309304367,41.48483586507092,15.865580050833334,34.204298536194955,20.21538795605603,46.664011665348085,27.54351157260624,9.573804155481477,50.050216525277015,78.20932947073479,34.379839766323606,137.87031096104113
10.25,62.674937029781596,34.338530802837596,27.66813462262209,20.39588108283347,19.977080827383087,42.74245298648286,16.71307008705769,36.401519925992815,17.113601599926227,47.129380939320015,27.63197855676279,9.570062739438479,50.046723874475,78.91290719175268,34.37321106095011,138.38875697960043
10.75,62.67356108365002,34.338486810571595,27.66735540850028,20.386178037947616,20.344712423185687,43.397741370293566,17.42401310734601,37.68644674066147,15.652526434060595,47.70935931096014,27.70647358437316,9.566458806896282,50.04336062645207,79.52627490159668,34.36682717818402,139.0887533186627
11.25,62.672235554453316,34.33844443111482,27.666604741492723,20.376826360667405,19.489824605306538,43.25431271050187,16.955616096403695,37.91458236084013,15.172726285635271,47.39600276955408,27.492657364467867,9.562985718800626,50.040120469441604,79.12088688184724,34.360676222315206,138.8154594530596
11.75,62.67095800912582,34.33840358658393,27.665881244217942,20.36780933598372,18.28215827104926,42.598548539920124,16.11003400254355,36.161891238288995,17.355326995583358,46.879810019666714,27.240539822025333,9.559637231181947,50.03699747170922,78.41155431593916,34.354747010655686,138.21284083890956
