radius,b_iso,err_b_iso,b_ani,err_b_ani,B_bar,err_B_bar,pani,err_pani,po,err_po,pB,err_pB
0.6153,17.68052740803736,6.271464718218086,3.7562110810070926,1.3714066889044658,3.4291677663392544,0.7775442486455737,-2.035914611908419,-0.03189172804543559,-4.5974942144076865,2.126960391816586,-6.121115593216542,-3.30799292320249
0.8592,16.78278073145426,5.955475869953211,4.0101876198925295,1.3790040643797759,3.4356981331848173,0.6185032979204328,-2.4548979582266828,-0.03450172830434087,-3.6191661523528342,1.3009898457283002,-4.372377829500467,-2.1158058762012346
1.103,15.804690507025418,5.610947624645706,3.915452156938484,1.327335698458211,3.1124513352257845,0.5172910383461211,-2.569652899621141,-0.03364937063615316,-3.4473793282129073,1.1279027208861996,-4.073995443840337,-1.9145876836021718
1.346,15.242825426640637,5.414164742357035,3.6429805595139384,1.2359905281484203,2.707869591793428,0.44539788332946184,-2.2722741596514098,-0.02663282437346958,-3.390875336108883,1.146173859398936,-4.263493860086028,-2.0051359539995834
1.5900000000000003,15.17298085057005,5.392277630865645,3.358984278645032,1.1415199555582993,2.373191170674999,0.38816336761748527,-2.0019410682862735,-0.020861603202290507,-3.208978207776145,1.1099321486778064,-4.214830267800348,-1.9880388707462981
1.834,14.621771103492438,5.199424372918899,3.1523623305656328,1.0738556672158879,2.139770497697972,0.34873013124826086,-1.9663636902088788,-0.019911536225957163,-3.2124709792680743,1.1148224595492309,-4.3056125105203655,-2.039481322168331
2.089,13.51789063943079,4.810047287264712,3.0494956120029353,1.0362771963124817,1.9981012521318164,0.3175108858968182,-1.9358872184075704,-0.019144745690658584,-3.1835794544872433,1.093244659498043,-4.3284367642796076,-2.038976083160934
2.333,12.35249975164517,4.398320455295252,3.0163371671305654,1.0190074270575054,1.9254739901919113,0.2937099038815204,-2.150536245719476,-0.022094824144139442,-3.178229019481381,1.0137844777216667,-4.1523180383116225,-1.9321190153118555
2.577,11.299362141069482,4.0262037466046,2.978282786178776,1.0006261050072345,1.8575463912799566,0.2725635433248876,-2.1653566507024666,-0.021869924338777845,-3.0433547337580262,0.9255127281431822,-3.8999878150067575,-1.7939277467224368
2.821,10.310379708938338,3.676582908690196,2.9347585378543575,0.9811891558176722,1.791350774539577,0.2535892195735118,-2.335563917370633,-0.024144005396070284,-2.976985559274495,0.8332304996901212,-3.6193203134517935,-1.6477998714709778
