radius,h,l,u,cs,sig,Btot,Breg,Bord,po,pB,alphak,taue_e,tau_r,dkdc,mach no,gamma,e_folding
0.6153,0.2204948393942068,0.02086374047916445,9.102997786933111,8.995918863950395,12.798090674615791,20.89491517012988,3.070424295750727,5.319984185744896,20.599219934716935,6.2636257816726495,0.594948502881728,2.2428335790597864,2.139985727907465,4.871073870278882,1.0119030556635873,3.9630954739733713,0.2523280114161386
0.8592,0.24314614482747943,0.021678286764751156,9.12028209064372,9.048493687982674,12.847364843981776,19.974361543202722,3.1078865808934806,5.575877660842794,20.05301241396545,4.457462711647192,0.4879122662215292,2.3259801302565415,2.236833588282756,5.957924758723841,1.0079337407016582,4.050021012436593,0.24691229920270838
1.103,0.25787316416732153,0.022013398470285942,8.790029220131482,9.100743424177626,12.652594380737792,18.808312425847806,2.8206883862739818,5.243909411030772,20.47991955678318,3.9802072700493785,0.40628091479544926,2.450677090740337,2.5665565432391992,6.0232978012207665,0.9658583711721088,3.5565639213730957,0.2811702593029528
1.346,0.2712919420502797,0.022117778194688468,8.553214471075954,9.15252489843612,12.527018392447431,18.04962249500191,2.448049768580166,4.724353343550575,21.317193638561502,4.025434924064707,0.34614066931289594,2.530471505115303,2.830845759273847,5.459774641218287,0.9345196616222733,2.887572739977396,0.3463116222685452
1.5900000000000003,0.29387688316645855,0.02254273536853035,8.756325128396018,9.204226355029004,12.703976249536602,17.87228996176451,2.1376070040330313,4.327134156287621,22.334139797134533,4.054244677570245,0.2999342896048408,2.519266135205414,2.719546657790588,4.876538669563052,0.9513374389811413,2.3211195766969905,0.4308265761228141
1.834,0.30962082102107646,0.022810812026856538,8.59456169875091,9.255639014823766,12.63065098743386,17.17843216138804,1.9260235018368108,3.9817744779254243,22.762937216295224,4.037926711953315,0.26989681670260246,2.5972055775175216,2.9428174170622,4.673792428161387,0.9285757239436327,1.9971028965031041,0.5007253265472622
2.089,0.32130100571299397,0.023099033488305856,8.101576806028035,9.309066028799409,12.340755936024285,15.890152513712598,1.806686519027231,3.7181707396443295,22.52394994622857,3.782121718091942,0.24731770948934514,2.790060172206934,3.59897082381644,4.971887064826148,0.8702888969703544,1.8736707871373293,0.5337116887688903
2.333,0.33487650239864625,0.023566808515801597,7.623585422210223,9.35990283639016,12.071737066238676,14.556928491376276,1.753363062208147,3.5511199174225925,21.937009568096414,3.3605559639314775,0.2309901832073575,3.0250378775691193,4.454988609973684,5.675352823143561,0.8144940770721094,1.8613247651448839,0.5372517567734403
2.577,0.35299097091129017,0.02423367930207053,7.257206601951877,9.410465019582292,11.883766219014737,13.353824207823084,1.7022887172757448,3.4006872079110497,21.390636348151308,2.9533957183036788,0.21699214269805692,3.2676774729322937,5.368018718973409,6.5342612216794,0.7711846956394093,1.8461281979043622,0.5416741920388589
2.821,0.3748926057602864,0.025072245581538064,6.947905228639631,9.460756981494624,11.737943164330675,12.22491959138805,1.6509958174448887,3.2561802721119553,20.868234292056446,2.57635686320778,0.2049780088982142,3.531251599783166,6.396822587178894,7.588438520657138,0.7343921043770423,1.8279672667880158,0.547055747752603
3.065,0.3996824707004765,0.025678204007198537,7.083471213702239,9.510783008828277,11.858775563959583,12.03304700448234,1.5759741055217038,3.174123729938154,21.190266027731038,2.393287091984255,0.18932291633935802,3.547380924689023,6.247981691224863,7.704496791577817,0.7447831800102145,1.6993340173915774,0.5884658282395638
3.309,0.43827107119584496,0.026315809262137342,8.026046710357072,9.560547276130903,12.482847832765069,13.089660830655026,1.4748860540562492,3.1868310846307155,22.61657198050566,2.3682701507365453,0.17043189606557785,3.2085171264575156,4.4479320577931265,6.618824291718626,0.8394965767697313,1.4534830341878677,0.6880025266746571
3.552,0.4221412836378332,0.02561805286250653,7.093523661708406,9.609851474550208,11.944342732110957,11.985921124025158,1.4114403081256628,2.9936689951176993,22.2114103457952,2.3183636863143433,0.15824110207827144,3.5340558661666175,6.336863613489821,7.028045559768585,0.738151227466335,1.4150796234491196,0.7066740156731229
3.796,0.415593434141733,0.025081321447787224,6.639614033055945,9.659105348893974,11.721040510508681,11.502397562962605,1.3229718381813187,2.8214555247081337,22.365145965393406,2.3724578929065054,0.14586928587276177,3.6965526383313843,7.6432255236226165,6.801061813762035,0.6873943075707547,1.3029865692708935,0.7674676190711357
4.04,0.4241638600357857,0.02521217549723053,6.393343528981224,9.708109338030217,11.624208721401882,10.963922736410003,1.2407840017084657,2.6512102549465184,22.41424777520473,2.3675419264887925,0.1376089064030545,3.858971717260536,8.693136002920847,6.779242087722463,0.658557017269692,1.2075990072291036,0.8280894518906157
4.284,0.44175856253872176,0.02582254835789296,6.108291958339984,9.75686720711453,11.511198388768555,10.125704761504524,1.1710373753319943,2.465135294346679,22.073383720999157,2.276862457144606,0.13289436961505785,4.136839078366943,10.311966275238234,7.245885031411371,0.6260505373985134,1.1492957537464845,0.8700980550395241
4.528,0.4543991221134192,0.02616682742074372,5.867871287833858,9.80538262768895,11.427048697103258,9.543288079013788,1.1287035352664843,2.356651174685491,21.833519303336306,2.156096256698521,0.12726153215584424,4.363749437972201,11.904725363278274,7.7430849639603805,0.5984336879688772,1.114164959652866,0.8975331626939375
4.772000000000001,0.46470691723599034,0.026313260715472384,5.797148817164267,9.853659180908462,11.432477144602158,9.341603033696554,1.1039491503882946,2.3228527253509257,21.91480438137718,2.046256818794113,0.12074860018131639,4.441703192992239,12.537396236489698,7.96914153353542,0.58832447020253,1.082277891441993,0.9239771115232073
5.026999999999999,0.47664016675734466,0.02670711649281358,5.41535046838033,9.903860661849043,11.287713528642904,8.554064020781306,1.0670796798198299,2.198919073915757,21.386904872703933,1.8938807672516507,0.11622738011708755,4.82602699863712,15.770203433942214,8.966416935271498,0.546791867664391,1.067119900474389,0.9371018191633848
5.270999999999999,0.5003066139991125,0.027524406956848765,5.230225250096342,9.951659499170894,11.242365540854097,7.924290057374113,1.0140731161989287,2.063281101274786,21.063098978489414,1.7918788191158919,0.11295254466098448,5.14975884456521,18.21498274476677,9.71242989848037,0.5255631234702202,1.0230777647310654,0.9774428049102095
5.514999999999999,0.5290318763387991,0.028243694651964937,5.585488985862726,9.999229848621125,11.453483521477187,8.136755049320008,0.9735172461461125,2.044192603161328,21.718789619059038,1.7831689388562395,0.10850210277013406,4.948227090717937,15.4935867488598,9.046671164017491,0.558591918619908,0.951178094148012,1.0513278282504168
