radius,h,l,u,cs,sig,Btot,Breg,Bord,po,pB,alphak,taue_e,tau_r,dkdc,mach no,gamma,e_folding
0.421090909090909,0.007627029140702766,0.005435232655599574,9.757745382863861,7.5495677179389435,12.337324170359908,97.68030634485216,0.0,41.82149994995848,nan,-54.896827295664856,9.757745382863861,0.5450771445052063,0.10934248535446245,0.7634648304729054,1.2924906097176856,-96.73121737059267,-0.010337924272872955
0.5895272727272727,0.013201395620699849,0.006614543444974549,10.33169382033516,7.578400561558021,12.813120317415843,81.90475970893526,25.723447534008212,39.60930700328066,-32.150786269026895,-41.0932969761788,10.322945745729843,0.6264950741823434,0.1129576064001917,1.7697940349698151,1.3633079614112,108.87216982367,0.009185083769521686
0.7860363636363636,0.02015273474793678,0.00767272193094201,10.63532028408832,7.61190084488622,13.078649472232216,68.61658867507347,22.765128689719894,32.64965162103384,-26.2757594702992,-30.22408670636845,7.538103315700006,0.7059731770093215,0.12118784449112475,2.4734575187957204,1.397196377201008,96.71767230939282,0.010339372072572968
0.9825454545454544,0.0255222238059404,0.008303247882987535,10.552393207695717,7.645254336733094,13.030844803126115,58.91814594787112,15.649041555564922,24.123899639710192,-23.60524828697132,-28.268783841044286,5.251842909794044,0.769992247366815,0.13544221850164248,2.2020084362455594,1.3802540429550807,54.70936026812959,0.018278407846463895
1.2071272727272726,0.029257421222262093,0.008681338568125849,10.178124327397715,7.683195320410143,12.752478392670874,51.96085165721682,10.42794242353101,18.034508888691445,-22.540254063069213,-29.402588949562134,3.9153075002633164,0.8346574171555632,0.15938309787525234,1.7807035091940415,1.3247254433789908,29.01461492695263,0.03446538933973813
1.4597818181818183,0.032705139689441554,0.009056066784313763,9.688915549202013,7.7256562081863285,12.391967090282986,45.961033582235665,7.2967085941874705,14.167956341042927,-21.071354700656823,-29.890687907626077,3.0786231338883425,0.9146475193658378,0.1948767096094807,1.5452388543463769,1.2541220173550254,16.75925433207172,0.05966852582971593
1.7264727272727272,0.03492809537662101,0.009288476943244597,9.008489692818555,7.770224314087939,11.896607602037713,40.8097224427407,5.046838983391609,11.376224102644542,-19.521955623575348,-30.9944264228037,2.5136440537726767,1.0089783236817504,0.251553717100845,1.351966010069194,1.1593603129945114,9.381496798821528,0.10659279872329291
2.035272727272727,0.03737292149645553,0.009566957717368946,8.348246972018044,7.8215122272689745,11.439811232145683,36.036552608435514,3.555818950172542,9.339658580579696,-17.667918752528315,-31.35732797640037,2.0846853229653663,1.1214189243673574,0.32987129293741585,1.2390854692807647,1.067344361223736,5.4376180388463835,0.18390405373382107
2.3581090909090907,0.03934363127202801,0.009822049786258459,7.697292291349853,7.874774262163489,11.011829016948385,31.810863391312786,2.249508621005126,7.6237952844364125,-15.122713322614189,-32.57504142821937,1.7888310817437119,1.2486866468472442,0.4379650946191553,1.127777713363327,0.9774619608251633,2.5438613443470386,0.3931031863124919
2.7230545454545454,0.04190856332095595,0.0101392182572952,7.166201032602674,7.93455300723779,10.691658835949728,28.20866630172295,1.547600732249709,6.459120121914503,-12.976665054986647,-32.56094171123941,1.5468385301008372,1.384537743349286,0.5687972901558173,1.081458165500805,0.9031637983974352,1.3884686332503928,0.7202179264640706
3.1301090909090905,0.04466788757610281,0.010477803445144554,6.677461366311329,8.000702391366602,10.421119376237833,25.02301963312551,1.1862865539090912,5.583110260198884,-11.729424580460387,-32.00285305032782,1.3462245997132405,1.5354941916569245,0.7386988175764103,1.0645243114663827,0.8346093929849014,0.9359904427610449,1.0683869773820933
3.5652363636363638,0.048516457588179115,0.010896305090944738,6.54377051752309,8.070814280049552,10.390330876784251,23.093304498205562,0.0,4.788020667328935,nan,-32.44863329717363,1.1775334304117893,1.6294480123564452,0.830624729698368,0.9754137462540792,0.8107943375303283,-0.3149307509750984,-3.175301227027748
4.056509090909091,0.052287128722546386,0.011282512308912095,6.447909679407322,8.149247919007209,10.391620705127664,21.553520021224124,0.0,4.139932329025561,nan,-34.41449546065868,1.0351058182709652,1.7122855253625229,0.9165562375258615,0.8405650693631563,0.7912275762734244,-1.8602261390365291,-0.5375690508885829
4.589890909090909,0.05529885387869596,0.011277048544606288,6.239922454421699,8.233558509766853,10.330930160007389,20.687413349759723,0.0,3.500489705353812,nan,-38.32123437686816,0.8825301256122374,1.76850206864883,1.0318298824614167,0.6792205263600236,0.7578645912359459,-3.4010888608125036,-0.29402348510268117
