radius,h,l,u,cs,sig,Btot,Breg,Bord,po,pB,alphak,taue_e,tau_r,dkdc,mach no,gamma,e_folding
6.25,1.0186829190292814,0.05592445694786264,22.60011292300133,7.677638487743518,23.86862452846607,8.21326187022502,1.7526094031971255,4.4743056436303865,22.965500065868273,5.544575674739203,5.448368950351632,10.04441345445492,19.486710016595392,8.441241940817504,2.943628168880295,8.090764795989989,0.12359770988468584
6.750000000000001,1.1712799368831897,0.057882627598767174,23.8173581522022,7.731273762527084,25.040749656138736,7.678436557323971,1.6230151200924863,3.920713448715556,23.069171598610833,5.60198626173887,5.5950132213632155,10.107984572344716,18.798030573638073,8.825810967677299,3.080651246324142,7.0748727367400015,0.1413452986662182
7.25,1.24624312509172,0.058651545746933285,23.912909098285198,7.784539500432817,25.148086940692924,7.49026912936572,1.7523197125957315,3.7032666160184005,21.55114833147801,5.137328282493264,5.960723359452804,9.599205888161775,15.897391198309936,11.401758439052438,3.0718463304034427,7.214388028731706,0.1386118955644531
7.75,1.0517285422181069,0.05379255775127846,21.4678546621989,7.837443235932105,22.85375899657982,8.42637057626895,1.6260256588651936,4.139610060568966,24.1107146693138,6.00592461667101,5.208225878091284,10.06082354216715,22.05555727261061,8.50514239112048,2.7391400506450663,6.8995371348337295,0.14493725889977382
8.25,0.8396718744571082,0.04770220346624817,19.046731874372057,7.88999225089081,20.616255062773586,9.832460528540278,1.7152097954527905,4.664327913119574,25.47019385260983,7.042962382755409,4.8740974593101525,9.519200046470923,24.076349870440687,7.265834153524212,2.4140368290249725,7.132885506938732,0.1401957172910205
8.75,0.8033300818442829,0.04516309434212492,18.783519512713774,7.942193586269233,20.393603022670497,10.415965948586013,1.8314385352912186,4.592155732743335,25.424769766185104,7.560422315596576,5.036618983899004,8.70892184898832,20.841057403991606,7.514695436668605,2.3650291709317486,7.121022655422296,0.14042926815273518
9.25,0.864820194761522,0.044665191558938264,19.723264804101408,7.994054053134445,21.28173100894616,10.33036299687931,0.701258487710675,4.002740243799822,32.84560325787052,7.721305660831339,1.3478912856175338,8.360940200601958,19.10179251470969,2.002214188991778,2.4672418616393985,1.550047661501227,0.6451414526386215
9.75,0.8268270713063841,0.042689707260446554,19.50459728412259,8.045580243033708,21.09883116816893,10.853918672307717,0.5323263750247261,3.8306995631083143,35.03981369624138,9.227501747837,1.213830299796448,8.058528942314798,18.964819363042448,1.526351880878287,2.4242623521169535,0.9068809215909996,1.1026806013799866
10.25,0.9545747162804663,0.04417396229070676,21.131923988125816,8.09677853777374,22.629980868964093,10.24189788123212,0.31499815655045404,3.1845883019969103,37.41434847637926,10.192993112173193,1.0732628696554871,7.951653873516611,17.233648229456936,1.2154484482990138,2.6099174986125,0.34297964282535937,2.9156249384433193
10.75,0.9473253779387479,0.043475705509232875,20.99245578773479,8.147655118646872,22.518158981862005,10.394160312798736,0.19566239997905513,2.907962580993476,39.2759933790599,11.365383908411225,1.009106150943892,7.551148668179767,15.428513088457194,1.082522362186082,2.576502746132574,0.12880364432210273,7.763755484272426
11.25,0.9168321801299798,0.04259608651751869,20.447054982866753,8.19821597514189,22.029362284175356,10.74811024312841,0.0,3.098634824117756,nan,12.373845524155545,0.9665481979445182,8.101561192783095,20.09640951750489,0.9032867143979414,2.4940859139189566,-0.1716128319771238,-5.827070088402837
11.75,0.881850260652595,0.04168202946760563,19.79883578540696,8.248466913174276,21.44833571341241,11.200274469404466,0.0,3.52341956622541,nan,13.205029002070455,0.9281352576356084,9.107220550167105,30.180006943307134,0.7400975163797778,2.400304928638882,-0.5508651517520154,-1.8153263041227428
12.25,1.000541175548081,0.043400520233267736,20.838455514961822,8.298413562867898,22.429999908814818,10.829149605185558,0.8034190320899628,3.895689856911119,33.69665887807433,13.043350629479114,3.7950525870966474,10.99923755484534,49.63648695234643,2.599256485900929,2.5111372622118555,2.5088331622069613,0.3985916700496432
12.75,1.0612403292213881,0.04411601891336353,21.236014350450944,8.348061385917632,22.81794106389986,10.729249774275612,0.5710102289785356,4.0939580025099405,35.12824336521197,13.875970021284916,3.3313043873415307,12.720136221498883,75.19118660504145,1.8896946244982518,2.5438258499481132,1.6390393898770141,0.6101134641279337
13.25,0.9731962415265761,0.04251172608920772,20.146991139313556,8.397415682560208,21.826998009650502,11.30440389555608,0.4655405223927885,4.294265263067013,36.226305783563674,15.669501737303822,3.116138481950129,13.086781794807969,89.22476689065648,1.5415647733162725,2.399189453149845,1.1638178576223308,0.859240982985938
13.749999999999998,0.9448037523647886,0.042582513755183043,19.38307487114111,8.446481598178453,21.143477548611276,11.31159148200242,0.3878957005336932,4.288037801634049,36.817511389719975,16.728438126684686,2.986160076786963,13.661450671089723,102.35111002998347,1.3852840324327529,2.2948105250500057,0.8740277233716266,1.1441284678504544
14.25,1.0279747354092008,0.04493968687698087,19.5937364560799,8.495264129562209,21.356123733986486,10.57290573961353,0.2696123027111236,4.045833589836871,37.36156217389278,17.272504048980892,2.841601240995759,15.131769884238492,126.32109603866277,1.2248901439180337,2.306430519081416,0.504030903144127,1.984005333327848
14.75,1.2096973854565036,0.049684743558864077,20.289720998057746,8.543768130847504,22.015193663756648,9.339294632495559,0.0,3.725743707122999,nan,18.013996736640408,2.5774696747147026,18.42056083935009,188.57076398158486,0.9576996630421559,2.3747977107198364,-0.09515300980891023,-10.509389056722817
15.249999999999998,1.098236826546415,0.050578725861753035,18.173211451665217,8.591998319153966,20.101941438161646,9.05230146530824,0.2988756453370234,3.405078046285869,36.976692244476254,16.90372390019417,2.857135139532719,16.895349859459795,141.9930793757505,1.4016020601662054,2.115132100427912,0.7307066126719765,1.3685383198371475
15.75,1.2384198910817525,0.05607691880944019,17.988923527797432,8.639959279938978,19.956208709270097,7.910342451788407,0.5690968191780506,2.9858264326961197,33.435879303015696,11.669280492404452,3.401519322098477,15.714626483628146,93.98970931186763,3.038031202051063,2.082061146927591,2.1159445158668433,0.4726021842734038
16.25,1.5110081982629189,0.06444695920744052,18.387061999853504,8.687655472085824,20.336160074805655,6.683252977610534,0.6744136102348818,2.739233981954734,30.255717768336726,7.845834889292954,3.708866048045149,16.54332626701252,83.94248755118255,5.507675951830952,2.116458469023397,2.833811671458356,0.35288160115642864
16.75,1.6687280983496808,0.07090410896688566,17.99306342361813,8.735091232741755,20.001303712774984,5.95564785978957,0.7959972024519778,2.5565304622477094,27.347564112097633,5.7603932055355225,4.0851804009685955,16.50426517993855,69.61353285052203,9.57955030559633,2.05985981648076,3.452842318733669,0.289616468894169
