sigma_tot_up52,,sigma_tot_up72,,sigma_HI,,sigma_H2,,vcirc_kam,,vcirc_koch,,sigma_sfr,
r kpc,sigma_tot_up52,r kpc,sigma_tot_up72,r kpc,sigma_HI,r kpc,sigma_H2,r kpc,kms_vcirc_Kam,arcsec_r,kms_vcirc_Koch,r kpc,sigma_sfr
5.421457854,12.91545825,5.421457854,17.88294219,,,,,,,,,,
5.423457654,12.90097653,5.423457654,17.86289057,,,,,,,,,,
5.425457454,12.88651104,5.425457454,17.84286144,,,,,,,,,,
5.427457254,12.87206178,5.427457254,17.82285477,,,,,,,,,,
5.429457054,12.85762871,5.429457054,17.80287053,,,,,,,,,,
5.431456854,12.84321184,5.431456854,17.78290869,,,,,,,,,,
5.433456654,12.82881112,5.433456654,17.76296924,,,,,,,,,,
5.435456454,12.81442655,5.435456454,17.74305215,,,,,,,,,,
5.437456254,12.80005812,5.437456254,17.72315739,,,,,,,,,,
5.439456054,12.78570579,5.439456054,17.70328494,,,,,,,,,,
5.441455854,12.77136955,5.441455854,17.68343477,,,,,,,,,,
5.443455654,12.75704939,5.443455654,17.66360685,,,,,,,,,,
5.445455454,12.74274529,5.445455454,17.64380117,,,,,,,,,,
5.447455254,12.72845723,5.447455254,17.6240177,,,,,,,,,,
5.449455054,12.71418518,5.449455054,17.60425641,,,,,,,,,,
5.451454855,12.69992914,5.451454855,17.58451728,,,,,,,,,,
5.453454655,12.68568909,5.453454655,17.56480028,,,,,,,,,,
5.455454455,12.671465,5.455454455,17.54510538,,,,,,,,,,
5.457454255,12.65725686,5.457454255,17.52543257,,,,,,,,,,
5.459454055,12.64306465,5.459454055,17.50578182,,,,,,,,,,
5.461453855,12.62888836,5.461453855,17.48615311,,,,,,,,,,
5.463453655,12.61472796,5.463453655,17.4665464,,,,,,,,,,
5.465453455,12.60058343,5.465453455,17.44696168,,,,,,,,,,
5.467453255,12.58645477,5.467453255,17.42739892,,,,,,,,,,
5.469453055,12.57234195,5.469453055,17.40785809,,,,,,,,,,
5.471452855,12.55824496,5.471452855,17.38833917,,,,,,,,,,
5.473452655,12.54416377,5.473452655,17.36884214,,,,,,,,,,
5.475452455,12.53009837,5.475452455,17.34936697,,,,,,,,,,
5.477452255,12.51604874,5.477452255,17.32991364,,,,,,,,,,
5.479452055,12.50201486,5.479452055,17.31048212,,,,,,,,,,
5.481451855,12.48799672,5.481451855,17.29107238,,,,,,,,,,
5.483451655,12.4739943,5.483451655,17.27168441,,,,,,,,,,
5.485451455,12.46000758,5.485451455,17.25231818,,,,,,,,,,
5.487451255,12.44603654,5.487451255,17.23297367,,,,,,,,,,
5.489451055,12.43208117,5.489451055,17.21365084,,,,,,,,,,
5.491450855,12.41814144,5.491450855,17.19434969,,,,,,,,,,
5.493450655,12.40421734,5.493450655,17.17507017,,,,,,,,,,
5.495450455,12.39030886,5.495450455,17.15581227,,,,,,,,,,
5.497450255,12.37641597,5.497450255,17.13657596,,,,,,,,,,
5.499450055,12.36253866,5.499450055,17.11736123,,,,,,,,,,
5.501449855,12.34867691,5.501449855,17.09816804,,,,,,,,,,
5.503449655,12.33483071,5.503449655,17.07899636,,,,,,,,,,
5.505449455,12.32100003,5.505449455,17.05984619,,,,,,,,,,
5.507449255,12.30718485,5.507449255,17.04071749,,,,,,,,,,
5.509449055,12.29338517,5.509449055,17.02161023,,,,,,,,,,
5.511448855,12.27960096,5.511448855,17.00252441,,,,,,,,,,
5.513448655,12.26583221,5.513448655,16.98345998,,,,,,,,,,
5.515448455,12.25207889,5.515448455,16.96441692,,,,,,,,,,
5.517448255,12.238341,5.517448255,16.94539522,,,,,,,,,,
5.519448055,12.22461851,5.519448055,16.92639485,,,,,,,,,,
5.521447855,12.2109114,5.521447855,16.90741579,,,,,,,,,,
5.523447655,12.19721967,5.523447655,16.888458,,,,,,,,,,
5.525447455,12.18354328,5.525447455,16.86952147,,,,,,,,,,
5.527447255,12.16988224,5.527447255,16.85060617,,,,,,,,,,
5.529447055,12.15623651,5.529447055,16.83171209,,,,,,,,,,
5.531446855,12.14260608,5.531446855,16.81283919,,,,,,,,,,
5.533446655,12.12899093,5.533446655,16.79398745,,,,,,,,,,
5.535446455,12.11539105,5.535446455,16.77515684,,,,,,,,,,
5.537446255,12.10180642,5.537446255,16.75634736,,,,,,,,,,
5.539446055,12.08823702,5.539446055,16.73755896,,,,,,,,,,
5.541445855,12.07468284,5.541445855,16.71879163,,,,,,,,,,
5.543445655,12.06114386,5.543445655,16.70004534,,,,,,,,,,
5.545445455,12.04762005,5.545445455,16.68132007,,,,,,,,,,
5.547445255,12.03411141,5.547445255,16.6626158,,,,,,,,,,
5.549445055,12.02061792,5.549445055,16.6439325,,,,,,,,,,
5.551444856,12.00713955,5.551444856,16.62527015,,,,,,,,,,
5.553444656,11.9936763,5.553444656,16.60662873,,,,,,,,,,
5.555444456,11.98022815,5.555444456,16.5880082,,,,,,,,,,
5.557444256,11.96679507,5.557444256,16.56940856,,,,,,,,,,
5.559444056,11.95337706,5.559444056,16.55082977,,,,,,,,,,
5.561443856,11.93997409,5.561443856,16.53227181,,,,,,,,,,
5.563443656,11.92658615,5.563443656,16.51373467,,,,,,,,,,
5.565443456,11.91321322,5.565443456,16.4952183,,,,,,,,,,
5.567443256,11.89985528,5.567443256,16.4767227,,,,,,,,,,
5.569443056,11.88651233,5.569443056,16.45824784,,,,,,,,,,
5.571442856,11.87318433,5.571442856,16.43979369,,,,,,,,,,
5.573442656,11.85987128,5.573442656,16.42136024,,,,,,,,,,
5.575442456,11.84657316,5.575442456,16.40294745,,,,,,,,,,
5.577442256,11.83328995,5.577442256,16.38455531,,,,,,,,,,
5.579442056,11.82002163,5.579442056,16.36618379,,,,,,,,,,
5.581441856,11.80676819,5.581441856,16.34783287,,,,,,,,,,
5.583441656,11.7935296,5.583441656,16.32950253,,,,,,,,,,
5.585441456,11.78030587,5.585441456,16.31119274,,,,,,,,,,
5.587441256,11.76709696,5.587441256,16.29290348,,,,,,,,,,
5.589441056,11.75390286,5.589441056,16.27463473,,,,,,,,,,
5.591440856,11.74072356,5.591440856,16.25638646,,,,,,,,,,
5.593440656,11.72755903,5.593440656,16.23815866,,,,,,,,,,
5.595440456,11.71440926,5.595440456,16.21995129,,,,,,,,,,
5.597440256,11.70127424,5.597440256,16.20176434,,,,,,,,,,
5.599440056,11.68815395,5.599440056,16.18359778,,,,,,,,,,
5.601439856,11.67504837,5.601439856,16.16545159,,,,,,,,,,
5.603439656,11.66195748,5.603439656,16.14732574,,,,,,,,,,
5.605439456,11.64888127,5.605439456,16.12922022,,,,,,,,,,
5.607439256,11.63581972,5.607439256,16.111135,,,,,,,,,,
5.609439056,11.62277282,5.609439056,16.09307006,,,,,,,,,,
5.611438856,11.60974055,5.611438856,16.07502538,,,,,,,,,,
5.613438656,11.59672289,5.613438656,16.05700093,,,,,,,,,,
5.615438456,11.58371983,5.615438456,16.03899669,,,,,,,,,,
5.617438256,11.57073135,5.617438256,16.02101263,,,,,,,,,,
5.619438056,11.55775743,5.619438056,16.00304874,,,,,,,,,,
5.621437856,11.54479805,5.621437856,15.985105,,,,,,,,,,
5.623437656,11.53185321,5.623437656,15.96718137,,,,,,,,,,
5.625437456,11.51892289,5.625437456,15.94927784,,,,,,,,,,
5.627437256,11.50600706,5.627437256,15.93139439,,,,,,,,,,
5.629437056,11.49310571,5.629437056,15.91353099,,,,,,,,,,
5.631436856,11.48021883,5.631436856,15.89568761,,,,,,,,,,
5.633436656,11.4673464,5.633436656,15.87786425,,,,,,,,,,
5.635436456,11.45448841,5.635436456,15.86006087,,,,,,,,,,
5.637436256,11.44164483,5.637436256,15.84227745,,,,,,,,,,
5.639436056,11.42881565,5.639436056,15.82451397,,,,,,,,,,
5.641435856,11.41600085,5.641435856,15.80677041,,,,,,,,,,
5.643435656,11.40320043,5.643435656,15.78904675,,,,,,,,,,
5.645435456,11.39041436,5.645435456,15.77134296,,,,,,,,,,
5.647435256,11.37764262,5.647435256,15.75365901,,,,,,,,,,
5.649435056,11.36488521,5.649435056,15.7359949,,,,,,,,,,
5.651434857,11.3521421,5.651434857,15.71835059,,,,,,,,,,
5.653434657,11.33941327,5.653434657,15.70072607,,,,,,,,,,
5.655434457,11.32669873,5.655434457,15.68312131,,,,,,,,,,
5.657434257,11.31399843,5.657434257,15.66553629,,,,,,,,,,
5.659434057,11.30131238,5.659434057,15.64797099,,,,,,,,,,
5.661433857,11.28864055,5.661433857,15.63042538,,,,,,,,,,
5.663433657,11.27598293,5.663433657,15.61289945,,,,,,,,,,
5.665433457,11.26333951,5.665433457,15.59539316,,,,,,,,,,
5.667433257,11.25071026,5.667433257,15.57790651,,,,,,,,,,
5.669433057,11.23809517,5.669433057,15.56043946,,,,,,,,,,
5.671432857,11.22549422,5.671432857,15.542992,,,,,,,,,,
5.673432657,11.21290741,5.673432657,15.5255641,,,,,,,,,,
5.675432457,11.2003347,5.675432457,15.50815575,,,,,,,,,,
5.677432257,11.1877761,5.677432257,15.49076691,,,,,,,,,,
5.679432057,11.17523158,5.679432057,15.47339757,,,,,,,,,,
5.681431857,11.16270112,5.681431857,15.4560477,,,,,,,,,,
5.683431657,11.15018471,5.683431657,15.43871729,,,,,,,,,,
5.685431457,11.13768234,5.685431457,15.42140632,,,,,,,,,,
5.687431257,11.12519399,5.687431257,15.40411475,,,,,,,,,,
5.689431057,11.11271963,5.689431057,15.38684257,,,,,,,,,,
5.691430857,11.10025927,5.691430857,15.36958976,,,,,,,,,,
5.693430657,11.08781288,5.693430657,15.35235629,,,,,,,,,,
5.695430457,11.07538044,5.695430457,15.33514215,,,,,,,,,,
5.697430257,11.06296194,5.697430257,15.3179473,,,,,,,,,,
5.699430057,11.05055737,5.699430057,15.30077174,,,,,,,,,,
5.701429857,11.03816671,5.701429857,15.28361544,,,,,,,,,,
5.703429657,11.02578994,5.703429657,15.26647837,,,,,,,,,,
5.705429457,11.01342704,5.705429457,15.24936052,,,,,,,,,,
5.707429257,11.00107801,5.707429257,15.23226186,,,,,,,,,,
5.709429057,10.98874283,5.709429057,15.21518238,,,,,,,,,,
5.711428857,10.97642147,5.711428857,15.19812204,,,,,,,,,,
5.713428657,10.96411394,5.713428657,15.18108084,,,,,,,,,,
5.715428457,10.9518202,5.715428457,15.16405874,,,,,,,,,,
5.717428257,10.93954025,5.717428257,15.14705573,,,,,,,,,,
5.719428057,10.92727406,5.719428057,15.13007178,,,,,,,,,,
5.721427857,10.91502163,5.721427857,15.11310688,,,,,,,,,,
5.723427657,10.90278294,5.723427657,15.096161,,,,,,,,,,
5.725427457,10.89055797,5.725427457,15.07923412,,,,,,,,,,
5.727427257,10.87834671,5.727427257,15.06232622,,,,,,,,,,
5.729427057,10.86614914,5.729427057,15.04543728,,,,,,,,,,
5.731426857,10.85396525,5.731426857,15.02856727,,,,,,,,,,
5.733426657,10.84179502,5.733426657,15.01171618,,,,,,,,,,
5.735426457,10.82963844,5.735426457,14.99488399,,,,,,,,,,
5.737426257,10.81749548,5.737426257,14.97807067,,,,,,,,,,
5.739426057,10.80536614,5.739426057,14.9612762,,,,,,,,,,
5.741425857,10.79325041,5.741425857,14.94450056,,,,,,,,,,
5.743425657,10.78114825,5.743425657,14.92774374,,,,,,,,,,
5.745425457,10.76905967,5.745425457,14.9110057,,,,,,,,,,
5.747425257,10.75698464,5.747425257,14.89428643,,,,,,,,,,
5.749425057,10.74492315,5.749425057,14.8775859,,,,,,,,,,
5.751424858,10.73287519,5.751424858,14.8609041,,,,,,,,,,
5.753424658,10.72084073,5.753424658,14.84424101,,,,,,,,,,
5.755424458,10.70881977,5.755424458,14.8275966,,,,,,,,,,
5.757424258,10.69681229,5.757424258,14.81097086,,,,,,,,,,
5.759424058,10.68481827,5.759424058,14.79436375,,,,,,,,,,
5.761423858,10.67283769,5.761423858,14.77777527,,,,,,,,,,
5.763423658,10.66087056,5.763423658,14.76120539,,,,,,,,,,
5.765423458,10.64891684,5.765423458,14.74465408,,,,,,,,,,
5.767423258,10.63697652,5.767423258,14.72812134,,,,,,,,,,
5.769423058,10.62504959,5.769423058,14.71160713,,,,,,,,,,
5.771422858,10.61313604,5.771422858,14.69511144,,,,,,,,,,
5.773422658,10.60123584,5.773422658,14.67863424,,,,,,,,,,
5.775422458,10.58934899,5.775422458,14.66217552,,,,,,,,,,
5.777422258,10.57747547,5.777422258,14.64573526,,,,,,,,,,
5.779422058,10.56561525,5.779422058,14.62931343,,,,,,,,,,
5.781421858,10.55376834,5.781421858,14.61291001,,,,,,,,,,
5.783421658,10.54193471,5.783421658,14.59652499,,,,,,,,,,
5.785421458,10.53011435,5.785421458,14.58015833,,,,,,,,,,
5.787421258,10.51830725,5.787421258,14.56381003,,,,,,,,,,
5.789421058,10.50651338,5.789421058,14.54748006,,,,,,,,,,
5.791420858,10.49473274,5.791420858,14.5311684,,,,,,,,,,
5.793420658,10.4829653,5.793420658,14.51487503,,,,,,,,,,
5.795420458,10.47121106,5.795420458,14.49859993,,,,,,,,,,
5.797420258,10.45947,5.797420258,14.48234308,,,,,,,,,,
5.799420058,10.44774211,5.799420058,14.46610446,,,,,,,,,,
5.801419858,10.43602736,5.801419858,14.44988404,,,,,,,,,,
5.803419658,10.42432575,5.803419658,14.43368181,,,,,,,,,,
5.805419458,10.41263726,5.805419458,14.41749775,,,,,,,,,,
5.807419258,10.40096188,5.807419258,14.40133184,,,,,,,,,,
5.809419058,10.38929959,5.809419058,14.38518405,,,,,,,,,,
5.811418858,10.37765038,5.811418858,14.36905437,,,,,,,,,,
5.813418658,10.36601422,5.813418658,14.35294277,,,,,,,,,,
5.815418458,10.35439112,5.815418458,14.33684924,,,,,,,,,,
5.817418258,10.34278104,5.817418258,14.32077375,,,,,,,,,,
5.819418058,10.33118399,5.819418058,14.30471629,,,,,,,,,,
5.821417858,10.31959994,5.821417858,14.28867684,,,,,,,,,,
5.823417658,10.30802887,5.823417658,14.27265536,,,,,,,,,,
5.825417458,10.29647079,5.825417458,14.25665186,,,,,,,,,,
5.827417258,10.28492566,5.827417258,14.24066629,,,,,,,,,,
5.829417058,10.27339347,5.829417058,14.22469866,,,,,,,,,,
5.831416858,10.26187422,5.831416858,14.20874892,,,,,,,,,,
5.833416658,10.25036788,5.833416658,14.19281707,,,,,,,,,,
5.835416458,10.23887445,5.835416458,14.17690308,,,,,,,,,,
5.837416258,10.2273939,5.837416258,14.16100694,,,,,,,,,,
5.839416058,10.21592623,5.839416058,14.14512862,,,,,,,,,,
5.841415858,10.20447141,5.841415858,14.12926811,,,,,,,,,,
5.843415658,10.19302944,5.843415658,14.11342538,,,,,,,,,,
5.845415458,10.18160029,5.845415458,14.09760041,,,,,,,,,,
5.847415258,10.17018397,5.847415258,14.08179319,,,,,,,,,,
5.849415058,10.15878044,5.849415058,14.06600369,,,,,,,,,,
5.851414859,10.1473897,5.851414859,14.05023189,,,,,,,,,,
5.853414659,10.13601173,5.853414659,14.03447778,,,,,,,,,,
5.855414459,10.12464652,5.855414459,14.01874134,,,,,,,,,,
5.857414259,10.11329405,5.857414259,14.00302254,,,,,,,,,,
5.859414059,10.10195432,5.859414059,13.98732136,,,,,,,,,,
5.861413859,10.09062729,5.861413859,13.97163779,,,,,,,,,,
5.863413659,10.07931297,5.863413659,13.9559718,,,,,,,,,,
5.865413459,10.06801133,5.865413459,13.94032338,,,,,,,,,,
5.867413259,10.05672237,5.867413259,13.92469251,,,,,,,,,,
5.869413059,10.04544606,5.869413059,13.90907916,,,,,,,,,,
5.871412859,10.0341824,5.871412859,13.89348333,,,,,,,,,,
5.873412659,10.02293137,5.873412659,13.87790497,,,,,,,,,,
5.875412459,10.01169295,5.875412459,13.86234409,,,,,,,,,,
5.877412259,10.00046714,5.877412259,13.84680065,,,,,,,,,,
5.879412059,9.989253908,5.879412059,13.83127464,,,,,,,,,,
5.881411859,9.978053252,5.881411859,13.81576604,,,,,,,,,,
5.883411659,9.966865156,5.883411659,13.80027483,,,,,,,,,,
5.885411459,9.955689604,5.885411459,13.78480099,,,,,,,,,,
5.887411259,9.944526583,5.887411259,13.7693445,,,,,,,,,,
5.889411059,9.933376079,5.889411059,13.75390534,,,,,,,,,,
5.891410859,9.922238078,5.891410859,13.73848349,,,,,,,,,,
5.893410659,9.911112565,5.893410659,13.72307894,,,,,,,,,,
5.895410459,9.899999527,5.895410459,13.70769165,,,,,,,,,,
5.897410259,9.88889895,5.897410259,13.69232162,,,,,,,,,,
5.899410059,9.87781082,5.899410059,13.67696883,,,,,,,,,,
5.901409859,9.866735122,5.901409859,13.66163325,,,,,,,,,,
5.903409659,9.855671843,5.903409659,13.64631486,,,,,,,,,,
5.905409459,9.844620969,5.905409459,13.63101365,,,,,,,,,,
5.907409259,9.833582486,5.907409259,13.6157296,,,,,,,,,,
5.909409059,9.822556381,5.909409059,13.60046268,,,,,,,,,,
5.911408859,9.811542638,5.911408859,13.58521288,,,,,,,,,,
5.913408659,9.800541245,5.913408659,13.56998019,,,,,,,,,,
5.915408459,9.789552188,5.915408459,13.55476457,,,,,,,,,,
5.917408259,9.778575452,5.917408259,13.53956601,,,,,,,,,,
5.919408059,9.767611024,5.919408059,13.52438449,,,,,,,,,,
5.921407859,9.75665889,5.921407859,13.50922,,,,,,,,,,
5.923407659,9.745719036,5.923407659,13.49407251,,,,,,,,,,
5.925407459,9.734791449,5.925407459,13.47894201,,,,,,,,,,
5.927407259,9.723876115,5.927407259,13.46382847,,,,,,,,,,
5.929407059,9.71297302,5.929407059,13.44873187,,,,,,,,,,
5.931406859,9.70208215,5.931406859,13.43365221,,,,,,,,,,
5.933406659,9.691203492,5.933406659,13.41858945,,,,,,,,,,
5.935406459,9.680337031,5.935406459,13.40354358,,,,,,,,,,
5.937406259,9.669482755,5.937406259,13.38851458,,,,,,,,,,
5.939406059,9.65864065,5.939406059,13.37350244,,,,,,,,,,
5.941405859,9.647810701,5.941405859,13.35850712,,,,,,,,,,
5.943405659,9.636992896,5.943405659,13.34352862,,,,,,,,,,
5.945405459,9.62618722,5.945405459,13.32856692,,,,,,,,,,
5.947405259,9.615393661,5.947405259,13.31362199,,,,,,,,,,
5.949405059,9.604612204,5.949405059,13.29869382,,,,,,,,,,
5.95140486,9.593842835,5.95140486,13.28378239,,,,,,,,,,
5.95340466,9.583085543,5.95340466,13.26888767,,,,,,,,,,
5.95540446,9.572340312,5.95540446,13.25400966,,,,,,,,,,
5.95740426,9.561607129,5.95740426,13.23914833,,,,,,,,,,
5.95940406,9.550885981,5.95940406,13.22430367,,,,,,,,,,
5.96140386,9.540176855,5.96140386,13.20947565,,,,,,,,,,
5.96340366,9.529479736,5.96340366,13.19466425,,,,,,,,,,
5.96540346,9.518794612,5.96540346,13.17986946,,,,,,,,,,
5.96740326,9.508121469,5.96740326,13.16509126,,,,,,,,,,
5.96940306,9.497460293,5.96940306,13.15032964,,,,,,,,,,
5.97140286,9.486811071,5.97140286,13.13558456,,,,,,,,,,
5.97340266,9.47617379,5.97340266,13.12085602,,,,,,,,,,
5.97540246,9.465548436,5.97540246,13.10614399,,,,,,,,,,
5.97740226,9.454934996,5.97740226,13.09144846,,,,,,,,,,
5.97940206,9.444333456,5.97940206,13.0767694,,,,,,,,,,
5.98140186,9.433743804,5.98140186,13.06210681,,,,,,,,,,
5.98340166,9.423166026,5.98340166,13.04746065,,,,,,,,,,
5.98540146,9.412600108,5.98540146,13.03283092,,,,,,,,,,
5.98740126,9.402046037,5.98740126,13.01821759,,,,,,,,,,
5.98940106,9.3915038,5.98940106,13.00362065,,,,,,,,,,
5.99140086,9.380973385,5.99140086,12.98904007,,,,,,,,,,
5.99340066,9.370454776,5.99340066,12.97447584,,,,,,,,,,
5.99540046,9.359947962,5.99540046,12.95992795,,,,,,,,,,
5.99740026,9.349452928,5.99740026,12.94539636,,,,,,,,,,
5.99940006,9.338969663,5.99940006,12.93088107,,,,,,,,,,
6.00139986,9.328498152,6.00139986,12.91638206,,,,,,,,,,
6.00339966,9.318038382,6.00339966,12.9018993,,,,,,,,,,
6.00539946,9.307590341,6.00539946,12.88743278,,,,,,,,,,
6.00739926,9.297154015,6.00739926,12.87298248,,,,,,,,,,
6.00939906,9.28672939,6.00939906,12.85854839,,,,,,,,,,
6.01139886,9.276316455,6.01139886,12.84413048,,,,,,,,,,
6.01339866,9.265915195,6.01339866,12.82972873,,,,,,,,,,
6.01539846,9.255525598,6.01539846,12.81534314,,,,,,,,,,
6.01739826,9.24514765,6.01739826,12.80097367,,,,,,,,,,
6.01939806,9.234781339,6.01939806,12.78662032,,,,,,,,,,
6.02139786,9.224426652,6.02139786,12.77228306,,,,,,,,,,
6.02339766,9.214083574,6.02339766,12.75796187,,,,,,,,,,
6.02539746,9.203752094,6.02539746,12.74365675,,,,,,,,,,
6.02739726,9.193432199,6.02739726,12.72936766,,,,,,,,,,
6.02939706,9.183123875,6.02939706,12.7150946,,,,,,,,,,
6.03139686,9.172827109,6.03139686,12.70083754,,,,,,,,,,
6.03339666,9.162541889,6.03339666,12.68659646,,,,,,,,,,
6.03539646,9.152268201,6.03539646,12.67237136,,,,,,,,,,
6.03739626,9.142006033,6.03739626,12.6581622,,,,,,,,,,
6.03939606,9.131755372,6.03939606,12.64396898,,,,,,,,,,
6.04139586,9.121516204,6.04139586,12.62979167,,,,,,,,,,
6.04339566,9.111288517,6.04339566,12.61563025,,,,,,,,,,
6.04539546,9.101072298,6.04539546,12.60148472,,,,,,,,,,
6.04739526,9.090867535,6.04739526,12.58735505,,,,,,,,,,
6.04939506,9.080674213,6.04939506,12.57324122,,,,,,,,,,
6.051394861,9.070492321,6.051394861,12.55914321,,,,,,,,,,
6.053394661,9.060321846,6.053394661,12.54506102,,,,,,,,,,
6.055394461,9.050162775,6.055394461,12.53099461,,,,,,,,,,
6.057394261,9.040015094,6.057394261,12.51694398,,,,,,,,,,
6.059394061,9.029878792,6.059394061,12.5029091,,,,,,,,,,
6.061393861,9.019753856,6.061393861,12.48888995,,,,,,,,,,
6.063393661,9.009640272,6.063393661,12.47488653,,,,,,,,,,
6.065393461,8.999538028,6.065393461,12.46089881,,,,,,,,,,
6.067393261,8.989447112,6.067393261,12.44692677,,,,,,,,,,
6.069393061,8.97936751,6.069393061,12.4329704,,,,,,,,,,
6.071392861,8.969299211,6.071392861,12.41902968,,,,,,,,,,
6.073392661,8.9592422,6.073392661,12.40510459,,,,,,,,,,
6.075392461,8.949196467,6.075392461,12.39119511,,,,,,,,,,
6.077392261,8.939161997,6.077392261,12.37730123,,,,,,,,,,
6.079392061,8.929138778,6.079392061,12.36342292,,,,,,,,,,
6.081391861,8.919126799,6.081391861,12.34956018,,,,,,,,,,
6.083391661,8.909126045,6.083391661,12.33571299,,,,,,,,,,
6.085391461,8.899136505,6.085391461,12.32188131,,,,,,,,,,
6.087391261,8.889158166,6.087391261,12.30806515,,,,,,,,,,
6.089391061,8.879191015,6.089391061,12.29426448,,,,,,,,,,
6.091390861,8.869235041,6.091390861,12.28047929,,,,,,,,,,
6.093390661,8.859290229,6.093390661,12.26670955,,,,,,,,,,
6.095390461,8.849356569,6.095390461,12.25295525,,,,,,,,,,
6.097390261,8.839434046,6.097390261,12.23921637,,,,,,,,,,
6.099390061,8.82952265,6.099390061,12.2254929,,,,,,,,,,
6.101389861,8.819622367,6.101389861,12.21178482,,,,,,,,,,
6.103389661,8.809733185,6.103389661,12.1980921,,,,,,,,,,
6.105389461,8.799855091,6.105389461,12.18441474,,,,,,,,,,
6.107389261,8.789988073,6.107389261,12.17075272,,,,,,,,,,
6.109389061,8.780132119,6.109389061,12.15710601,,,,,,,,,,
6.111388861,8.770287216,6.111388861,12.14347461,,,,,,,,,,
6.113388661,8.760453352,6.113388661,12.12985849,,,,,,,,,,
6.115388461,8.750630514,6.115388461,12.11625764,,,,,,,,,,
6.117388261,8.740818691,6.117388261,12.10267203,,,,,,,,,,
6.119388061,8.731017869,6.119388061,12.08910166,,,,,,,,,,
6.121387861,8.721228036,6.121387861,12.07554651,,,,,,,,,,
6.123387661,8.711449181,6.123387661,12.06200656,,,,,,,,,,
6.125387461,8.70168129,6.125387461,12.04848179,,,,,,,,,,
6.127387261,8.691924352,6.127387261,12.03497218,,,,,,,,,,
6.129387061,8.682178353,6.129387061,12.02147772,,,,,,,,,,
6.131386861,8.672443283,6.131386861,12.00799839,,,,,,,,,,
6.133386661,8.662719129,6.133386661,11.99453418,,,,,,,,,,
6.135386461,8.653005877,6.135386461,11.98108506,,,,,,,,,,
6.137386261,8.643303517,6.137386261,11.96765102,,,,,,,,,,
6.139386061,8.633612036,6.139386061,11.95423205,,,,,,,,,,
6.141385861,8.623931422,6.141385861,11.94082812,,,,,,,,,,
6.143385661,8.614261662,6.143385661,11.92743922,,,,,,,,,,
6.145385461,8.604602745,6.145385461,11.91406534,,,,,,,,,,
6.147385261,8.594954658,6.147385261,11.90070645,,,,,,,,,,
6.149385061,8.585317389,6.149385061,11.88736254,,,,,,,,,,
6.151384862,8.575690926,6.151384862,11.87403359,,,,,,,,,,
6.153384662,8.566075257,6.153384662,11.86071959,,,,,,,,,,
6.155384462,8.55647037,6.155384462,11.84742051,,,,,,,,,,
6.157384262,8.546876252,6.157384262,11.83413635,,,,,,,,,,
6.159384062,8.537292892,6.159384062,11.82086708,,,,,,,,,,
6.161383862,8.527720278,6.161383862,11.80761269,,,,,,,,,,
6.163383662,8.518158397,6.163383662,11.79437316,,,,,,,,,,
6.165383462,8.508607237,6.165383462,11.78114848,,,,,,,,,,
6.167383262,8.499066787,6.167383262,11.76793863,,,,,,,,,,
6.169383062,8.489537034,6.169383062,11.75474359,,,,,,,,,,
6.171382862,8.480017967,6.171382862,11.74156334,,,,,,,,,,
6.173382662,8.470509573,6.173382662,11.72839787,,,,,,,,,,
6.175382462,8.461011841,6.175382462,11.71524716,,,,,,,,,,
6.177382262,8.451524758,6.177382262,11.7021112,,,,,,,,,,
6.179382062,8.442048313,6.179382062,11.68898997,,,,,,,,,,
6.181381862,8.432582494,6.181381862,11.67588345,,,,,,,,,,
6.183381662,8.423127288,6.183381662,11.66279163,,,,,,,,,,
6.185381462,8.413682684,6.185381462,11.64971449,,,,,,,,,,
6.187381262,8.40424867,6.187381262,11.636652,,,,,,,,,,
6.189381062,8.394825234,6.189381062,11.62360417,,,,,,,,,,
6.191380862,8.385412364,6.191380862,11.61057097,,,,,,,,,,
6.193380662,8.376010049,6.193380662,11.59755238,,,,,,,,,,
6.195380462,8.366618276,6.195380462,11.58454838,,,,,,,,,,
6.197380262,8.357237034,6.197380262,11.57155897,,,,,,,,,,
6.199380062,8.347866311,6.199380062,11.55858412,,,,,,,,,,
6.201379862,8.338506095,6.201379862,11.54562382,,,,,,,,,,
6.203379662,8.329156374,6.203379662,11.53267806,,,,,,,,,,
6.205379462,8.319817137,6.205379462,11.5197468,,,,,,,,,,
6.207379262,8.310488372,6.207379262,11.50683005,,,,,,,,,,
6.209379062,8.301170066,6.209379062,11.49392778,,,,,,,,,,
6.211378862,8.291862209,6.211378862,11.48103998,,,,,,,,,,
6.213378662,8.282564789,6.213378662,11.46816663,,,,,,,,,,
6.215378462,8.273277794,6.215378462,11.45530771,,,,,,,,,,
6.217378262,8.264001212,6.217378262,11.44246322,,,,,,,,,,
6.219378062,8.254735031,6.219378062,11.42963312,,,,,,,,,,
6.221377862,8.24547924,6.221377862,11.41681741,,,,,,,,,,
6.223377662,8.236233828,6.223377662,11.40401607,,,,,,,,,,
6.225377462,8.226998782,6.225377462,11.39122908,,,,,,,,,,
6.227377262,8.217774091,6.227377262,11.37845643,,,,,,,,,,
6.229377062,8.208559744,6.229377062,11.36569811,,,,,,,,,,
6.231376862,8.199355728,6.231376862,11.35295408,,,,,,,,,,
6.233376662,8.190162033,6.233376662,11.34022435,,,,,,,,,,
