radius,b_iso,err_b_iso,b_ani,err_b_ani,B_bar,err_B_bar,pb,err_pb,po,err_po,pB,err_pB
6.25,13.025148969153756,6.0149812378863,5.852311611873109,2.5189643801901167,7.9814076809897685,1.124340098488745,33.74724532285585,4.4520039707220045,16.038500073783972,5.195177670834248,10.408489895494132,4.787330231361786
6.750000000000001,12.904741934654947,5.959036941284858,5.23068856628086,2.2553591799254917,6.9056340970969465,0.9814030531738053,34.44564561180766,4.713524629719889,16.907161745680714,5.451200405899522,11.02005570921993,5.0795399294612515
7.25,12.099453630409277,5.586871658904449,4.614790298197858,1.9931879682590554,6.27838123932042,0.9418815870369891,34.8129103913432,4.941898389426557,15.706989447361435,5.237169161808168,9.863745385351587,4.5905417851939365
7.75,12.696678025652247,5.862328841003854,5.078577950950069,2.19053835681012,6.2013340584095635,0.9308162805672094,34.528448559087174,4.7666219104199845,15.937897620225646,5.231627748545688,9.11798478900838,4.2327132883935565
8.25,12.81404471319142,5.9162203540166605,5.103205337894617,2.1992305676942525,6.009085248088128,0.9048146401664832,34.55536217885109,4.6612842766774,15.579291856839085,5.187633196222619,8.294610985550849,3.8469685082668725
8.75,13.620438224886689,6.288225090288196,4.9549815975493665,2.136571213356711,5.48097237253543,0.8302010848992494,35.076441830471666,4.758501849353333,16.317241580192245,5.396895256868706,8.35930490996739,3.8801512054992546
9.25,14.186769958704764,6.549380595269059,4.7295511474002865,2.0427324842467063,5.000535333357307,0.7798103672833663,35.515752068640005,4.980589451024203,17.181191351125054,5.595197770250644,8.766190138272806,4.082290187138654
9.75,14.796455265702917,6.830537217735305,4.4870449497995155,1.942125435665114,4.456456827182825,0.7070427253475184,35.92852993697874,5.2489193383368695,18.807281742815977,5.848449927766436,9.87633876815261,4.60869587488003
10.25,15.009382505168976,6.92853170480893,3.929714779831339,1.7115342896061192,3.7267322803289957,0.6228513779683883,36.45374632275195,5.94906116728029,21.092038012655554,6.219784037298497,12.029745741268545,5.66954469643408
10.75,14.743432968441208,6.8054822456864175,3.4870295984182165,1.5270133444808376,3.276362166988845,0.5708737734202621,36.74696836112936,6.502394176522823,21.91811564827409,6.432397457127325,12.887817367664626,6.148695095279441
11.25,15.0910952576345,6.965681468250841,3.6842176523677006,1.6101382107520774,3.2627947062258884,0.5532269444014443,36.66104631668269,6.306529390633033,22.452556136259744,6.3476455437824955,12.811223677546709,6.072007929023807
11.75,13.688620440211224,6.318088816504333,3.6540225401471216,1.5893967732538525,3.4266389366362304,0.5520326978364934,36.39174309801418,5.816611551513113,21.047237795346415,6.167210986180068,11.838526824883118,5.54987888463249
12.25,11.98087683706185,5.529660191786274,3.544625142122927,1.5366671818009408,3.579619833000034,0.5571093700859061,36.02606062824866,5.443193958007335,19.35091200744515,5.934205687934369,10.754749731076524,5.008739359372267
12.75,10.628114893478966,4.9051291634163245,3.361036024910877,1.4551140672879885,3.5920315511053214,0.5503447659282338,35.753508267523216,5.282717547272665,18.034501099851084,5.733623465610285,9.90105229319977,4.604259865508445
13.25,10.080889257604662,4.6524098167995165,3.22056232997451,1.3938227363580282,3.4825756896521556,0.529755549320516,35.709249796570724,5.24364197945217,17.529835187142968,5.6612951072128075,9.441005582078457,4.390625944654501
13.749999999999998,9.380357359845611,4.328963619698448,3.0207181926921307,1.3079324852039715,3.3246241154138434,0.509966131953026,35.674082999748144,5.296570205943168,16.977935958932232,5.5898096959589765,8.99856783736868,4.195785270200325
14.25,8.399751910839953,3.876296068748292,2.72726812933872,1.182718344463219,3.1140959428141013,0.48561483474308303,35.637296566939625,5.472229659223856,16.392220108248146,5.506012412064578,8.748700823003386,4.101909225454367
14.75,6.91036712286116,3.1888787439860207,2.328044942101812,1.012032071560925,2.8831146193895436,0.4568053628693198,35.46608890775237,5.728184120217734,15.22480529393261,5.274281136489553,8.322739919702666,3.9371377239708005
15.249999999999998,6.809509603750032,3.142241635439456,2.204200803524648,0.9585961608163546,2.6605827166563807,0.4201017841053288,35.65101517817418,5.781720770091955,15.196103640849136,5.321713128862572,7.990780997953897,3.7875018705338706
15.75,6.777473883113859,3.127367258715526,2.1998785851570792,0.9539574131071322,2.5730610842195465,0.3964688865484072,35.63864981231925,5.4706548104932775,14.352783376424282,5.256803547443079,6.6492056991448845,3.1326145762854516
16.25,6.108565533593945,2.8186293808175718,2.1546679343162327,0.9306906822486387,2.5686471097923995,0.3817816435944874,35.23863975936075,5.004686153697732,12.713772303975725,5.0323109543034095,5.016477562758822,2.340291115566886
16.75,5.668990635056228,2.6157279816434955,2.1009398105520707,0.9053877656814666,2.503944223424616,0.3646686276170214,34.97526688431266,4.712090702529818,11.725430254813448,4.98137916362933,3.8902109182870532,1.803369718838772
