radius,h_err,l_err,u_err,cs_err,sig_err,Btot_err,Breg_err,Bord_err,po_err,pB_err,pani_err,alphak_err,taue_err,taur_err,dkdc_err,mach_err,gamma_err
6.25,62.68810930104769,34.33895199766347,27.67559398655777,20.488548888627918,17.344690723282934,31.165588827527436,14.086989957507305,37.54318884023656,-27.836089155535987,43.249960165422955,2.708092537587266,26.835998666715298,9.604499621889717,50.07891337921796,76.82918251692425,34.434272724576154,137.6339861825732
6.750000000000001,62.686220820538686,34.338891606739324,27.67452458063375,20.47528786253178,17.300809488272208,32.32767442356945,14.21162835120929,36.767087683667405,-31.468976790190183,43.13372298556188,2.379914975096244,26.74710187040605,9.599569621484754,50.074299293773315,76.92186685745878,34.425524307084174,137.62231058440412
7.25,62.68440902479811,34.33883366969533,27.67349859108556,20.46255761982892,17.077796707177757,33.11019451790811,15.001981420595282,33.608263541407055,-34.93400811502822,44.201577812959684,2.209660671705096,27.147549486208472,9.59483757040378,50.06987230165443,77.52074583702505,34.41712929074174,137.56381820417366
7.75,62.68266981813634,34.33877805536575,27.672513699628777,20.450330302464277,17.404231998546095,31.91464139694694,15.009936116970499,36.56369940109886,-30.357834888972256,44.435187228142844,2.3701150072849275,27.263725496541202,9.590293039904855,50.06562242785185,77.52774786024213,34.409068919923286,137.56077390195597
8.25,62.68099937464906,34.33872464123304,27.671567740642306,20.438579850504432,17.479283805661588,31.657851526150687,15.057443900539807,36.65791195954504,-29.068294052260473,44.78363138441119,2.3171572013013417,27.36557147491576,9.585926277324832,50.06154035306163,77.5653979921058,34.40132566530543,137.53811839120297
8.75,62.67939411717295,34.33867331275239,27.670658689263988,20.427281865062156,17.32828634304667,32.84713258717365,15.146967152385201,34.62021583071071,-33.13907747548813,44.923937310478514,1.9870417802326605,27.367717455882662,9.581728154287326,50.05761736265827,77.63586536544574,34.39388312901638,137.51890305829738
9.25,62.67785069813178,34.338623962737266,27.669784650555044,20.41641348322426,17.26664695933666,34.54153495759227,15.594537690423833,35.18725798132512,-34.65042917003508,45.03357133878469,1.800635844473628,27.541053786132757,9.577690119470335,50.05384530023894,77.99025288666351,34.386725958225114,137.5328921839514
9.75,62.676365982081116,34.33857649079935,27.668943849625173,20.405953263799642,17.27571343821925,36.02733595412139,15.865580050833334,35.921402879199114,-37.055036684429545,44.812606691536566,1.6013080247539877,27.54351157260624,9.573804155481477,50.050216525277015,78.20932947073479,34.379839766323606,137.55503213491505
10.25,62.67493702978159,34.33853080283759,27.66813462262209,20.39588108283347,17.199343979220032,38.38838682461492,16.71307008705769,36.78275074864378,-41.09614996627962,44.53643597988624,1.3548332755782746,27.63197855676279,9.570062739438479,50.046723874475,78.9129071917527,34.37321106095012,137.6214802631499
10.75,62.67356108365003,34.338486810571595,27.66735540850028,20.386178037947616,17.066470223843115,40.006563513016644,17.42401310734601,37.38603074203027,-43.253014896783405,44.87290655667589,1.2096370309846425,27.70647358437316,9.566458806896282,50.04336062645207,79.52627490159668,34.36682717818402,137.692186546355
11.25,62.672235554453316,34.33844443111482,27.666604741492723,20.376826360667405,17.343272756462543,38.77517496354329,16.95561609640369,37.446897578441956,-42.40831787353962,44.60642785538037,1.2588026477505978,27.492657364467867,9.562985718800626,50.040120469441604,79.12088688184723,34.360676222315206,137.61628208605896
11.75,62.67095800912582,34.33840358658392,27.665881244217942,20.36780933598372,17.78907519835033,36.067964214073754,16.11003400254355,37.96172265149302,-39.06368699476574,44.21931761123232,1.4478151445301781,27.240539822025333,9.559637231181949,50.03699747170922,78.41155431593916,34.354747010655686,137.54387919199124
12.25,62.669726159602725,34.33836420374068,27.665183621361813,20.359111228477538,18.33247238989964,33.181193399105474,15.563366951707824,41.18276108480981,-31.398349679496263,43.64188832426553,1.6555319410294027,27.115672208377458,9.556407467333475,50.033986054432475,77.96925799224614,34.34902902291688,137.5944341196076
12.75,62.66853785257385,34.338326213663436,27.664510653879955,20.350717214403673,18.720367438218247,31.588793273251543,15.321267591841853,42.4068212933113,-23.639059259081897,43.117662767441686,1.8686007724466949,27.047157441023607,9.553290892243904,50.03108096681119,77.7777981029939,34.34351235472667,137.6815995374813
13.25,62.66739106007222,34.338289551445364,27.663861193672368,20.34261331919182,18.84078513695738,31.395927599893785,15.211601886919185,42.621289079152334,-21.477554296290137,43.069770881765436,1.8898736346485134,26.987293529432538,9.55028228907873,50.02827726320106,77.69220301362793,34.338187674904056,137.7054914163972
13.749999999999998,62.666283870820635,34.33825415591711,27.663234158686794,20.334786359877814,18.911766250996642,31.368616285199387,15.339061326923758,42.75149807978115,-19.949621064891605,43.21659511725832,1.9466361054154828,27.032499757334357,9.547376737525019,50.02557028208498,77.79291407091317,34.333046186148536,137.71416636427148
14.25,62.665214482267096,34.33821996939145,27.66262852841178,20.32722389202657,19.03597184328335,31.536072646907204,15.594087133495623,43.0068269891126,-17.87817323935276,43.06840667131312,2.049465454033681,27.074186820466313,9.54456959383314,50.022955626715,77.99597958526633,34.32807958883626,137.80645793021412
14.75,62.66418119324727,34.33818693742809,27.66204333972453,20.31991416075152,19.264795792244943,32.712720107513185,15.844162413703883,43.34721728030492,-12.24019606173036,42.36189565235073,2.3063466321849044,27.035534288461026,9.541856472405424,50.020429147275415,78.19781442855111,34.323280047645625,138.34841297687285
15.249999999999998,62.663182397218264,34.338155008616795,27.661477683061836,20.312846055473937,18.97904336237504,31.491379202238562,15.789841130490428,43.02296444280586,-18.333979950972193,44.1474001841833,2.168907233126477,26.946400019893712,9.539233228796487,50.017986924431426,78.1543320850014,34.31864016076265,137.69149200022744
15.75,62.66221657601322,34.33812413437733,27.660930698885807,20.306009068100003,18.525777951072957,31.523439750136568,15.408452173169568,41.61830269950212,-23.056093511845624,45.64148962433997,2.0122985064765975,26.91410298780627,9.536695944003029,50.01562525414223,77.84971064667981,34.31415293144103,137.49657563508305
16.25,62.66128229407163,34.33809426877443,27.660401574418625,20.29939325432433,18.298752275184263,31.06138565402423,14.863141072941833,40.373936488868374,-19.683434083368727,45.93068168885574,2.1260694081704425,26.86235030900397,9.534240909932775,50.01334063362839,77.42491779920789,34.309811741713304,137.44892469638486
16.75,62.66037819310431,34.33806536834696,27.6598895406233,20.292989197796217,17.97283640849029,30.731039210375634,14.563768002718062,38.05892624108096,-18.78413199060567,45.99983040036541,2.133164276612577,26.85036270937495,9.531864615952612,50.01112974839453,77.19745671327564,34.305610328069605,137.42188630752827
