radius,b_iso,err_b_iso,b_ani,err_b_ani,B_bar,err_B_bar,pani,err_pani,po,err_po,pB,err_pB
6.25,6.461015996494439,3.0393786729873664,2.958367049489584,1.2967859160333284,3.0354890600131714,0.4331982442422892,-7.56236005826769,-0.2066497376426534,-8.182533850594146,2.6320988352101455,-8.474418148901679,-3.962031413933323
6.750000000000001,6.47383967291386,3.045243412530955,2.6724302286448096,1.1734311484747773,2.613075704540314,0.3761303692618108,-6.386135680437098,-0.15306059183494494,-8.098678708077658,2.7636677892918917,-9.012102149532538,-4.225367878464763
7.25,6.6692200333526666,3.136983002876391,2.5729115864282064,1.1315901974013731,2.3678447273168013,0.35932071975638846,-5.708059749722829,-0.1268865764048819,-7.642259459727288,2.6362934227364905,-8.769517839979036,-4.134227040849867
7.75,6.027814057083132,2.835142754320294,2.470815586667035,1.085270591745981,2.3437728986787976,0.35585213216429856,-6.2898873992821285,-0.15010897426916422,-6.67925249436081,2.077397356061993,-6.884740068749607,-3.2479007928391668
8.25,6.008184002939462,2.8257721686840176,2.4624852339583563,1.080696944233343,2.2669436837668586,0.34525199327393563,-6.291212856477287,-0.14681132634390134,-6.073934221856327,1.7605566702531639,-5.931230491716727,-2.794479705511771
8.75,6.485886434417023,3.0503025502372436,2.420328334618067,1.0627799102790598,2.0607741113606766,0.3156767979938809,-5.332541669255075,-0.10658269655434692,-5.865793205799913,1.7728119009206365,-6.203964698720249,-2.9239921307896646
9.25,6.867172613054168,3.229475416920868,2.3473543113801765,1.0323772172810746,1.8716570181489862,0.29499306510585477,-4.710459075161761,-0.08524786183513204,-5.772391416894631,1.8190442414005845,-6.521461803159551,-3.0852583661060167
9.75,7.0728235300820765,3.3260442699552875,2.2022359971054843,0.9705458334933585,1.6594159488748665,0.26599261175609024,-4.015037251074435,-0.0645631280717811,-5.8184585447073776,1.9848749018923706,-7.197794913363462,-3.419832379516204
10.25,7.3719385649422495,3.4665606261010287,1.978157998015044,0.8770523177439272,1.370522048570423,0.2311873079422514,-2.9939399569799603,-0.04068027646683442,-6.205118642212496,2.4654637048309618,-8.956524111928113,-4.313141159618218
10.75,7.639922547664898,3.5924324337988027,1.8455286086729084,0.8225563013470887,1.1846739081068647,0.2081852550796145,-2.45105582486716,-0.029716329390430538,-6.343621048317509,2.719169639591764,-10.029282945651198,-4.888985203028769
11.25,6.988149089524019,3.285829415600859,1.76022055330575,0.7830198988642111,1.2057786544711224,0.20629546365276138,-2.6096585107454175,-0.03293131470512494,-5.881191533745116,2.425281083675717,-8.72644759087288,-4.245884662440577
11.75,6.0832708838720135,2.8602488042838043,1.6984960768421822,0.7521169191097584,1.2833786849821711,0.2088222115150373,-3.3023168892176438,-0.04796594056789836,-5.255755760970624,1.9051293706420058,-6.747249489237729,-3.252284568626839
12.25,5.103936024339928,2.399696196491341,1.602364546277967,0.7072641689891158,1.3359247779243733,0.21014395332538785,-3.954573438381566,-0.06573130532996084,-4.64066188504786,1.4676055848320284,-5.097240060100534,-2.4387699572551895
12.75,4.402845711519114,2.0699956995682,1.4919634546945153,0.6576784350070007,1.327877369230403,0.20569792589825545,-4.605312318065249,-0.08646198179089087,-4.328225336830272,1.2273232758940924,-4.151575697613434,-1.9798901777156124
13.25,4.133038216476071,1.9430807906779588,1.4198769969854874,0.6256959578364121,1.2809059406340901,0.19703246936535307,-4.667417162006261,-0.08863515569599766,-4.119198771126647,1.129823928010679,-3.781639768319489,-1.8014389505710768
13.749999999999998,3.824777988716209,1.7980991303794085,1.3270037584983065,0.5850284654719285,1.2169378345965915,0.1887267523154506,-4.760550203588029,-0.09312287532449658,-3.98311999803781,1.068852648929298,-3.517129528386875,-1.677638052072196
14.25,3.4001514272485394,1.5984243966879985,1.19240259614367,0.5264803293790591,1.1334681891712655,0.1786415965499094,-4.844529714307087,-0.09976334693697579,-3.8681611546407897,1.0381852630400057,-3.312071482953607,-1.5874774585541482
14.75,2.7660017127035603,1.300268924526378,1.010647382584215,0.44727162280988736,1.0395977281310076,0.16641976513847026,-5.180394194382974,-0.12006504534568486,-3.7354608754558782,1.008685173704682,-2.9988726447495706,-1.4484782492569663
15.249999999999998,2.7760092870703015,1.3049353265032875,0.9682296003281815,0.42867215912949636,0.962527737366303,0.1535648447990286,-4.8928862021046,-0.10660777414261045,-3.7351597234567846,1.0154424702302727,-3.116041052379297,-1.5061102716701222
15.75,2.8439978384229136,1.336857411343358,0.9851220520649207,0.4349375231619662,0.9335630748265517,0.1454208234351414,-4.774743646424927,-0.09653352420639397,-3.6031980847553013,0.9337520372351983,-2.9347646470603896,-1.4048562743002253
16.25,2.605877515317882,1.2248925034403857,0.9761131107707048,0.4293309219777093,0.9308150164040446,0.1399738139844618,-5.473484205885925,-0.1170530546182408,-3.4933623260941586,0.8388675203830612,-2.3746695053364344,-1.122218373958226
16.75,2.476333092650696,1.1639694285137474,0.9671589255368328,0.42444523622076497,0.9103264558027572,0.13419980581678007,-5.9348401412275065,-0.12985042171652725,-3.461777011977404,0.8160050258176721,-2.03962032246913,-0.9562546201522465
