radius,h_err,l_err,u_err,cs_err,sig_err,Btot_err,Breg_err,Bord_err,po_err,pB_err,pani_err,alphak_err,taue_err,taur_err,dkdc_err,mach_err,gamma_err
6.25,51.12621894599487,25.790245356288565,20.90361945937159,20.48854888862792,16.98182315533076,24.888191723974636,11.759406097039756,16.815689607995104,-25.76019240867434,41.58556858429285,2.5615292717271867,19.614063192446544,8.77213937533347,38.735060377816396,67.72602529450965,29.270154459174197,110.93432927776547
6.750000000000001,51.12390337929062,25.790164947497352,20.90220358616592,20.475287862531786,16.921900468788166,26.456110404493245,11.908430882575582,17.462240366765144,-27.22334317058046,41.80390735071046,2.2851037280498567,19.492257666653686,8.771556047894823,38.729094838277,67.83114931069883,29.259862060697905,110.93768772644692
7.25,51.12168180686049,25.79008780587475,20.900845156697375,20.46255761982892,16.60117889367249,27.548751809584875,12.841331404339279,18.41939923056338,-27.458390071511896,42.07285689156617,2.121981132103836,20.03821582834855,8.770996387453582,38.72337084415364,68.50954131434786,29.249984489039626,110.94044514795843
7.75,51.119549210680674,25.790013756789598,20.899541106195795,20.450330302464277,17.060926838420347,26.72724897112016,12.850623639641757,18.064661700427326,-24.352445156270942,41.91251945926399,2.276082066880747,20.195330609526827,8.77045913127076,38.71787553983417,68.51746422814391,29.24049978932399,110.91878875265184
8.25,51.11750090310028,25.789942637124124,20.898288571516602,20.438579850504436,17.15705338510966,26.891428398595107,12.906082384290269,18.447799225519937,-22.502876117983124,41.76279261423371,2.2217875028661944,20.332613029959134,8.769943099684056,38.71259691303445,68.56006258491507,29.231387437544377,110.90968198130253
8.75,51.11553250108618,25.789874294374943,20.89708487543577,20.42728186506216,16.951540993243334,28.24526364878206,13.010417349478859,19.440189884221695,-22.981219080210863,41.808253005024106,1.939486127930441,20.33550120411015,8.769447189636537,38.707523729323924,68.6397756917614,29.22262823029208,110.9140964577205
9.25,51.1136399027794,25.789808585834876,20.895927512353158,20.416413483224265,16.863133173456472,29.297573899754152,13.528856251370017,20.339694055859642,-24.22844169946003,42.04388666280312,1.7208248931823715,20.56818645695333,8.768970368785672,38.70264547250122,69.04035603398513,29.21420418425768,110.920230845714
9.75,51.11181926612942,25.789745377847495,20.894814135261807,20.40595326379964,16.87386968868699,30.208307387451782,13.840410978059317,21.07502928266797,-26.455147194902786,42.345212615382906,1.5278279181249155,20.57147734674481,8.768511670134034,38.69795229023081,69.28773652123188,29.206098444528873,110.92989604742094
10.25,51.1100669893984,25.78968454512684,20.893742543856646,20.395881082833473,16.766680596482388,31.363246637889198,14.804291858345902,22.217554268861083,-31.28654325322306,43.28838943791386,1.3334084611101538,20.689777413948647,8.76807018712953,38.693434944416765,70.08093990114483,29.198295200816943,110.96165915760758
10.75,51.10837969335081,25.78962597013627,20.89271067367027,20.386178037947616,16.573224575661982,32.02654426055065,15.602454244674128,23.209596741262153,-34.463637515746484,44.11516956538238,1.1937743393198477,20.789163738806533,8.767645069188832,38.68908476584836,70.7708952585597,29.190779610839336,110.99059829074595
11.25,51.1067542049638,25.78956954252025,20.891716586135598,20.37682636066741,16.962346094784817,31.72240790083867,15.077574834860153,22.467532213727175,-32.600536606701866,43.8328976803921,1.241475897241721,20.50333776333428,8.767235517602764,38.6848936127023,70.3150478698818,29.1835377301691,110.95267501175567
11.75,51.10518754251192,25.78951515858427,20.890758459486236,20.367809335983722,17.533752007390785,30.933444728284208,14.119969591160366,21.195678109081573,-28.200315277984682,43.0917944836808,1.378255221135166,20.164018951406707,8.766840781786867,38.680853832531945,69.51591951643292,29.176556447935752,110.9084999589285
12.25,51.1036769018952,25.78946272081811,20.889834580414743,20.359111228477534,18.178201125883557,29.811129471892333,13.492914309580991,19.887357921278543,-23.56554978997224,42.54154818008378,1.62385905197811,19.995007621641818,8.76646015584426,38.67695822741248,69.01663863037044,29.16982342782711,110.87830970417352
12.75,51.10221964409358,25.789412137458523,20.88894333641755,20.350717214403673,18.61580867991664,28.90618816789675,13.212932540242821,19.018013368827443,-21.276600328247298,42.30051114100647,1.8302264687051453,19.901994274867516,8.76609297541147,38.673200021946506,68.80026957595285,29.163327053899202,110.86211857043327
13.25,51.10081328364278,25.789363322087453,20.88808320876279,20.34261331919182,18.747668945902426,28.71404012474677,13.085609563879993,18.825701820618228,-20.700321039550268,42.218029343577065,1.850401944782099,19.820561609628836,8.765738614760881,38.66957283386497,68.70349063245972,29.157056380752127,110.8548783809252
13.749999999999998,51.09945547803791,25.789316193262806,20.887252766023625,20.334786359877814,18.825937210007428,28.54664750027367,13.233561428554005,18.66132005561576,-20.44130172584948,42.2741812242925,1.9068143757632283,19.882069651010255,8.765396484136271,38.66607064698571,68.81735751696793,29.151001087675088,110.84927234776727
14.25,51.09814401798016,25.78927067417848,20.88645065812588,20.327223892026574,18.963188227141902,28.276154158126015,13.528336897757901,18.30834220572181,-20.66733113326064,42.524437824609045,2.010493033874327,19.93871215667783,8.765066027300206,38.66268778631622,69.04682503518164,29.145151436403673,110.84382500860477
14.75,51.096876818391046,25.789226692351303,20.885675610863633,20.31991416075152,19.213457359328547,27.441082469017935,13.815854236492617,17.476613827984703,-21.29578480555483,42.92710607693177,2.267199098642437,19.886195330929766,8.764746719274296,38.65941889510843,69.27473852260881,29.139498232168208,110.83639302334443
