radius,h,l,u,cs,sig,Btot,Breg,Bord,po,pB,pani,alphak,taue_e,tau_r,dkdc,mach no,gamma,e_folding
6.25,0.14563555017934468,0.026967944644609318,4.270023486969319,8.661544364072348,9.656886213995849,6.32483151419648,2.4872940015433938,3.4539984735138805,-6.4410492964111725,-5.955576018694012,-7.414558780697125,1.1346136557045017,6.1802621776350914,24.844409659952664,10.647060468158577,0.49298638989614396,10.326516829104756,0.09683807391680721
6.750000000000001,0.15696809386616425,0.027247959932723408,4.345591290911804,8.72205311461572,9.744658752456461,6.116038079999723,2.1496067114429156,3.049724564479018,-6.32192647629833,-6.297875800991105,-6.367325510724343,0.9884416596399949,6.135845688219212,24.149367986883963,9.190004145304108,0.49823031731253836,8.205527996310598,0.12186906198475271
7.25,0.17509899250970432,0.02810047875825355,4.672657753537096,8.782144971335995,9.947854079109346,6.154437979208239,1.9531126723199386,2.853852636112243,-5.930610721310377,-6.085149619266794,-5.660783993598484,0.8755623578347244,5.884899648440086,20.309721233278264,8.477519914075291,0.5320633818717595,6.880828190407721,0.1453313427290713
7.75,0.18920598495968605,0.02825853967091485,4.257448317937777,8.841828434263267,9.813449762487075,5.641370993963067,1.9178929212864033,2.7672120174772354,-5.265412571017859,-4.7185267828497235,-6.252263824644738,0.7622733537178781,6.495156876490764,27.369488746152378,11.241932327632888,0.48151220639382636,6.646023102983797,0.15046592292931396
8.25,0.2032039744695094,0.027986401713195143,4.188350826774069,8.90111171845016,9.837279729298633,5.587776211302189,1.8506996391805108,2.71317909667495,-4.825600245902904,-4.008059409770958,-6.2414336262205,0.6453485899406107,6.538728820393439,28.85276031307381,12.35882922694139,0.4705424400069584,6.00179850050871,0.16661672328973398
8.75,0.2132050728847259,0.02742359696081456,4.400211284395746,8.960002767171172,9.982159532638153,5.8561922077987,1.6900835477881773,2.5779071445162067,-4.641560170079303,-4.141727556947409,-5.427181924827526,0.5492308667850775,6.098741163805205,24.70592226499508,10.372892477930543,0.491094857751363,4.954746862072084,0.20182665791765558
9.25,0.22121166365665285,0.02675107305415163,4.505577427788927,9.018509264346264,10.081355926109369,6.0612612227067375,1.543103730976892,2.435470871752671,-4.420754552035833,-4.297534203084352,-4.599959467939427,0.47255970593890145,5.810052607787654,22.74260997892507,8.933516689790627,0.4995922602864375,4.117347428321256,0.24287481622791413
9.75,0.225900261279768,0.026203389882179084,4.516273411306551,9.076638646243648,10.138150454602567,6.127903676603442,1.3789988589579272,2.240006267675346,-4.355833335738727,-4.699800590075791,-3.885784587954613,0.41847020463432394,5.677623211495517,22.405149693995593,7.520952100041708,0.4975711369952579,3.396175436841787,0.2944488641994102
10.25,0.23085038755385925,0.02590970705352615,4.642635865311948,9.134398112512288,10.246526077444438,6.252504263502247,1.1616366297605643,1.9643738150424002,-4.582632900162293,-5.819158263408209,-3.0272798463503108,0.38169610286525824,5.46118885660396,20.65425169608809,5.563504227280845,0.5082585418466128,2.5776341680712376,0.38795264758158776
10.75,0.2435627541901492,0.026088508130137907,4.85997784495855,9.191794636590418,10.397522459448707,6.396764092868328,1.0231826777950803,1.7959351070413967,-4.627291341428911,-6.468336340314932,-2.474664635863113,0.35332174790783355,5.252962132002807,18.358109616052527,4.63381658514818,0.528730029020894,2.0705272157553103,0.4829687783819875
11.25,0.2539797901672311,0.026281007104367513,4.492575479641102,9.248834975532684,10.282226550942609,5.867547788902705,1.0227750323606772,1.7384504010896478,-4.261263599488509,-5.569777531095597,-2.632097024150602,0.33204643263514566,5.724478597960331,23.703412492366265,5.669385023164794,0.48574501453707186,2.124597778140533,0.47067732551015323
11.75,0.26607397255032056,0.026548627274176628,3.9656940332603896,9.305525679295124,10.115312023534324,5.162433849070633,1.0638600668950042,1.7221217246862894,-3.7879339230890694,-4.253993998200774,-3.1463705269628917,0.31198244791444124,6.551069113557959,35.24092014853144,8.204641704545358,0.42616550315734375,2.3303376013197763,0.42912237241232964
12.25,0.27833529863720674,0.02681925882127047,3.3738424088073073,9.361873099514078,9.951255223883669,4.405282129487558,1.0895189056395918,1.677454532320144,-3.4932113551704838,-3.1764272242695837,-3.9803941355351915,0.2928932626699612,7.778776496713268,58.516568345815884,12.566264531674731,0.36038113024437646,2.498237120062986,0.40028225982599597
12.75,0.29208109251357617,0.0271530221161538,2.9603170706264432,9.417883397812357,9.872183388361055,3.8537532913275268,1.0741563740147715,1.5999548682968845,-3.337748226479655,-2.560421885732947,-4.631384443918822,0.2751166211440871,8.975719223481754,88.75463860651683,17.304034244007408,0.3143293397871207,2.5023031103730418,0.3996318415041736
13.25,0.307997437721164,0.027563114997575168,2.836748453229382,9.47356255366343,9.889162211485523,3.622469875177503,1.033351023212584,1.5289253386015962,-3.193435954760681,-2.3101071133667874,-4.688085323785419,0.2587627587458216,9.508166651929686,103.60326159201585,19.55764096449675,0.29943840420755025,2.3709104124623215,0.42177890600321954
13.749999999999998,0.32890627160379815,0.028606740199684913,2.7646585134675243,9.528916371841989,9.921874012385299,3.360201691112177,0.9798607122060161,1.438120015056798,-3.1091343896906887,-2.141612423381172,-4.779940620016468,0.2515932822962517,10.125493310410395,117.52002441784025,21.657203919557233,0.29013356876938373,2.2450768228890365,0.44541905640145
14.25,0.35172186666098904,0.029996316539279262,2.62675530001871,9.583950489487234,9.93740159151873,3.0029145814533917,0.9109499995215965,1.313329125128405,-3.0324808818591134,-2.019001734657463,-4.8655120670705445,0.24980058110894196,11.174745099263014,145.33799214692735,24.483472909909455,0.27407855486107047,2.113506957883635,0.4731472476444327
14.75,0.3799355450719655,0.0321224136969666,2.352468040028233,9.638670382803166,9.921596274172883,2.486173755746106,0.8332871164815353,1.1570417411792078,-2.9615524305175795,-1.841237702209619,-5.210120020216104,0.25699335536702506,13.362070346553402,219.15540678197573,31.11177432916889,0.2440656176214293,2.014175840356823,0.4964809824264619
15.249999999999998,0.42744078147019,0.03542050431873428,2.7041095610413572,9.693081373418426,10.063202026682488,2.4672712380217514,0.7729174815976411,1.0910615938632426,-2.8957458006079633,-1.930006003380288,-4.745062618694666,0.26990050625827455,12.817985367584363,160.9113073716552,27.66699054141644,0.27897316208000716,1.8769814960497415,0.5327703027997774
15.75,0.4950207320773524,0.03966280693658641,3.2373905351810435,9.747188634426625,10.270753806433847,2.5165754504660627,0.7502916945052505,1.085376321962367,-2.8967434515120027,-1.8293747287821667,-4.810168157124116,0.28399095070661773,11.988853908470071,106.17881316240123,26.532814336485483,0.3321358246568378,1.8281583727819755,0.5469985614420612
16.25,0.576498344116448,0.04479888639203516,3.5074379483723908,9.800997196126518,10.409691013673875,2.346298687523224,0.7466150696435508,1.0782588530698207,-2.8663477946239238,-1.4907477237877866,-5.343887532158298,0.30157326255459077,12.4987487163408,95.34956494016869,32.90908211556882,0.35786541697599666,1.8821793222194187,0.531299004401358
16.75,0.6697367825422907,0.05022587936638056,3.900123074847958,9.854511951480104,10.598224653253284,2.2490881993399765,0.7296221715231155,1.0618058706109479,-2.924769370666766,-1.2870559038375498,-5.816873535362612,0.31534543305579477,12.601973205664983,78.6038486539404,37.14485124782631,0.39577029223270427,1.8700005933605808,0.5347591886069397
