 ,M31,M33,M51,NGC 6946
B_tot,-0.0469649778576959,-0.11724555690583194,-0.05100884054180615,-0.01921173240969618
B_reg,-0.04727627947866915,-0.09194232850394714,-0.1081058940978348,-0.09256408338607108
B_ord,-0.04906156122972218,-0.09552751561728626,-0.0790421166941091,-0.055765900490221336
