radius,h_err,l_err,u_err,cs_err,sig_err,Btot_err,Breg_err,Bord_err,po_err,pB_err,alphak_err,taue_err,taur_err,dkdc_err,mach_err,gamma_err
6.25,62.68810930104769,34.33895199766347,27.67559398655777,20.488548888627918,17.15017292989248,33.6926302677625,14.086989957507305,25.079296106043103,33.62080848250866,46.78816346435394,26.835998666715298,9.604499621889719,50.07891337921796,76.82918251692425,34.434272724576154,137.5163254744735
6.750000000000001,62.686220820538686,34.33889160673933,27.67452458063375,20.47528786253178,17.11146323985799,35.68177382453268,14.21162835120929,25.999724152004205,32.83380634940666,46.979578248595516,26.74710187040605,9.599569621484754,50.074299293773315,76.92186685745878,34.425524307084174,137.52339885664378
7.25,62.68440902479811,34.33883366969534,27.67349859108556,20.46255761982892,16.906048969042445,37.042297108454605,15.001981420595282,27.222198280603894,32.28449268554498,47.210827321398575,27.147549486208472,9.59483757040378,50.06987230165443,77.52074583702503,34.41712929074174,137.52925578609705
7.75,62.68266981813634,34.33877805536576,27.672513699628777,20.450330302464277,17.22034436965416,36.06184095769286,15.009936116970499,26.76608170951314,34.39644936410516,47.04906034151457,27.263725496541202,9.590293039904855,50.06562242785185,77.52774786024213,34.40906891992329,137.50608945223263
8.25,62.68099937464906,34.33872464123304,27.671567740642306,20.438579850504432,17.300903117821317,36.29250039091426,15.057443900539807,27.36274437914351,34.64525539466396,46.906458183660106,27.36557147491576,9.585926277324832,50.06154035306163,77.5653979921058,34.40132566530542,137.49851725644828
8.75,62.67939411717294,34.33867331275239,27.670658689263988,20.427281865062156,17.160116769041952,37.99389613428742,15.146967152385201,28.792359414496815,32.83042245797315,46.93897570160784,27.367717455882662,9.581728154287326,50.05761736265827,77.63586536544574,34.39388312901638,137.5090446232101
9.25,62.67785069813176,34.33862396273727,27.669784650555044,20.41641348322426,17.107145657508198,39.32959661081345,15.594537690423833,30.023389448706943,31.205083918865245,47.138585646252636,27.541053786132757,9.577690119470336,50.05384530023894,77.9902528866635,34.386725958225114,137.52308770847188
9.75,62.67636598208111,34.33857649079935,27.668943849625173,20.405953263799642,17.120576594789043,40.48902457915117,15.865580050833334,31.050744233960113,29.522006774860976,47.394018093565975,27.54351157260624,9.573804155481477,50.050216525277015,78.20932947073477,34.3798397663236,137.5439988730895
10.25,62.674937029781596,34.33853080283759,27.66813462262209,20.39588108283347,17.05016559770905,41.950790213913045,16.71307008705769,32.57106200033172,26.772801494393722,48.21014340156527,27.63197855676279,9.570062739438479,50.046723874475,78.91290719175268,34.37321106095012,137.60395896564026
10.75,62.67356108365002,34.3384868105716,27.66735540850028,20.386178037947616,16.927583771049672,42.79254322422707,17.42401310734601,33.899725435739825,24.737772761369126,48.92368750734276,27.70647358437316,9.566458806896282,50.04336062645207,79.52627490159668,34.36682717818402,137.66931770555132
11.25,62.672235554453316,34.33844443111482,27.666604741492723,20.376826360667405,17.197935206103438,42.438930121787145,16.95561609640369,32.96144732690424,26.696360053238998,48.678721680305806,27.492657364467867,9.562985718800624,50.040120469441604,79.12088688184723,34.360676222315206,137.60597799071235
11.75,62.67095800912582,34.33840358658393,27.665881244217942,20.36780933598372,17.647504890547484,41.496788796397816,16.11003400254355,31.325104421935546,30.09816216656724,48.03813883351674,27.240539822025333,9.559637231181949,50.03699747170922,78.41155431593916,34.354747010655686,137.53272363839463
12.25,62.66972615960271,34.33836420374068,27.665183621361813,20.359111228477538,18.209433094159863,40.16756862341295,15.563366951707824,29.58993257628915,33.83873759724082,47.56640873467195,27.115672208377458,9.556407467333473,50.033986054432475,77.96925799224614,34.34902902291687,137.48597360945553
12.75,62.66853785257385,34.338326213663436,27.664510653879955,20.350717214403673,18.617636480618025,39.11423104105884,15.321267591841853,28.411815952510942,36.51284540259268,47.361462366488524,27.047157441023607,9.553290892243904,50.03108096681119,77.77779810299388,34.34351235472667,137.463220850414
13.25,62.667391060072205,34.338289551445364,27.663861193672368,20.34261331919182,18.747532654574645,38.911485846773964,15.211601886919185,28.17580186352073,37.31238489488412,47.29061333335654,26.987293529432538,9.55028228907873,50.02827726320106,77.69220301362793,34.338187674904056,137.45506344743
