radius,b_iso,err_b_iso,b_ani,err_b_ani,B_bar,err_B_bar,pb,err_pb,po,err_po,pB,err_pB
6.25,8.160505146169864,3.7685008795009125,3.593312889163468,1.5466413572915996,2.553235321323889,0.3596740033064257,33.891968040094504,4.459671667110689,23.914722421745303,5.263216204274961,13.312735723399843,6.03705705623152
6.750000000000001,8.165142422463312,3.7704268378778716,3.2450244424905135,1.3991839836599835,2.134115913064713,0.30329262214877384,34.568120551064034,4.71941644136561,25.3917264173819,5.306356813046448,14.054354780376153,6.377532413156586
7.25,8.401620335205958,3.879412738246901,3.1228717295694763,1.3488089285931306,1.895225219707827,0.28432133533900433,34.95889023825303,4.948570296929528,26.075992496531782,5.23532759374741,13.617012664684012,6.223583018714081
7.75,7.568351604060224,3.4944704274377134,2.9914105482372437,1.2902823605679254,1.99005137542138,0.2987054401456419,34.601571981712056,4.770127558351711,23.205914634733,5.316589569285857,10.58509612842161,4.8847788837072565
8.25,7.518065353518225,3.4710766399561215,2.9746400027996494,1.281923573301098,1.9519476564309026,0.29391342333498466,34.59521563122206,4.663147585843511,22.387370806918945,5.3387492372094405,9.002535836068626,4.164864460327287
8.75,8.093853895283198,3.736735507412066,2.9197943041184775,1.2590053739428197,1.7265932233580532,0.2615265083973532,35.12139982072468,4.760362460816923,23.970480328256553,5.30542462067707,9.304028667664458,4.30396137737744
9.25,8.543270969550885,3.944036117521604,2.826974914677388,1.2209939823858966,1.5218379746018544,0.23732359653646884,35.5505743422238,4.981900873137933,25.42564596416881,5.240605016032388,9.647343958231444,4.477749406032957
9.75,8.778107000444823,4.05226694442027,2.648835451482157,1.1464941320556277,1.288296059298968,0.20439564257980905,35.94839573368216,5.249594483121533,27.207068061081046,5.087477544255745,10.528421501329687,4.899613067606722
10.25,9.135938698181713,4.217271490132512,2.377980715777165,1.035697439407906,0.9227705719757523,0.15422329243705063,36.47208425694033,5.949609583127845,30.890787658687913,4.564733217226477,12.978026416957746,6.086698440482177
10.75,9.451047672781678,4.362548212341617,2.216381320105505,0.9705807641536539,0.6661738541070008,0.11607421965731589,36.7692061174577,6.502999999137548,33.770033312502,3.912417093678744,14.391356795725702,6.808193569104462
11.25,8.620743576322472,3.979124957265994,2.109766437611492,0.9220452963134317,0.8257583111577158,0.14001240912404894,36.65419686236729,6.306336029936037,30.719392630772354,4.68245338964017,12.40871214719296,5.893530215559644
11.75,7.479698619287347,3.4523128465539568,2.030764507391204,0.8833252996726377,1.0259381406827446,0.16527898330905322,36.33575722693342,5.814884468455832,26.508421883897267,5.389339197119052,9.490246242662565,4.494926198449842
12.25,6.254866436356182,2.8868743422072374,1.9109867687057838,0.8284516795384631,1.1536832654055487,0.1795519600555108,35.89829559430408,5.438738096396201,22.819058602245384,5.777077537097033,7.082057361385519,3.3427546426858545
12.75,5.380303111133188,2.4831385398958763,1.77552683593882,0.7686897898960836,1.1826647864362234,0.18119923664437873,35.563130945253995,5.275453606719974,20.57473919066157,5.923796065163252,5.702188057015801,2.6873802738963026
13.25,5.038436575713541,2.325278176078411,1.6869534464576696,0.7300942593055935,1.1502673302349788,0.17497408691063898,35.49544781242755,5.2353785448017405,19.884572915997715,5.982491940978088,5.141557807092634,2.421913700018412
13.749999999999998,4.658750451102858,2.149977921140729,1.5756847443804767,0.6822514157730257,1.0993429549755354,0.16862889005691323,35.447231093567844,5.287581599697419,19.317177150616153,6.029654490290447,4.76543952478728,2.2485539731894577
14.25,4.142164673392236,1.9115155792705785,1.4159554516434991,0.614049080684827,1.0304671194541053,0.16069194048969562,35.39565819861346,5.462183827752587,18.547324054930915,6.073063235925776,4.491085718137044,2.130026778913321
14.75,3.3747708792173907,1.55733189441657,1.2011836249079806,0.5221704831622281,0.9548739225681588,0.15129177513780415,35.19196772567392,5.715484020706841,17.01631045836148,6.061939895236411,4.094074152635686,1.9575691706005143
15.249999999999998,3.3951080358105257,1.566669326828447,1.1527826217982347,0.5013395302934988,0.8805184129702686,0.13903245853272103,35.428431111453136,5.772021991710037,17.763991656444443,6.124590300989807,4.298173046255531,2.0561895648701394
15.75,3.4854424970447866,1.6083070086852933,1.1745351752548174,0.5093265350866685,0.8527750430678964,0.13139943465584297,35.46479255789028,5.463515563401863,18.329217249848462,6.144622173872012,4.084902287754395,1.9353188626827733
16.25,3.2000913738666243,1.476594057651787,1.1650408475203233,0.5032295900251164,0.8578230800487013,0.12749945454389322,35.07238048377197,4.997577790559852,17.518883857196126,6.10432654520614,3.335434236337411,1.560498959225559
16.75,3.0461812569653204,1.405537963271501,1.1554649629815776,0.49794089097783845,0.8425459710940585,0.12270644054638664,34.84448276575758,4.7064362143639515,17.288564083780237,6.086576083148105,2.8864754562376076,1.339923407068028
