radius,b_iso,err_b_iso,b_ani,err_b_ani,B_bar,err_B_bar,pb,err_pb,po,err_po,pB,err_pB
0.7504,24.6544272131371,6.639294631204044,5.612107652798482,1.5529105821739786,3.6842835263272047,0.6777949434760567,36.84450087921749,8.320494826319692,21.673508919779152,4.241219288089687,6.403843121747344,3.01343456057162
1.257,20.552907665825337,5.224350784463754,4.798936377587705,1.1924777071505,2.853882316009438,0.42223438234631855,36.7804761070283,6.554158470825825,22.054172401785312,3.7332592000961347,4.818116899037553,2.085590388663933
1.752,19.867905130688584,5.052970695506742,4.126586139591843,1.0307611527321874,2.167500349507099,0.3171877075909686,37.05247717647271,6.721482122479294,24.09425227079232,3.648410486419659,5.131846955186723,2.235901165916977
2.259,17.057067959394107,4.350007471160575,3.6190869514920783,0.8950526022003437,1.931592559326226,0.2654317087527809,37.00712552783445,6.357800658388685,23.47713148643252,3.647455030615318,4.451658512304343,1.9148783859087253
2.754,13.41511692083233,3.419533536779962,3.1187278378927172,0.7539609924789785,1.7760581677296947,0.22182044618158198,36.79163509580788,5.652634597332378,21.70630149882143,3.662469188830564,3.1393676971055338,1.3169301415393406
3.249,13.590246882287587,3.504981830434586,3.031732504637666,0.7317875770386014,1.5708189528643204,0.1860723508111298,36.89331439585247,5.238523624686079,22.95055039145004,3.587463369154522,2.7882001456827514,1.1562591351334024
3.756,12.399974154908985,3.194630791241203,2.7421925792592936,0.6608430463981757,1.410775543521664,0.1662861256513147,36.91385519801375,5.255402392965227,23.085922059376006,3.5742049987816804,2.8296934483603624,1.1768847280680546
4.251,10.396070401284272,2.793869412903363,2.2804383160396813,0.574639814765238,1.2104005054400626,0.14620197581332145,36.93270728046322,5.430929257732628,22.45074046387347,3.8050446326722445,2.4890721017357786,1.0536007869054003
4.758,9.515064275605175,2.5588193121074463,2.133570667713842,0.5344407383260359,1.1367338795635253,0.13279029346716978,36.88105582342087,5.21852173895981,22.239773381566366,3.7955926360999004,2.2493460168323347,0.9484662058792129
5.253,7.890084892944189,2.1914514713433477,1.8450973773810022,0.47600020986744357,1.0333110180118827,0.12074076472369344,36.77652122880673,5.171376388185685,21.237707698741307,3.978234330261895,1.8840174353104115,0.8015378403191543
5.748,7.390932145358708,2.0861054081795487,1.7573529344339014,0.458013436314713,0.9760001021101102,0.11197204610244159,36.73292968757376,4.974684952700667,21.2330750962261,4.018380883490118,1.6796827630747222,0.7153431333667535
6.242999999999999,6.071687216789756,1.7083944652854448,1.6078547520322997,0.4146704445714714,0.9578029681566855,0.10632573828884284,36.41759659568066,4.693934803468585,19.851836708230916,4.0133695091916755,1.3679743969780112,0.5798976132184416
6.75,4.660531500538823,1.3181046636635854,1.3183974400559169,0.3421693650650715,0.8574008829626585,0.09667862801973448,36.19327388963254,4.804916142928208,18.25329206181417,4.082486578110299,1.1121687098544126,0.4763481835359627
7.245,3.269978366465697,0.9306881020243581,1.0375636669119477,0.27085147705939744,0.7588406876827605,0.08617523084796472,35.73902626836435,4.832184600790817,16.078944597293127,4.076772725020696,0.7808928984698077,0.3372629272559322
7.752,2.374529661290125,0.6925178258385267,0.7900340556075782,0.21225096420222744,0.627702790952516,0.07408671780588125,35.52512733181434,5.086313327573766,14.606026542515693,1.7110451395565118,0.5746406902452489,0.2530852859126856
