h_err,l_err,u_err,cs_err,alphak_err,tau_err,taur_err,biso_err,bani_err,Bbar_err,tanpB_err,tanpb_err,dkdc_err
5.389579117784162e+19,7.393379347901439e+18,246138.70851703724,92177.87886423715,108089.5529417136,1877816215179.988,985591439736.2152,1.3114443413514614e-05,7.298235235691166e-06,4.246911031076788e-06,-0.05271985707302953,-0.13531796809947425,5.017200890278819
9.290961727774402e+19,8.984838505284695e+18,260368.3127448249,91827.17816626764,63227.19264509828,2149292315581.834,1017829500565.3507,1.0111375090347322e-05,4.958507027846534e-06,2.766487574365015e-06,-0.032388018563677276,-0.14128591458250045,6.362619899328699
1.3904399342787704e+20,1.0346510773413005e+19,267063.28481866966,91423.04304305914,39530.57451764666,2402705128289.598,1093523017070.8009,8.38236702404893e-06,3.7573607753766175e-06,1.9104647590582106e-06,-0.02204816619891273,-0.1385500498564395,7.269115364851263
1.7112672627016047e+20,1.1079266779197745e+19,263660.4031285698,91024.19722492826,27708.871355037038,2595192241787.7295,1225148477643.519,7.661005909612814e-06,3.0128009646875653e-06,1.3884391594854811e-06,-0.021303639545354552,-0.15027842551142054,6.1799040595525785
1.895801760262186e+20,1.1438536433588613e+19,252801.85999928077,90574.70356544088,20795.061340363096,2781370078708.8496,1446049149535.346,7.355269357578619e-06,2.5532164636054207e-06,1.0456512177053802e-06,-0.023647423157869194,-0.1647653558242234,4.747427988718878
2.042944906673353e+20,1.1771957439597509e+19,239120.35616081802,90076.89700767839,16456.525031197085,3010673935109.904,1773750454391.226,7.093728629159544e-06,2.2599916145530247e-06,8.188007923932093e-07,-0.025554280320854734,-0.1738576341175443,3.8953006295360506
2.0939868857905585e+20,1.1892215197213209e+19,220751.65681300208,89560.23796118885,13535.50648781235,3277081700238.632,2298109680895.006,7.014953705476083e-06,2.0888084185426733e-06,6.600216043996735e-07,-0.028484656517563045,-0.18215722807083354,3.199102312904752
2.1519393776671585e+20,1.2067724758426687e+19,203137.01784826542,88972.96563129181,11298.47356189032,3592280233709.2183,3024103635089.6274,6.676526500000573e-06,1.8907728892452567e-06,5.37815636972475e-07,-0.030705713982725147,-0.18725816398333472,2.7498714549346523
2.18396627830803e+20,1.222341438183464e+19,186096.3929375641,88371.18568911728,9745.445202362676,3947805826412.4414,4027253287299.8003,5.99229126012361e-06,1.6143516090752392e-06,4.455861400916048e-07,-0.034214718101030425,-0.19748604168387365,2.3723114598216557
2.252771100381776e+20,1.246991157028487e+19,172264.75294196222,87705.39915061856,8455.99193677317,4322017551605.7056,5242859266738.79,5.380450881305727e-06,1.4018912818474617e-06,3.749081584984056e-07,-0.03592720188354738,-0.20245937718603746,2.163841596515399
