h_err,l_err,u_err,cs_err,alphak_err,tau_err,taur_err,biso_err,bani_err,Bbar_err,tanpB_err,tanpb_err,dkdc_err
7.786330995404528e+19,1.2113512477016146e+19,420555.563054826,92177.87886423715,401688.97152424353,1800680747669.7285,943842458099.2982,1.0910907114315687e-05,5.924666745262951e-06,8.328184174647498e-06,-0.07071129157748557,-0.13698513228675716,7.173986860522514
1.398372325188889e+20,1.4947303061201897e+19,447855.0735290283,91827.17816626764,232528.86658118494,2078732857735.4492,970030455104.7655,8.241934268305687e-06,3.965383025957449e-06,5.3862557753148716e-06,-0.0409130649489533,-0.1424707047762336,9.742973788419839
2.1457511463771705e+20,1.737377582109578e+19,461252.65424447664,91423.04304305914,144456.3373680395,2336017449615.2217,1039106429836.9862,6.7476587714996845e-06,2.977061708911886e-06,3.7034802085761027e-06,-0.02684993405756634,-0.13942475058725498,11.606904598000867
2.644537303197703e+20,1.8613867249052877e+19,455479.0608015668,91024.19722492826,101220.42615375928,2523896967771.493,1163991162317.2385,6.162683580752974e-06,2.386658161073551e-06,2.698392621636204e-06,-0.025890425728063934,-0.1510534724313151,9.890731894170427
2.8773170536127637e+20,1.9088700501204054e+19,435434.86989995587,90574.70356544088,76314.52619574494,2694770241528.627,1376784662814.4346,5.970369127257548e-06,2.0373228234324834e-06,2.0461352375337307e-06,-0.029508224005900696,-0.16555542552951596,7.372114931136783
3.014462549571443e+20,1.9439899096690598e+19,409976.75510327955,90076.89700767839,60828.28032812071,2899788751916.4653,1694398928836.025,5.839799701861839e-06,1.8235225008219147e-06,1.6129712831635447e-06,-0.033231135924753054,-0.17471335175802677,5.770216159549932
2.9517812248743536e+20,1.9307034891977146e+19,375668.1114622567,89560.23796118885,50617.41269433924,3126365366584.3843,2207132342262.9204,5.9083974903171554e-06,1.715895241927521e-06,1.309575496635145e-06,-0.03960442857472672,-0.18315401603119405,4.390134471085655
2.8859478442712256e+20,1.923144313481021e+19,342887.42845267744,88972.96563129181,42792.16718866378,3391518555397.382,2921470861069.655,5.956526848789078e-06,1.6364295322293334e-06,1.0718510537574887e-06,-0.045925223465726944,-0.188399538995337,3.471636928606753
2.7725427325221886e+20,1.908545922373921e+19,311320.190617015,88371.18568911728,37429.9733454536,3684652456561.548,3915767585612.1836,6.03558244121078e-06,1.568167282575679e-06,8.894782759156209e-07,-0.05545334358930674,-0.19879340683385235,2.732295571864912
2.724926034655154e+20,1.9122818805510017e+19,285913.89148294943,87705.39915061856,32880.16409075953,3993339477089.0938,5126797022872.073,6.039781182862109e-06,1.5098631119148187e-06,7.462261660805218e-07,-0.062499343771865036,-0.20389686778631458,2.298545489680372
2.690378640476927e+20,1.9209190691806536e+19,262967.19737962907,86980.255550121,29029.86027846752,4330381601904.4614,6708496745975.596,6.0254508976311186e-06,1.46439776677427e-06,6.29613599751965e-07,-0.06837293241561275,-0.20591415397671067,1.9935193364320802
2.8329939368157715e+20,1.975044685620294e+19,256264.91167394852,86224.65025638758,25456.598365679456,4535421194699.32,7559512693168.455,5.827506799064805e-06,1.34316405341984e-06,5.291871585884445e-07,-0.07290240879184982,-0.21412043638655887,1.744987898702822
2.9754247177769923e+20,2.025858456560399e+19,251306.67386032423,85394.76838818647,22390.453911891786,4706338005988.145,8353466771639.525,5.656719985325162e-06,1.2130399785949153e-06,4.3754513394379643e-07,-0.08223552356856986,-0.2321600444696903,1.4612336844705887
2.9965805680881415e+20,1.988680973539896e+19,241124.6031646817,84520.33683322144,19198.05204630482,4775540691747.426,9442735894489.629,5.826225741142578e-06,1.1223284023901448e-06,3.5448216110419886e-07,-0.10613868559637567,-0.27762134975094427,1.1321258233524572
3.158994585122106e+20,1.973679749980816e+19,238680.97529040975,83584.43191273014,16404.089358114314,4746725248563.961,9843273656073.518,5.915787680156751e-06,1.063975946625622e-06,3.0548383536041135e-07,-0.11424783340783438,-0.3051534887064917,1.0189759381244183
3.3773992513802594e+20,1.9580815729417535e+19,235296.654360751,82594.233883526,13759.611435493538,4734178616540.242,10399180958743.598,6.012096002674155e-06,1.1007635543366332e-06,3.0224337131739805e-07,-0.08387825588859,-0.26109462661142996,1.1525253324697904
3.524812512735174e+20,1.9201772139739996e+19,227711.69954124006,81556.85857007383,11314.048785877218,4753127678236.152,11494956984322.027,6.208346581922081e-06,1.1357270651212498e-06,2.794467202335307e-07,-0.06876340081355713,-0.2350632351292143,1.1976428966091304
3.6855596979100064e+20,1.903763637554879e+19,223640.3489461957,80440.15717831111,9518.52563779738,4751964889039.244,12317588558907.799,6.1296849218397525e-06,1.0191114782269858e-06,2.25986955677361e-07,-0.0798083640235103,-0.26785749642650697,0.9925165316506329
3.8777867003176e+20,1.8931315159861506e+19,220600.67892907964,79274.45717431177,8210.888435373241,4743485730992.03,13087711363152.16,6.049976099674679e-06,9.120511624093451e-07,1.748400611976235e-07,-0.1003558206970811,-0.3275165786399122,0.8318663502944329
4.1742975436326647e+20,1.8820452127446606e+19,218305.52799523954,78050.7253776189,6964.6232713286845,4717509763855.844,13794402101961.756,5.9902073094386275e-06,9.1848609541362e-07,1.8855562688126822e-07,-0.07248922491240141,-0.283229781942941,0.9621367221697792
4.605126272983321e+20,1.8836343467525923e+19,217700.2579212059,76762.86691360954,5667.1250241879425,4686173672621.037,14334415505788.764,5.920249666688322e-06,9.757478206080465e-07,1.9871014192320243e-07,-0.042755446627298174,-0.21291838488148374,1.2527307117388569
5.363001520214778e+20,1.9689351210896822e+19,226510.11782832057,75407.65925359222,4639.573656826256,4658857280932.905,13728996052687.959,5.7560010257590155e-06,9.666770376514166e-07,1.8397465124323505e-07,-0.03058762241089947,-0.18343603666733116,1.4364173305949952
5.614806639941514e+20,1.976043597390602e+19,216633.52344727976,74015.03639676361,3853.8397399692003,4838415765769.587,16284060765448.725,5.430862826360813e-06,8.962785073679847e-07,1.5905432086722562e-07,-0.028201749729389713,-0.1761776427204361,1.3801315146230986
5.618601276566789e+20,1.979741930337466e+19,193222.65219790066,72553.07302505408,3336.27628976258,5378226469246.977,23834149637465.15,4.787055086220862e-06,7.729730130595083e-07,1.335833450702543e-07,-0.02938424827019252,-0.18098457936527096,1.2852531026273133
5.577285933105884e+20,1.974681996292015e+19,170356.59490931177,71066.45147696542,2922.4746806806675,6022824063910.666,36018994844757.516,4.194483311134331e-06,6.574441667309567e-07,1.1228142870406416e-07,-0.031822882049888424,-0.19220045646249947,1.1908499564092323
6.074878858297754e+20,2.0605168365172654e+19,166976.56137236228,69503.23851472526,2566.9339361240686,6346571643816.433,41574120669216.19,3.843213476393149e-06,5.67099547017369e-07,9.211425491402866e-08,-0.03353480662099066,-0.2063343981907141,1.0801819767484218
7.331566028304031e+20,2.2651567721024774e+19,183597.3420203513,67920.94533179105,2287.8950549925585,6283085917283.941,35874219295461.02,3.6820586946618997e-06,5.284941125300548e-07,8.100651658805936e-08,-0.028362308596566754,-0.19788378795899378,1.107090846409897
