rel_err_q,rel_err_omega,rel_err_sigmagas,rel_err_sigmatot,rel_err_sigmasfr,rel_err_T
0.1672648700205508,0.0780710609473702,0.23932821511072194,0.10559317810175642,0.1061019707183872,0.2441937930968106
0.1633608632748309,0.07885276321582743,0.239328215110722,0.10559317810175639,0.1061019707183872,0.24233920448087046
0.15082190463061057,0.08003012722691485,0.23932821511072197,0.1055931781017564,0.1061019707183872,0.24021080911603937
0.15697707536779354,0.08134688648779023,0.23932821511072197,0.10559317810175639,0.1061019707183872,0.23811947442372192
0.16796129561057613,0.08228517398483985,0.23932821511072197,0.10559317810175642,0.10610197071838721,0.235773528560005
0.17455955344413032,0.08282970473367733,0.239328215110722,0.10559317810175643,0.10610197071838721,0.23318898636009794
0.18131789182244637,0.08329267542932527,0.23932821511072197,0.1055931781017564,0.10610197071838719,0.2305216280534144
0.185085785760784,0.08359567660860058,0.23932821511072197,0.10559317810175642,0.10610197071838721,0.22750834632999958
0.19529427087023712,0.08370796510569173,0.23932821511072197,0.1055931781017564,0.10610197071838721,0.22444119093983647
0.1998555642214501,0.08366629221666184,0.239328215110722,0.1055931781017564,0.1061019707183872,0.22107206057005327
0.20117807468420582,0.08360639148615379,0.239328215110722,0.10559317810175642,0.10610197071838719,0.21743154861998032
0.20895280494721147,0.08348307989955699,0.23932821511072197,0.10559317810175639,0.10610197071838721,0.21367026241584683
0.22745229270278122,0.08322015505899923,0.239328215110722,0.10559317810175639,0.1061019707183872,0.20957705358064446
0.2751271419192972,0.08254326081554231,0.239328215110722,0.10559317810175643,0.10610197071838721,0.20530694409461306
0.3033798925028666,0.08143193207771429,0.23932821511072197,0.10559317810175642,0.1061019707183872,0.2007853355113244
0.25617637297176254,0.08055496386476853,0.239328215110722,0.10559317810175643,0.10610197071838719,0.1960562352028352
0.22729798043137422,0.08027017359208435,0.239328215110722,0.10559317810175642,0.10610197071838719,0.1911622698922414
0.261499990903181,0.07991125027480384,0.239328215110722,0.10559317810175642,0.10610197071838719,0.1859632045936895
0.3237092225283275,0.07908411452530863,0.23932821511072194,0.1055931781017564,0.10610197071838719,0.18061247929105334
0.2770143722755762,0.07821262045589358,0.239328215110722,0.1055931781017564,0.10610197071838723,0.1750794153447768
0.2008899640718122,0.0779633759668762,0.23932821511072194,0.10559317810175642,0.1061019707183872,0.16934936516617444
0.16689480114430355,0.07821181666268989,0.239328215110722,0.10559317810175642,0.1061019707183872,0.16342260176312373
0.1576588766520798,0.07872077022446086,0.23932821511072197,0.10559317810175642,0.10610197071838721,0.15744218725555928
0.16282195504384747,0.0792481545890088,0.23932821511072194,0.10559317810175642,0.10610197071838719,0.15128393920189548
0.17547218520433483,0.07956802580425466,0.23932821511072194,0.1055931781017564,0.1061019707183872,0.14514780133977445
0.19082458130634553,0.07977214389163473,0.23932821511072197,0.10559317810175642,0.1061019707183872,0.13883254424980096
0.1807169880230658,0.07972342190177192,0.239328215110722,0.10559317810175643,0.10610197071838719,0.13258324496617183
