r_bacchini,h_bacchini
0.117748125,0.0173438
0.234827519,0.028909762
0.421712158,0.043593041
0.631899505,0.059611724
0.911480571,0.075192132
1.306855009,0.091227276
2.072655068,0.107739792
2.883671643,0.114922993
3.833167008,0.118562948
4.944906841,0.123995103
6.195845636,0.132106297
7.307945555,0.140649595
8.420148355,0.150081791
9.486105824,0.159954321
10.43621848,0.168927664
11.06215085,0.176983302
11.52568442,0.181913394
