h_err,l_err,u_err,cs_err,alphak_err,tau_err,taur_err,biso_err,bani_err,Bbar_err,tanpB_err,tanpb_err,dkdc_err
2.356824730853265e+19,5.432667344132398e+18,215021.8544014811,92177.87886423715,266920.25245740457,1579503244448.3562,1086323036549.7712,1.9831869045435946e-05,9.981180925687855e-06,6.277771922650557e-06,-0.17697102341982782,-0.1420016593445414,2.5143804166119015
4.085379440480596e+19,6.615676378342224e+18,227657.9681958787,91827.17816626764,155915.79769436127,1809942325906.2986,1121127049489.1226,1.5248402854549557e-05,6.782966878556837e-06,4.152114902595632e-06,-0.10784490384479607,-0.14717210044955636,3.2182514775873803
6.2005952508694995e+19,7.658327788372898e+18,234049.21288959074,91423.04304305914,97131.93581589662,2029305878417.879,1202510756423.7122,1.2552380547637733e-05,5.119444222638905e-06,2.887032865120588e-06,-0.0719189283360038,-0.14359415602819028,3.7643314986380902
7.766132941696677e+19,8.254382696397082e+18,231729.16277350337,91024.19722492826,67781.16264536089,2199922257312.944,1344481908078.4634,1.1372142895862842e-05,4.085189096326988e-06,2.083740026692614e-06,-0.06773126851998804,-0.1546785031144067,3.295445424965976
8.772300603389785e+19,8.583926122181772e+18,222891.79707229897,90574.70356544088,50617.494111036685,2367339087770.417,1583277731026.2344,1.0812802987029565e-05,3.441348646567138e-06,1.5482083701844862e-06,-0.07307553249012395,-0.16861240093183869,2.6151819276347066
9.646703274697838e+19,8.901091238416892e+18,211528.33600764585,90076.89700767839,39850.6127824501,2573394023227.9526,1937452557647.8638,1.032317852390074e-05,3.0248847271558018e-06,1.1981158997096688e-06,-0.0766594497383378,-0.17728179802966568,2.219787998316917
1.0107807712660396e+20,9.066072264100225e+18,195982.90452741852,89560.23796118885,32593.749765714692,2814034825653.0635,2503712832632.591,9.485740751032424e-06,2.605721193108612e-06,9.529062459001733e-07,-0.08274001471993957,-0.18525479306305592,1.8914537116121761
1.0613816828332125e+20,9.274026418539622e+18,180980.78347458737,88972.96563129181,27057.8994585932,3098630202752.7944,3286316810519.7944,8.469800690143651e-06,2.2189367222919253e-06,7.682470502250115e-07,-0.08642162193892217,-0.19008985468186856,1.6855386559609404
1.0981106934778834e+20,9.46127071937789e+18,166321.01901062793,88371.18568911728,23224.445619588652,3419034919083.459,4366548957543.9043,7.552695922178707e-06,1.8869770545359204e-06,6.285499653784337e-07,-0.0936221687910419,-0.20013068573479978,1.5017018775723934
1.1521347425800923e+20,9.71341536785645e+18,154387.62007179443,87705.39915061856,20064.369761623042,3756462573252.917,5673207213496.921,6.74282074806775e-06,1.6326684669112914e-06,5.25349013999328e-07,-0.09589050691918966,-0.20494558323113563,1.4092751068546356
1.2110858522617938e+20,9.987741272449851e+18,143458.19340647664,86980.255550121,17434.112845075386,4127248374485.5654,7368960194701.737,6.0113728870010505e-06,1.4248685568320142e-06,4.448860937015884e-07,-0.09570687876178832,-0.20670868111703414,1.3573627985826253
1.3059603742953636e+20,1.0360504461911206e+19,140345.87815472658,86224.65025638758,15195.81396743632,4344212738897.622,8280572178705.534,5.575168250827949e-06,1.2566055534522748e-06,3.703286626337531e-07,-0.09855704222895634,-0.21479049783717075,1.236346192651243
1.398890727251741e+20,1.0705292648101192e+19,138073.92617909313,85394.76838818647,13298.631858868781,4526524838939.771,9129087259334.023,5.224714372616564e-06,1.0980965542500743e-06,2.9919112988918135e-07,-0.10801570624606556,-0.23272694237468386,1.0699759607156811
1.4603878178550017e+20,1.0650477818937741e+19,133259.8775133498,84520.33683322144,11298.55409304985,4627736682275.417,10275957160023.02,5.052334539704871e-06,9.576940739959978e-07,2.3096346995657629e-07,-0.13226687026198394,-0.2780482135269025,0.8803663091366035
1.5686425130232647e+20,1.0644139229718983e+19,132313.6304315427,83584.43191273014,9608.260067739297,4617864376604.435,10688264547705.494,4.993721649303263e-06,8.856055479392775e-07,1.9340528031448657e-07,-0.1385218928130685,-0.30550259236713173,0.8175993994009138
1.7182943339953154e+20,1.0655929271640881e+19,130955.80827586587,82594.233883526,8009.623686155727,4629095866676.2705,11259698570744.531,4.907082175118088e-06,8.881851103085627e-07,2.0902310828854156e-07,-0.09814962466225735,-0.261362056876541,0.9630808862209864
1.859839370964926e+20,1.059246830740399e+19,127491.14498719302,81556.85857007383,6525.147818953268,4683178002204.571,12392910164508.38,4.7867631784647285e-06,8.690461050723715e-07,2.0114746243552494e-07,-0.07628322662630146,-0.23522762899821517,1.0636942717014612
1.9957121373047295e+20,1.0603810071906466e+19,125743.02260094477,80440.15717831111,5453.471671505261,4707479111322.116,13239376201692.594,4.683544616280737e-06,7.749545868293697e-07,1.625401524628679e-07,-0.08523974837644045,-0.2679532070958392,0.9205750009644255
2.1514910761474336e+20,1.0640554417849469e+19,124527.78486347389,79274.45717431177,4675.213650108027,4723040308451.41,14026943441715.498,4.584956936168554e-06,6.896821105470843e-07,1.2643277693884397e-07,-0.10343658938045909,-0.32755780751317753,0.8036112083050464
2.3824542880866422e+20,1.069031471350985e+19,123803.12090692224,78050.7253776189,3937.1080334679136,4725049758955.464,14735228024809.242,4.4966400595776324e-06,6.90035288536812e-07,1.4299529127830584e-07,-0.07168336852486147,-0.2832152713535469,0.9745080258207288
2.7081073005077463e+20,1.0819168862582942e+19,124064.41527241403,76762.86691360954,3179.3113874866735,4723102695549.102,15258313686396.428,4.3996299422669e-06,7.280364980220689e-07,1.520358979896266e-07,-0.04046955095010717,-0.2128512703924622,1.3339200348052884
3.168928019681402e+20,1.1329315059800609e+19,129186.09951832153,75407.65925359222,2599.669365510012,4700277241576.138,14605640575014.61,4.2706778773903794e-06,7.204793155727623e-07,1.402797675703239e-07,-0.028749959674322416,-0.18336640162072515,1.5418182625092929
3.471861853078979e+20,1.1564227341718385e+19,124473.4091958845,74015.03639676361,2134.5494333921038,4928018870020.703,17231543053185.182,3.968313176275318e-06,6.610740238097055e-07,1.2297486851469173e-07,-0.024802291739788318,-0.1760420033297291,1.5983573886734994
3.723917206634765e+20,1.1889370526862465e+19,112288.29267355174,72553.07302505408,1815.4770643279414,5557928131759.46,25015820017508.707,3.417110028146148e-06,5.610980276365882e-07,1.0574048734661786e-07,-0.02334520533444985,-0.1807447220092749,1.6717810129348787
3.935986351122298e+20,1.2139553472692783e+19,100020.59968407912,71066.45147696542,1565.0606615974095,6306308604546.439,37526645545975.5,2.9315252369124708e-06,4.7038630499136377e-07,9.12352449265886e-08,-0.023062915679323736,-0.1918653935790364,1.7205107306278744
4.3638066389544606e+20,1.2751148361656283e+19,98320.42097836264,69503.23851472526,1368.4630565248376,6669973402723.119,43224071705640.06,2.6700462638069705e-06,4.0407243985215257e-07,7.676167555127757e-08,-0.023681074297173702,-0.20599234991667492,1.6075935229139167
5.144693383765907e+20,1.3895826629293302e+19,107694.52788682748,67920.94533179105,1227.002922824127,6571006143823.405,37400805788544.625,2.5783185975468025e-06,3.785933681745527e-07,6.662948705084096e-08,-0.02072666626349673,-0.197601441692123,1.5843614189411686
