r,v disp
0.9825454545454544,2314436.0594452443
1.2071272727272726,2264941.4510434233
1.4597818181818183,2242455.326708704
1.7264727272727272,2228368.9632873614
2.035272727272727,2101483.1075086934
2.3581090909090907,2029480.3763786892
2.7230545454545454,2038935.4229408414
3.1301090909090905,2110754.462728208
3.5652363636363638,2100347.8510044557
4.056509090909091,2134538.5010518925
4.589890909090909,2118007.0975880995
5.179418181818182,2040466.0349509907
5.8250909090909095,1950093.8532385873
6.526909090909092,1912374.8719800168
7.312945454545454,1857309.4008674847
8.169163636363637,1807710.1844535533
9.1096,1684456.5117236385
10.14829090909091,1493243.3132155992
11.299272727272728,1479639.847845801
12.54850909090909,1387335.8552887978
13.93810909090909,1391377.793166377
15.44,1303687.6628984693
17.124363636363636,1265885.8527206522
18.94909090909091,1193308.0512305934
