radius,h,l,u,cs,sig,Btot,Breg,Bord,po,pB,alphak,taue_e,tau_r,dkdc,mach no,gamma
1.087921325776271,358.4090948908569,31.590972193244497,25.40373630444725,7.6630799904114495,26.534366643380345,19.283001631892052,10.786611362759329,12.351138883792125,6.081252283682422,1.6427489667798907,1.630320486451241,1.216899492608388,0.10818271534348481,19.651035812962554,3.315081708168788,18.025987496346854
1.8534955916271183,368.4745286015542,31.932375301626507,20.547929011925234,7.791362137082596,21.975502511439487,16.308459606466567,5.30149149966594,6.998106095387031,10.94570080505925,2.6173290360718795,0.887797431480992,1.520731293850522,0.21361649885717746,8.442008237632114,2.6372704349254157,7.739725073218604
2.578776474169491,338.22964677738304,31.433118191662892,16.79508907201477,7.91097398101966,18.564981181387715,16.102590345723005,3.438932650458741,5.3927367625081954,16.468905296790194,3.8075464738654587,0.6657197696582018,1.8314474794169142,0.3969916756329367,4.96057965427621,2.1230115422336424,4.759963916980738
3.3443507400203387,333.91310145364844,31.82723117912159,14.709361377746442,8.035299517758501,16.761006845688858,15.72221940997242,2.4683381848574237,4.547334992679914,20.66450790220107,4.626991744646442,0.5353019720279091,2.1173582999522047,0.6173088479680454,3.651569949356442,1.8305927918726437,3.2146191600612912
4.109925005871186,357.48031250612934,33.01186181810068,14.167209628966411,8.15773052704059,16.34803951618935,14.910170783009477,1.7475519378045012,3.6751275026926904,23.8389163418743,5.5285415651478385,0.4428045320241152,2.2802108782725288,0.7386466381929633,2.7066540282519957,1.7366606535979685,1.9845757902591226
4.875499271722034,361.5515053253965,32.01706423015155,13.535186731953143,8.27835106549184,15.866076270848135,15.493709731742054,1.2026464395138232,3.1092654335377397,28.060844269339253,7.048255107776054,0.3635330358139261,2.3147632053157703,0.8459747266399903,1.8987705221147224,1.635009994728821,1.0531229690322579
5.5604867735728805,381.06205920843996,31.603472266148437,13.357736535502687,8.384803999676933,15.771305065367976,15.861620873142368,1.1372356566486435,3.102894996634382,28.54601569668915,6.404480799561853,0.3082818955506444,2.3152145470635483,0.8912570296248644,1.9189440522492969,1.593088703804807,0.9413667720875847
6.326061039423728,388.90338406018435,30.484381687524003,12.814307412391612,8.502203662858133,15.378359521873353,16.788519888242856,1.1514114329148648,3.3432872290936775,28.944442176201964,5.428139835294391,0.2531796278161822,2.327938844270358,1.0012348094376349,2.0531899036323424,1.5071748361393529,0.9397265064266512
7.091635305274576,400.8096668126084,30.008973844474763,12.535590221109487,8.618004185218187,15.212199654488304,17.21379029869901,0.9223354986786456,3.1177090136228682,31.080118861113775,5.799740058960537,0.21566625666669223,2.342586697823282,1.0817107415888048,1.7511095076537324,1.4545815889264524,0.6362790937771552
7.816916187816948,415.4562128217345,29.859877667376967,12.407386584042909,8.726292541145064,15.168764727542317,17.382816092412572,0.6580418505845016,2.7702044117359708,33.79679619024351,6.688993615707894,0.1922096977834715,2.3550331510214297,1.1381187427299837,1.4225788107923751,1.4218394037950521,0.34767361021507753
8.582490453667795,428.0023741130237,29.407455870963677,12.208229931605267,8.839157795025718,15.072212464940462,17.435215073206336,0.5807016939091039,2.6609277959459634,34.59108816574309,6.609987221538714,0.17092750658881153,2.3571871696124207,1.2072635371888796,1.36112775385521,1.3811530707682933,0.274545492467793
9.307771337518645,445.21512645827903,29.0668715073836,12.110483580855298,8.94476919243633,15.05565370444352,17.499263926843927,0.6943744160577797,2.8213209451625967,33.07872263657419,5.423570164933392,0.1521917492980991,2.3486922805250217,1.2517945873819918,1.5692797621205603,1.3539179514096222,0.3771983588939002
10.073345603369493,465.0388756619315,28.73437118556157,12.012272877954175,9.054911646044815,15.042809731300583,17.574539439504207,0.8312745285720651,3.0838934893903414,31.62591863889321,4.15196318947881,0.13278415101524854,2.3408081618263603,1.2994977158573147,1.9075601811470857,1.3266029915599602,0.5112899190174076
10.79862648722034,504.04507431513537,29.289674667256577,12.332637032197368,9.158035285926355,15.361104988450478,17.510496285206347,0.8518325840176338,3.1475481488485486,31.342181557048658,3.5015985473259574,0.11824262673927147,2.324063086956307,1.2520805824248329,2.0871308843657004,1.3466465947286308,0.5313967158116228
11.523907369762712,542.9246422036143,29.9891621836304,12.528168306917136,9.260010565624533,15.578921554521063,17.152931765639064,0.8312149954302726,3.1078430962371777,31.341192129273647,3.108764874613495,0.10655696257225089,2.342427017321515,1.2502749117032508,2.194519177269772,1.3529323987409712,0.5157033109879061
12.329775018922032,546.5665590052896,29.720530402609565,12.102750172276991,9.372015168666348,15.307228033000058,16.673639217281604,0.7586751652433544,2.9769745854896574,31.88942684714986,3.0821966677251273,0.09548486257643875,2.40304443758664,1.407833426400976,2.0856510994955793,1.2913711677228572,0.4495117827837335
13.095349287389828,538.1966683254176,29.440428318432602,11.358317235587347,9.477193537129486,14.792855294514629,15.76230061146365,0.6836590623880047,2.7762522730230748,32.30751070911909,3.191462975209057,0.08834833582972104,2.53640992912529,1.7252125045911004,1.973904894107285,1.1984895307970707,0.3929293584625607
13.820630163389827,539.9307132824472,29.594810581240417,10.738026346703652,9.575770606090797,14.387515161520222,14.722376532367031,0.6152224810068345,2.556791233329924,32.59565961398573,3.287296426508369,0.08296519251797557,2.696996694918293,2.095417628688214,1.899601107675807,1.1213746431930591,0.3465642554403637
14.545911052474574,529.9205552738667,29.39629339771035,9.980210125256807,9.673343170518681,13.898854709611829,13.739582400120444,0.5568386930734396,2.355360643361581,32.83907085985927,3.4488112123283243,0.07868740570929306,2.8823200514753915,2.6454993850963535,1.8254654238153005,1.0317229472095397,0.308296143455152
