radius,h_err,l_err,u_err,cs_err,sig_err,Btot_err,Breg_err,Bord_err,po_err,pB_err,alphak_err,taue_err,taur_err,dkdc_err,mach_err,gamma_err
0.6153,50.11998968303837,26.302658196175067,19.99967860185889,20.68022660726716,17.653725474399053,33.63318253146402,22.674430113275758,25.87873793430283,-71.06844695048211,48.58029998529159,24.046109621035793,8.524402260885049,35.009462361906884,77.86573407334748,28.769061797451318,114.2510146381213
0.8592,50.16996327259585,26.316518319117566,20.001472587920336,20.664806469752303,17.66066524981624,32.779747015467265,18.002259626549137,21.091671791550006,-63.32189961932016,45.986685997120766,22.928604236673884,8.531454251778287,35.00276150837766,72.92126484319294,28.75922690403282,109.7614653775454
1.103,50.223988889926375,26.331434870099617,20.003594958641287,20.64990824450473,17.4990921514188,32.9147422424489,16.620052255647412,21.826575415142184,-79.28176613392365,45.10674133294613,22.509024907252783,8.539755923016212,34.996406700307034,71.7064619995029,28.750000378710318,109.7969667168246
1.346,50.28187430137295,26.347357921651476,20.006035222611114,20.63554936134866,17.382820440959613,33.361837748882515,16.448276707242528,23.539657541643937,-98.25326746399963,45.212902575280914,22.293659751710308,8.549263644006915,34.9904026819141,71.66495970254002,28.741387279896802,110.31939868422995
1.5900000000000003,50.344030074277235,26.364403294621486,20.008808873019774,20.621602685360305,17.50511942868272,33.59997740938811,16.356177808763768,23.566466324465402,-107.45985692362223,45.70922364162565,22.101629445547196,8.560034486387332,34.98469421710861,71.70579686626051,28.733306976919557,110.33185024105576
1.834,50.41021011882428,26.38250613255973,20.011904185295947,20.608107991086094,17.430089016678764,33.79060178983669,16.297548340975588,24.128359275730997,-118.5535657140929,46.04244140245768,21.89231689042274,8.572018976303385,34.97929623363468,71.78513955602624,28.72577978217009,110.4553775953995
2.089,50.483651192371916,26.402552126404753,20.015480042512255,20.594467081587908,17.152266735569064,33.850447350133045,15.89063044518185,24.776754272725174,-132.42530697600628,45.874842604236584,21.684233932363316,8.585825565014325,34.97397587952696,71.5667113970767,28.71848735060421,110.46620372468084
2.333,50.558000212933706,26.42281033592283,20.019225815780715,20.581837923186864,16.84621362086896,33.76529122487125,15.253901396624236,24.746242362037407,-142.27968766641015,45.478639819935175,21.5097868177549,8.600250107975963,34.96918248979451,71.16017753899654,28.712043719658027,110.23936418195997
2.577,50.636312367265035,26.44411866532842,20.023286252311483,20.56960524213325,16.588041379071846,33.64262675422732,14.673310158196134,24.491391993863516,-152.1041262074246,45.14740079952464,21.382470187169393,8.615847275800448,34.96467093313018,70.82846706839662,28.706108272616852,110.08193141167686
2.821,50.718566306581295,26.46647448332824,20.027659253802607,20.557752682777135,16.353468559619287,33.49672441346534,14.15631283262714,24.23336003984812,-163.9858414712505,44.85885867635234,21.28723645312087,8.632603636452892,34.960432783449214,70.57307531766646,28.700667771894363,110.02614761835846
3.065,50.80474000611105,26.489875034881777,20.03234280524114,20.54626472095162,16.469917966682022,33.448278049202266,13.842312435710221,23.53354022109406,-176.51236281957088,44.79538383115737,21.24083781820259,8.650505748188227,34.95646004849416,70.49824926940386,28.69570964883283,110.05573985803893
3.309,50.894810884024565,26.514317470769193,20.037334976156522,20.53512661394573,17.14943204803253,33.44182495446666,13.61986004678099,21.52319213503247,-186.7555337760009,44.87683065178936,21.199858254607644,8.669540181972282,34.952745145243355,70.50731643599599,28.691221967659164,110.10439373992634
3.552,50.98836380898466,26.53969253780568,20.042611634898332,20.52436795841601,16.516022141902987,33.64902002627806,13.567555944678247,23.69199849982227,-213.88417735974878,44.82538271576994,21.167975405942542,8.689608885129077,34.949294588766406,70.65621429611065,28.687209017954608,110.34272456346625
3.796,51.08614290766506,26.56620545256279,20.0482142841403,20.513886933552847,16.17297298791828,33.866395832943894,13.630804965482962,25.042478803675642,-237.68774838497743,44.96395102776132,21.127406857177583,8.710863078844476,34.94607311866149,70.90204818436806,28.6836269168562,110.58681423042944
4.04,51.18774789886557,26.59375104856644,20.05412019260005,20.503715824839176,15.974924913890634,33.99492832868735,13.689838809333818,25.673349213406066,-255.15190191891088,45.14783301410347,21.085487529072307,8.733209297669157,34.943088963951055,71.15177512464685,28.680482899090265,110.79207600150531
4.284,51.29315386077064,26.622326045025922,20.06032769875687,20.493842578046813,15.728916177899531,34.05320192877078,13.744959269135329,26.094149842146823,-269.0539889049208,45.34320903495549,21.042291124832975,8.756634074581237,34.94033594044309,71.40554574669922,28.677767189850684,110.97093631480635
