radius,b_iso,err_b_iso,b_ani,err_b_ani,B_bar,err_B_bar,pani,err_pani,po,err_po,pB,err_pB
0.6153,17.68052740803736,6.271464718218086,3.8014421454465226,1.387920719394433,3.4291677663392544,0.7775442486455737,-2.035914611908419,-0.03189172804543559,-4.670731573762329,2.1644752127453395,-6.2636257816726495,-3.3837918923130235
0.8592,16.78278073145426,5.955475869953211,4.0507352375842105,1.3929473844679376,3.4356981331848173,0.6185032979204328,-2.4548979582266828,-0.03450172830434087,-3.664378930566422,1.3201511642429073,-4.457462711647196,-2.1566491019137697
1.103,15.804690507025418,5.610947624645706,3.9623409934088976,1.3432309830924671,3.112451335225785,0.5172910383461212,-2.569652899621141,-0.03364937063615316,-3.495962309744752,1.1472408940458487,-4.167761753483116,-1.9583456827956331
1.346,15.242825426640637,5.414164742357035,3.747783295499863,1.2715480028278696,2.707869591793428,0.44539788332946184,-2.2722741596514098,-0.02663282437346958,-3.5042476990340754,1.1933547163771743,-4.501405412047736,-2.116128865832776
1.5900000000000003,15.17298085057005,5.392277630865645,3.4248312378944874,1.1638974398692434,2.373191170674999,0.38816336761748527,-2.0019410682862735,-0.020861603202290507,-3.281812975368174,1.141102892378024,-4.3753495476011315,-2.0631734532929
1.834,14.621771103492438,5.199424372918899,3.252508843687911,1.1079706861734238,2.139770497697972,0.34873013124826086,-1.9663636902088788,-0.019911536225957163,-3.329022500532993,1.1653608523683185,-4.57311012610777,-2.165143299005354
2.089,13.51789063943079,4.810047287264712,3.244058244789705,1.1023933168990667,1.9981012521318164,0.3175108858968182,-1.9358872184075704,-0.019144745690658584,-3.4106100807877398,1.1919641374579517,-4.873964420473016,-2.2936116492509506
2.333,12.35249975164517,4.398320455295252,3.304964969299776,1.1165143892335871,1.925473990191911,0.29370990388152035,-2.150536245719476,-0.022094824144139442,-3.503735628323305,1.1496348666331486,-4.942494752562735,-2.296437269319181
2.577,11.299362141069482,4.0262037466046,3.339817708651523,1.1220925026833757,1.8575463912799566,0.2725635433248876,-2.1653566507024666,-0.021869924338777845,-3.425609255057548,1.0811420026878447,-4.844452612121064,-2.224625287033803
2.821,10.310379708938338,3.676582908690196,3.357503256340297,1.1225270301631571,1.7913507745395767,0.25358921957351177,-2.335563917370633,-0.024144005396070284,-3.3997868133344653,0.9967905760639887,-4.659887793405882,-2.1178344761014127
3.065,10.156000980944961,3.6244178916538434,3.246697405072852,1.082384736889893,1.7070727216836186,0.23629833964022848,-2.3506992472979147,-0.02341049589960772,-3.1940843851189262,0.8821311737117338,-4.210142287466907,-1.9028489836049045
3.309,11.108824678128347,3.967777228052437,2.929790727317355,0.9750723706991858,1.6024469940456385,0.21825103791286488,-2.0839001334973335,-0.01786345746554841,-2.6414830901189745,0.6988553137072195,-3.2813855966461487,-1.4794975665571857
3.552,10.155288266628121,3.63037208403979,3.1372157465189354,1.0444326011581502,1.5288100765775807,0.20742216242754163,-2.1744749887869355,-0.019381602168285834,-3.026324064073873,0.8280592189246927,-4.152010838651079,-1.8706925890178505
3.796,9.75711469783441,3.4912348736192875,3.1933620780817344,1.065133974516278,1.4325585365161242,0.19526926012888993,-2.0666045821782073,-0.017898008610216024,-3.2166911304205277,0.9377433475660398,-4.896295318891098,-2.2119827033997193
4.04,9.308728776452654,3.3339893242846688,3.1417059476998825,1.0498832008711305,1.3420112682516445,0.1837191794267466,-2.12439056147681,-0.018742549633372588,-3.3789004681386183,0.9915520011651316,-5.321067153935172,-2.411633775384141
4.284,8.593417939028575,3.0808687098632475,3.072146364491656,1.0285769276216838,1.2626060565360024,0.1735446882005093,-2.1129978176675186,-0.018896755289680586,-3.4664589134000097,1.0340065796575857,-5.660077507329286,-2.5739816483141773
4.528,8.09176528503197,2.9040298721127513,3.0788416347214236,1.030654933918566,1.2133765968080772,0.16554370533259288,-2.0626137132802866,-0.018192246639904694,-3.4691150007636997,1.0430299860075916,-5.864251247095041,-2.665058601348084
4.772000000000001,7.917173995024426,2.8444317007886903,3.1003721094796948,1.0360843312367785,1.184509082173524,0.1591045995252158,-2.2033993273224954,-0.01976111256155946,-3.4893000647087193,0.9940330997398439,-5.758862581822118,-2.6087613249048927
5.026999999999999,7.233279795848297,2.601759572840866,3.1680406577163853,1.0585664755275512,1.1405356693572875,0.15204715421778628,-2.26058009747425,-0.020832370997221204,-3.611653076136194,1.0212754479909054,-6.167039021917237,-2.790936812661833
5.270999999999999,6.694593150114108,2.410781571302638,3.097182706934834,1.0359794600581071,1.0809253720635044,0.14404273012811764,-2.3979906569897085,-0.02311834919053011,-3.721112637483574,1.0219601838069592,-6.314353646225677,-2.863913490223994
5.514999999999999,6.891315761699807,2.4845865460202834,2.8886850954682117,0.9659227691533993,1.0379438492856987,0.1370808377706548,-2.160693394739685,-0.01888078767353047,-3.337590353219969,0.9210269035918286,-5.567562872629004,-2.5289525751722652
5.759,6.341855686492713,2.2893016313456056,3.0684225897735726,1.024937724882628,1.0266693555468598,0.1340094343650896,-2.5030857337897072,-0.024082652832895218,-3.6478627591529134,0.9346426739798519,-6.001209925012121,-2.718147056374451
6.002,5.890601834315506,2.1290945470431977,3.240838371862992,1.0813795784405733,1.0109876346093902,0.1302497329433368,-2.6755114333008163,-0.026902546247458706,-3.822134672811959,0.9386688252543104,-6.374907270501929,-2.8795113229708593
6.246,5.185603925467526,1.876728896327027,3.605722712305317,1.202023702283698,0.9729621663545645,0.12384197194276729,-2.865169678959103,-0.030814493865376436,-4.090027241172591,0.9611691509944728,-7.30247230217521,-3.2852354994593376
6.49,4.725630188636626,1.7125559600248124,3.6088530741611575,1.20420699124539,0.8187542682044782,0.10422406328014876,-3.0908817002613547,-0.03543322473842524,-4.149013972277748,0.8584130608632509,-7.509435902133385,-3.3850967013516025
6.734,4.0297030068995,1.462368036417663,3.6136611989952736,1.2087747155918593,0.6082386781944713,0.07834016160137028,-3.395836930246874,-0.04338889062619232,-4.246095065810752,0.7100814437173795,-7.9748841611723575,-3.610780606667636
6.978,3.4022345113803305,1.236408861785056,3.570501792310049,1.1963414639668417,0.4726906150781292,0.0612356010317381,-3.6058395955840803,-0.05020595092951089,-4.24683596655928,0.5665775183913982,-7.867062958775359,-3.5783290597238198
7.222,2.82712089471846,1.0288970278040985,3.4776196856460704,1.1663757373062766,0.380279663009937,0.04929478917434564,-4.048213590224503,-0.06342588053529363,-4.455580242048355,0.43316519513589824,-7.241247958839025,-3.309345397768778
