radius,h_err,l_err,u_err,cs_err,sig_err,Btot_err,Breg_err,Bord_err,po_err,pB_err,pani_err,alphak_err,taue_err,taur_err,dkdc_err,mach_err,gamma_err
0.6153,0.11051199075600845,0.005487718345171644,1.82057030052095,1.860376406470835,1.840345468515169,6.032559977655499,0.7775442486455737,1.154695194716758,2.1644752127453395,3.3837918923130235,-0.03189172804543559,0.21459295378747742,0.19118815632126146,0.7491974979619433,5.689346139521504,0.29111501541415563,6.064442433282065
0.8592,0.12198633155867915,0.005704970307716577,1.8241907223011116,1.8698537090493723,1.846982907478779,5.6882206505390664,0.6185032979204328,1.13513947604975,1.3201511642429073,2.1566491019137697,-0.03450172830434087,0.16737316644153888,0.19843993071828997,0.7829535262458994,6.500034849122463,0.2898739515306958,6.05591621996348
1.103,0.1295141893214972,0.005796443680898849,1.758321841941317,1.8792951666604778,1.8219119799333434,5.356353579872087,0.5172910383461212,1.1035868138635232,1.1472408940458487,1.9583456827956331,-0.03364937063615316,0.14968135368895416,0.20928184201049932,0.8982025660653317,6.445368294862549,0.27768428536978657,5.307101406902147
1.346,0.13641067329147516,0.005827450185271554,1.7111590997489263,1.8886737932265119,1.8080880019623353,5.19023250782558,0.44539788332946184,1.0631653600336066,1.1933547163771743,2.116128865832776,-0.02663282437346958,0.14375517396324705,0.21633668040877718,0.9905243304738077,5.824270715133133,0.2685939151536386,4.3471372639812556
1.5900000000000003,0.14794946644267046,0.005943257666198617,1.7520363592409622,1.898058989195302,1.8301402407651348,5.206272712086386,0.38816336761748527,0.9818790875116505,1.141102892378024,2.0631734532929,-0.020861603202290507,0.11470122114449763,0.21565004997746087,0.951425082319635,5.192047268177811,0.27335070672881606,3.5356188434788702
1.834,0.15608050644835347,0.006018063881872099,1.7199354523001757,1.9074120834399786,1.8230057913523758,5.030251735093937,0.34873013124826086,0.9452580819800843,1.1653608523683185,2.165143299005354,-0.019911536225957163,0.1123572252404863,0.22263295495841187,1.0293768219291834,4.969371959195477,0.26674061757073964,3.0553244820256773
2.089,0.1622044790017308,0.006098734357445643,1.6215694887393428,1.917152538904377,1.7957383711773989,4.636888051105802,0.3175108858968182,0.9532905508125289,1.1919641374579517,2.2936116492509506,-0.019144745690658584,0.13183033888724174,0.23954969954462574,1.2587031878327752,5.256768753928776,0.24993380679014415,2.843136813783767
2.333,0.16930686279577253,0.006227013116360368,1.5261827809312039,1.926440031553593,1.7776457236500345,4.2114104277231705,0.29370990388152035,0.9759932897374091,1.1496348666331486,2.296437269319181,-0.022094824144139442,0.15881683422230577,0.26016082333195195,1.5578730969212573,5.952031650118216,0.23385789550296912,2.7832683438258172
2.577,0.17874161065888258,0.006408382911614664,1.453131251830471,1.9356955059771146,1.7711718923104014,3.8271221954502908,0.2725635433248876,0.9895331793287769,1.0811420026878447,2.224625287033803,-0.021869924338777845,0.18409712881491658,0.281538100533582,1.8769100807178831,6.8045559874854975,0.22137711371209948,2.7242766095991215
2.821,0.1901401548310012,0.006635739479235164,1.39150278446908,1.9449190221742363,1.7708136572431885,3.4663959377907276,0.25358921957351177,0.997549470349241,0.9967905760639887,2.1178344761014127,-0.024144005396070284,0.21002185902164064,0.30483895401518246,2.2363568608671747,7.8552157656626616,0.2107754380202785,2.66566276949036
3.065,0.20305764008937804,0.0068021241527088955,1.4189852360394075,1.954110654029145,1.7817216912520664,3.4245908217865044,0.23629833964022848,0.9643212899050568,0.8821311737117338,1.9028489836049045,-0.02341049589960772,0.18255232933580534,0.30686639080035666,2.18407322373025,7.948246309232209,0.21372081884907507,2.4749971456645263
3.309,0.22305723284451398,0.006977457212765179,1.608205864697037,1.9632704881396206,1.824880750392035,3.807898003039005,0.21825103791286488,0.8618605174176228,0.6988553137072195,1.4794975665571857,-0.01786345746554841,0.10137544662510586,0.27816368152369675,1.55467435639401,6.813282859529973,0.24086182625190378,2.1410991212099724
3.552,0.21524293348917622,0.006798952463881758,1.421727398745835,1.9723612768939516,1.7975140894573634,3.446955737276424,0.20742216242754163,0.943271174093436,0.8280592189246927,1.8706925890178505,-0.019381602168285834,0.1568733055382197,0.30709563255183975,2.214689131966906,7.233249744855436,0.211754985491865,2.0746257088216757
3.796,0.2123106556805185,0.0066631553860368505,1.331124048986906,1.981457950064865,1.7985805040999472,3.3026600884190653,0.19526926012888993,0.9751062672548304,0.9377433475660398,2.2119827033997193,-0.017898008610216024,0.191483506223969,0.32200163896245987,2.6710071801093576,7.008051151778128,0.19716961863130228,1.9152265353113709
4.04,0.21711992735321498,0.0067048631856611585,1.282128795627712,1.9905231506343917,1.8057911950221006,3.147588587909408,0.1837191794267466,0.9681811359844292,0.9915520011651316,2.411633775384141,-0.018742549633372588,0.21351329710157566,0.3370120768062202,3.037650247257891,6.994422490511231,0.18887733271879292,1.77568150523227
4.284,0.22659189917611527,0.006874563016972752,1.2253433836398138,1.9995570059751244,1.8152673039305913,2.894176345453317,0.1735446882005093,0.953648036001983,1.0340065796575857,2.5739816483141773,-0.018896755289680586,0.2513988609651227,0.3622478603468723,3.603035658633435,7.485854259608538,0.1795373156059547,1.6818511737962905
4.528,0.23357176063088117,0.006973963759739085,1.1774960610592637,2.0085596515157245,1.826502291666811,2.712421348827426,0.16554370533259288,0.9607961028525397,1.0430299860075916,2.665058601348084,-0.018192246639904694,0.287283377549731,0.3831862466758489,4.159250109941429,7.997612703251636,0.17160367553315653,1.6233801524189664
4.772000000000001,0.23939500642506353,0.00702104911122745,1.163698850038916,2.017531230006477,1.8363042975258688,2.64989989290179,0.1591045995252158,0.9695173005719898,0.9940330997398439,2.6087613249048927,-0.01976111256155946,0.2910019055098851,0.39116593898281743,4.380002066527114,8.220749490100834,0.168693710529305,1.574537115480043
5.026999999999999,0.24612395480041468,0.007134978058808287,1.0874603838870802,2.0268742275590976,1.8533305647495926,2.395980797356827,0.15204715421778628,0.9973184920029395,1.0212754479909054,2.790936812661833,-0.020832370997221204,0.3741224197096803,0.4263537880742295,5.509055123841704,9.250370183705389,0.15677639045106745,1.5420575600684685
5.270999999999999,0.2589476130359057,0.007362323919785073,1.0506729038873521,2.0357827430652016,1.8671755214994272,2.207320925117976,0.14404273012811764,0.9792725401808252,1.0219601838069592,2.863913490223994,-0.02311834919053011,0.4245324388189997,0.45637769024330166,6.362756045025822,10.031552876704676,0.150684032830619,1.4727353614930287
5.514999999999999,0.2744721447260708,0.007564243816606693,1.1224703984291975,2.0446606645197574,1.8670936862267042,2.2996417111604175,0.1370808377706548,0.9102043367430452,0.9210269035918286,2.5289525751722652,-0.01888078767353047,0.3185664332719738,0.43993590798806614,5.411874280582714,9.344862036725829,0.16014986366290587,1.3755620662297798
5.759,0.27622891553091605,0.007580613343086347,1.0367749626470772,2.053508157852501,1.8872374033842658,2.086609077023966,0.1340094343650896,0.972903347313252,0.9346426739798519,2.718147056374451,-0.024082652832895218,0.43067448333228303,0.4784924271214685,6.947013292025682,10.76606838520704,0.1471658992078874,1.3904604259317128
6.002,0.27887174849602886,0.0076050893852097805,0.967871545265611,2.062289318663083,1.9075714488276005,1.9154368992070006,0.1302497329433368,1.033044393337226,0.9386688252543104,2.8795113229708593,-0.026902546247458706,0.5546961876058227,0.5154984517465807,8.64549151025942,12.150142463746606,0.13669072403659982,1.3910504040622065
6.246,0.2788940881958479,0.007602248385479279,0.8521755165145901,2.0710765934792974,1.939103018008763,1.6671870316266872,0.12384197194276729,1.1609642329302687,0.9611691509944728,3.2852354994593376,-0.030814493865376436,0.8630085044552367,0.5867814138641656,12.778180945067264,14.39048953959479,0.1197451940082305,1.3729136577785221
6.49,0.2933654321351006,0.00785531632403606,0.8119760326961128,2.079833961614406,1.9567280315193183,1.5305055589663983,0.10422406328014876,1.1745893355256818,0.8584130608632509,3.3850967013516025,-0.03543322473842524,0.8210522171443675,0.6380254828567243,15.40253917467249,12.819537018164365,0.11352662828513514,1.1369657535373716
6.734,0.31722477792945886,0.00830555252665248,0.7465975116002674,2.088561603814799,1.980079565884457,1.3467607104151431,0.07834016160137028,1.1920785156699791,0.7100814437173795,3.610780606667636,-0.04338889062619232,0.754390049123856,0.7356722637196798,21.138809111343225,10.357057538299614,0.10386851776024643,0.8217356209305676
6.978,0.35319841174857736,0.008968755736991121,0.6991620784856722,2.09725970354136,1.9996442541949109,1.2100426959463455,0.0612356010317381,1.1860206746541155,0.5665775183913982,3.5783290597238198,-0.05020595092951089,0.7058119760430794,0.8506897196189747,28.044865582728164,9.422950368832407,0.09679103220185657,0.6299909502737053
7.222,0.40577640938122134,0.00991195674663315,0.6647261147164593,2.1059284466291186,2.0162830181303972,1.1097265333815893,0.04929478917434564,1.1594765467529224,0.43316519513589824,3.309345397768778,-0.06342588053529363,0.6703070053338958,0.9916915419068195,36.38643910204107,9.550743808649642,0.09157490583648449,0.5079394677514549
7.465,0.47841643802686634,0.0111368809829763,0.6887626228185194,2.11453267215051,2.019972819175104,0.9682431474307686,0.049039568591860115,1.004288129975678,0.4030036908600476,2.781862261470541,-0.0667360926729212,0.6935761549583527,1.0784983091838507,37.07424614942871,12.835854462536041,0.094428841069444,0.5208271628660499
7.709,0.577508338523699,0.012748946638815954,0.7036613538119024,2.123143385786881,2.0256848887046335,0.829986351190314,0.04615639495018716,0.8626844450845392,0.3603311931382662,2.3513040113881507,-0.07480871558017664,0.7073784072820593,1.2120858972476847,40.15107413584222,16.785752966603305,0.09600799160520988,0.49838885448140186
7.952999999999999,0.6851464442680221,0.014473700031270052,0.6315441952658796,2.13172531071039,2.0503901907737876,0.7977749844262481,0.031217912909304348,0.8657036935743349,0.24674153861545867,2.347148063743472,-0.1064037639463266,0.6344793819355616,1.5378772531199425,63.59911393325387,14.216932892937841,0.08575740054429572,0.32505277096540003
