radius,b_iso,err_b_iso,b_ani,err_b_ani,B_bar,err_B_bar,pb,err_pb,po,err_po,pB,err_pB
6.25,5.851659035357212,2.70228151643691,3.641815171951985,1.5675178127514071,1.9723700488669282,0.2778475707087661,30.847609092404742,4.257085564531862,19.22527925052937,4.61065338383763,3.0993539975796995,1.4545429168264719
6.750000000000001,5.646131536949993,2.6072203980836983,3.170364058560776,1.3669920494358396,1.8157156339914646,0.2580427578176705,31.87995638384907,4.553837552480503,19.25879288550929,4.957072850948239,3.2061978607021118,1.5117774857132595
7.25,5.60664963046628,2.5888468090107972,2.911659700466848,1.257583705353119,1.9356460293489524,0.29038525769142015,32.59144060506833,4.810270025430115,17.738653283385187,5.3726609197648045,3.012660437342263,1.4275342748449522
7.75,6.384967300860054,2.948076487493314,3.42472717638018,1.477184423263086,1.8018890632822324,0.2704623972973412,32.30474166934595,4.6324736799212225,20.6848998884022,4.870489201631114,3.6549160002520726,1.7209803122091496
8.25,7.616382865832386,3.5164696505572572,3.9351757760682067,1.6958672604676341,1.8983087950724395,0.28583678187704575,32.635864926670635,4.551521373859153,22.226818215987503,4.686455653350438,4.467776617234484,2.0928452574035012
8.75,8.303462648670111,3.8335067713339055,3.845633602461138,1.6582241306808152,2.011098947885009,0.30462049703810673,33.522538442805214,4.6800108148699255,22.130206115968637,5.024442655563514,4.960272704348862,2.3237660237888207
9.25,8.535490922047074,3.9404444266504575,3.6226167632962643,1.56463831550475,0.8358228786575587,0.13034271383743842,34.14587632186605,4.917055465850245,30.442577746589386,3.2099935376761977,5.233214396124311,2.4617402476372954
9.75,9.158618412038766,4.227923702204004,3.5026231931897365,1.5160386559863397,0.7044048876325057,0.1117579213293178,34.79723253137724,5.201624086740567,32.360140247557,2.925364301010464,6.402358492993032,3.022302986877335
10.25,8.813306164012907,4.068339997366464,2.933715330149868,1.2777401579536876,0.5231070877129756,0.08742725419983598,35.52285262382916,5.914094645612179,34.09688723457878,2.741695647486417,7.178664451792909,3.4484181903464
10.75,9.078254197618445,4.190468929181328,2.6952724666471064,1.1802931140730446,0.45419495224272494,0.07913898801167633,36.01248616866779,6.477342615466222,35.192167138816565,2.654618521882741,8.151201990141953,3.96915899680126
11.25,9.410489136262452,4.343652244225124,2.8901557464263576,1.2631040403802196,0.3422281090472852,0.058026884344039464,35.87687680179323,6.279076939709988,36.92778729777888,1.9217550048092908,9.045946239177745,4.360413559526404
11.75,9.776239348740464,4.512299012638386,3.301456477077695,1.4360404770502724,0.1761943792676873,0.02838497441059497,35.454592585811056,5.781235740607172,38.78447423507525,0.8945368221523575,9.856809539741295,4.661773441033603
12.25,9.341010388232329,4.311254843642769,3.5876943703539914,1.5553385693001933,0.9218574708691021,0.14347206096309142,34.772359067048946,5.3895250649922195,31.554567475407776,3.273850146827114,9.918719318804602,4.635765819100993
12.75,9.211006476811548,4.251099743148857,3.8298778585889646,1.658092655574965,0.6942314240035,0.10636505417823046,34.282013561128295,5.214047667453053,33.319998882452026,2.412597960196592,10.734882728097105,4.9744479807450475
13.25,9.751306361614436,4.500304713611578,4.045512252298226,1.7508516773568774,0.6071514346048967,0.09235745908281537,34.296546972509795,5.177899408721941,34.50385597250886,2.0212023520835936,12.320398468653332,5.656551719633437
13.749999999999998,9.77370822584818,4.510492054424311,4.051002194933515,1.754032329531558,0.5403187046130877,0.08287981746144156,34.30265878162689,5.231819877563147,35.11742718787116,1.8102951308408386,13.23064317099846,6.0511246090215005
14.25,9.117135976118087,4.207352635839477,3.8282926553402645,1.6601931811312558,0.43220389467638975,0.06739825193019787,34.21731883144745,5.401783506798096,35.630766684776,1.5569698308904345,13.651381287081806,6.2578947593676
14.75,7.969987622612287,3.6778543987192784,3.5258686488626143,1.5327419536577398,0.2660628653609913,0.04215543251034975,33.85879574192406,5.638709927754774,36.24899583131829,1.0653078890268262,14.11057278648503,6.499509838886934
15.249999999999998,7.775023682927532,3.5877771755499746,3.199636193821758,1.3915061488508766,0.4216644872302356,0.06658015263735129,34.34894041072203,5.714806606819615,35.188262920477726,1.8118721604039998,13.041011110392155,6.048070297390605
15.75,6.768656402405096,3.1232985598243883,2.7580512366040906,1.1960039252347634,0.6406210365222166,0.09870978602378888,34.41226867907829,5.411428560988073,31.58394190299681,3.0409336266436036,8.845607226267528,4.138550481538179
16.25,5.612857341920151,2.5898984839024566,2.4919442823037867,1.0763743625111752,0.7301238175830733,0.10851933301452067,33.83340115426321,4.934043959146955,28.447293164064916,3.6742842694748177,5.853045402180136,2.7255175823417876
16.75,4.938780212717519,2.27880171784131,2.2757088577277287,0.9807034678914545,0.3558533343152177,0.05182565403960501,33.560917029423436,4.640768816352743,32.05959419286715,2.3515276809811896,4.2491184377001066,1.9685772859643254
