radius,h,l,u,cs,sig,Btot,Breg,Bord,po,pB,alphak,taue_e,tau_r,dkdc,mach no,gamma
0.7504,232.917598720572,21.316024518830755,9.11490161321708,9.02507871465097,12.827060350067482,20.392754269593393,3.1386957506632256,5.524332470557698,20.089565242556894,5.082690876445536,0.535033348105597,2.288461132380939,2.191962949949206,5.581799191862909,1.0099525889364593,4.101529034552103
1.257,266.5120213958491,22.085009478982006,8.641078158228705,9.133593737436568,12.573415061038814,18.32184076747882,2.5841561847855488,4.913437073867889,20.981640982382977,3.997524909146644,0.3675554157311864,2.5010304048901677,2.729971589312723,5.685408687744811,0.9460764740182004,3.126264173888113
1.752,304.4627304664837,22.72634241929627,8.650783420607969,9.238392909869717,12.656380104413612,17.406843061580044,1.9966378415804638,4.096375167667833,22.604674321149297,4.036440758345555,0.27976679767640844,2.570771173744397,2.8644222784479827,4.75238573925117,0.9363948367433059,2.103423382781636
2.259,331.05824264467026,23.43307918480781,7.781938075059224,9.344514335467634,12.160530760201897,14.971958512518032,1.7706508172571855,3.604670093797693,22.118447058776393,3.4813297941801506,0.23586588553843707,2.946665947568145,4.151073990034075,5.448244422116559,0.8327814368610295,1.865697983772908
2.754,369.0112822932044,24.84453234943983,7.043253598508533,9.446973968544143,11.78357918525836,12.54159236531041,1.6662001882453399,3.2985233456609664,21.01380392398117,2.673560640692424,0.20823817687281934,3.451809465804195,6.067045375541252,7.279049849132205,0.7455565794889089,1.833937059248067
3.249,429.0731532379314,26.171273438255614,7.81398582053248,9.548334208590585,12.338114141246379,12.860360621364528,1.4992727054815245,3.187112042664846,22.294796614324277,2.3769327446899915,0.17488672809312034,3.277491325946194,4.781269004970641,6.842405980349436,0.8183611559702506,1.5085211040079847
3.756,416.7635636621298,25.16998193559382,6.715038591465497,9.65104816937364,11.757315767318714,11.584560851529499,1.3373766692409632,2.8497877657986708,22.340924580880767,2.3629524483673325,0.14783996835482635,3.667952523802757,7.40231033334302,6.838063678652128,0.6957833463907898,1.320825203108752
4.251,439.4551417050408,25.741252289418277,6.151350574389755,9.750287163164009,11.528539094490942,10.242573184542564,1.1802811332376135,2.4903162269140005,22.125869945748704,2.289532102127502,0.1335223501074761,4.094949092898976,10.051572392074169,7.174219189763364,0.6308891698727791,1.156683844860602
4.758,464.14322744207124,26.305541016385906,5.801366550487488,9.850895612724253,11.432235049451398,9.353041954107567,1.1054415903480619,2.3248919553067413,21.909233807209162,2.0520312354999852,0.1211163671108638,4.437171822607115,12.49938684574705,7.9577786190362945,0.5889176759719137,1.0841803910301986
5.253,498.55758453850524,27.463523155935377,5.245787143919909,9.948141201721077,11.246501506188308,7.972118438415952,1.0179282742033313,2.0733455447723323,21.09012068395373,1.7995918172595162,0.11319117857593983,5.12312438470692,18.00068761960099,9.650024060392017,0.5273132977859585,1.0261629929387768
5.748,531.0603319746135,28.26793927932713,5.178145871306674,10.044445348846844,11.300622860289666,7.544308713625232,0.9669060153526002,1.9856524367412873,21.144880524354242,1.631336078747442,0.10496249288817086,5.342065195950413,19.638313337881563,10.349824982479733,0.5155233257256113,0.9671592502328689
6.242999999999999,533.5392903605073,28.27354852527288,4.243400384918851,10.139834878466294,10.991937872335841,6.215676265083022,0.9438324784705482,1.8380335597047015,19.745293598061075,1.3131447497749753,0.09659969663337471,6.520120501509921,36.37315782288231,14.50585874223709,0.4184881150215228,0.9949224158245684
6.75,606.855072063087,30.917938674671277,3.6928611872579356,10.23661545488501,10.882348998242373,4.818365265770383,0.8450490476478101,1.5460363728958497,18.16695482664098,1.0709660718331426,0.09464401752643772,8.19288508054451,61.50569314494861,20.82872084081917,0.3607502111936487,0.9286500010468054
7.245,779.0091730603125,37.027271706392234,3.3085202081870335,10.330230634781644,10.847118093565829,3.436806744590757,0.7465653118910487,1.2619372267152837,16.003789367594305,0.7503592997956697,0.09908407824787466,10.951591502527574,104.30889157845971,37.23754983390182,0.3202755412882384,0.865689083768294
7.752,1124.9189458827427,48.21470994094756,3.463620948086649,10.425243861723825,10.985553224505125,2.5420261590160007,0.62073875636284,0.9965891054629479,14.561674301619131,0.5593617206860863,0.1096737171419299,13.621925965428881,120.57072920791306,58.57220772620725,0.3322340459395197,0.7379558196643874
