h_err,l_err,u_err,cs_err,alphak_err,tau_err,taur_err,biso_err,bani_err,Bbar_err,tanpB_err,tanpb_err,dkdc_err
7.454619601341786e+20,4.12568948581444e+19,128640.40811823298,34146.624572116394,15989.28264615221,24825830557752.34,345040427161485.06,3.874848308650438e-06,1.9174350879655654e-06,4.157730254449595e-07,-0.011011184387870646,0.1176125787696712,32.21946093845054
7.733566979992802e+20,4.109664285586089e+19,130098.01107864208,33909.73429399254,14018.978715822042,24438882750857.867,336866042864094.06,3.926944207724458e-06,1.7434186891661244e-06,3.662478410824848e-07,-0.012378296667806793,0.12956591019441638,26.12112978358033
8.324136892310668e+20,4.1822568510355685e+19,139071.10779669313,33677.70682219971,12719.129467880768,23253586305799.78,284472704339504.4,4.087638169412808e-06,1.6902809166299818e-06,3.5388974255801e-07,-0.012657477087380275,0.13921689863017453,22.875888563520768
8.357405176246187e+20,4.092221177494821e+19,125196.82611964406,33450.378031379776,11331.013324979498,25261633578922.984,386651960256146.25,3.7773707886793267e-06,1.6467861053174435e-06,3.462218823781047e-07,-0.01085380591437763,0.13189349981148624,26.828882872569558
8.314334062696935e+20,3.938910056189293e+19,121630.48653981154,33227.59144811707,9818.42947507135,25015967747421.33,411258483077832.75,3.851133360537904e-06,1.6641399913354676e-06,3.36780615274911e-07,-0.010266348046098052,0.12935149726020254,25.96269191191178
8.208478772997278e+20,3.7732049423032656e+19,126514.94299610147,33009.197798282206,8487.326465033342,23027585375732.426,354652198134687.6,4.231070918362582e-06,1.6527418774964948e-06,3.129014602288972e-07,-0.011610254870652287,0.1364013325407032,19.69982150302018
7.988666171032905e+20,3.593967070730466e+19,128193.04901450197,32795.05458667934,7469.609551364451,21636812883662.29,328910972365706.7,4.56318573467785e-06,1.6230818185678383e-06,2.973227990677414e-07,-0.013293943603107003,0.14670656283318137,15.313254820479997
7.787385117351197e+20,3.4599620590384693e+19,127521.52341849395,32585.02570630703,6694.0460810862305,20930648184695.684,325783182931674.2,4.762995559251632e-06,1.5378009868312768e-06,2.731001410664452e-07,-0.015665618120289226,0.15852764928667507,11.96104535838785
7.732580578007562e+20,3.3847738706646557e+19,130472.0281743668,32378.98107479835,6170.402339059921,20004384877987.996,301319450371960.94,5.004730712329293e-06,1.3954457552241633e-06,2.463833448938053e-07,-0.020654735973427103,0.1856619180186681,8.50878246493762
7.878275141899152e+20,3.3640813983552053e+19,135799.15410591484,32176.796295833974,5778.308730310867,19094449074673.668,268905991500292.75,5.237342654769778e-06,1.3165152603708775e-06,2.2915999352338364e-07,-0.024588299737186976,0.20691032424284372,6.736710993496671
7.845721176940655e+20,3.3313185873425002e+19,124589.68785506097,31978.35234352581,5452.0135720111275,20601688949886.34,349064395705460.75,4.855031865711281e-06,1.2649113972674813e-06,2.2050041096898973e-07,-0.022464892196124037,0.1993961621181214,7.592754252189741
7.798959042113565e+20,3.300084788300856e+19,109036.17448349408,31783.535267951946,5143.948744172138,23310968205165.6,522150937120864.4,4.291190899370209e-06,1.2282810107094364e-06,2.1547825724458256e-07,-0.01821213582742495,0.18053375469981253,9.974212523575138
7.755492065206288e+20,3.2714398961171784e+19,91996.85535288858,31592.23592018786,4869.500851023437,27378810554221.586,872143526410520.0,3.6532784681742885e-06,1.1674197289523907e-06,2.1214950342635178e-07,-0.014464243443248351,0.16481090769435344,13.956733268772874
7.794291920225898e+20,3.259274897773335e+19,80151.29771914793,31404.349695326506,4612.910294183994,31297331207866.16,1329480490096314.2,3.190268015347671e-06,1.0952007383774765e-06,2.059571490751637e-07,-0.012352612772986904,0.1570907213503607,17.834812863742513
7.924021183608388e+20,3.2637697221498663e+19,76346.71467578704,31219.776292112798,4369.60442283991,32891183669765.664,1558499527175128.8,3.025191741404034e-06,1.0490954940535285e-06,1.9720519039741007e-07,-0.011735301505275663,0.15550834022960347,18.941360180662322
8.358541585568014e+20,3.3718831742920905e+19,74255.71000401909,31038.419487937714,4268.993859298766,34926210440194.035,1770308574447961.8,2.809055551610158e-06,9.832406350869995e-07,1.8868264071271802e-07,-0.011086235194776065,0.15671305032382768,20.574881024982712
8.96397128721514e+20,3.5394630547922694e+19,70583.42702420829,30860.186928045485,4241.998224693249,38557303866581.945,2188499644315907.5,2.4953870474122463e-06,8.845739461026549e-07,1.781856716516672e-07,-0.010455290623804247,0.16142252598256157,23.43321580029888
9.921044452436427e+20,3.824801675855837e+19,63463.219955844426,30684.989927904768,4331.001650843521,46326191082034.52,3290455223856376.5,2.0167655451054782e-06,7.486396097069906e-07,1.650424527605556e-07,-0.009269465552006128,0.1669275577092234,31.09311727704682
1.1572157026582991e+21,4.274676881598301e+19,73380.18067215734,30512.743287783167,4491.94619554132,44764774656792.555,2405594114607385.0,2.0035374165418454e-06,7.123744329706458e-07,1.520595116825768e-07,-0.009223695711707914,0.17052836731806634,29.357932914899532
1.381949076568918e+21,4.841726879680143e+19,88291.7740719891,30343.365118644517,4683.978385468253,42127744005243.73,1581554246781552.2,2.0344587930079135e-06,7.184395873602937e-07,1.4361397252400032e-07,-0.008274465437799437,0.16155985462261363,29.523394615805962
1.6616287057228829e+21,5.5341679184365535e+19,96155.42489972513,30176.776678560655,4924.145404585483,44202512424480.85,1414858141768985.5,1.8472104878437845e-06,7.054693183505985e-07,1.372103683262682e-07,-0.006346424887418587,0.14446864867716255,38.418117472453424
1.9818933852660703e+21,6.2658020844955386e+19,107380.24919200568,30012.90221889547,5112.260763756004,44802757963328.45,1162711986451910.8,1.7419374230202654e-06,6.942545508098203e-07,1.3091722663523464e-07,-0.005227495171088447,0.13424747416756508,45.18491354992824
