radius,h,l,u,cs,sig,Btot,Breg,Bord,po,pB,pani,alphak,taue_e,tau_r,dkdc,mach no,gamma,e_folding
0.6153,0.31591139383405487,0.023743071217353078,10.396812971600472,10.148765204312475,14.528976396797658,14.855613024276176,2.8339221276475817,4.170616073244151,-3.263838295752415,-3.975482137403329,-2.0437114584260416,0.8066650134782223,2.2347347302151634,2.0803842997490762,11.497888866298318,1.0244411770589188,4.970370179786098,0.20119225808711
0.8592,0.3521146033184509,0.024768628218210194,10.4347929245368,10.208077605061199,14.597594040420335,14.156247106274419,2.8215916749966823,4.305873627213573,-2.656535163217302,-2.781909125572601,-2.4597078710363403,0.6580297974348766,2.3227765565347616,2.1717975164373837,14.280508183979606,1.0222094039883862,4.868874327261309,0.20538628290340155
1.103,0.37814110833024883,0.025268964271151093,10.077511821874136,10.267023257267425,14.386382835351046,13.267978470823474,2.5534811861085593,4.0139879491734485,-2.4910802646963077,-2.4384318332518276,-2.5683246806979305,0.5447967128318507,2.4537111693996034,2.4882702144227573,14.704793688728147,0.9815417350633597,4.242937703968268,0.23568576061457036
1.346,0.4037458584642872,0.025529063998380428,9.829737983907192,10.325440638763444,14.25617316171824,12.656940802357049,2.225794038796014,3.5935641452647147,-2.3506808843452007,-2.413430751829167,-2.2638125864613228,0.461241318817602,2.541454068709018,2.7397265123364556,13.628620698765287,0.9519921064680473,3.482698635849903,0.28713365828047427
1.5900000000000003,0.44406838622560685,0.02616759228325089,10.088231834961887,10.383767748157991,14.477398046735628,12.455122465682559,1.9565171162177963,3.268132293703376,-2.2072502171463158,-2.377211360360274,-1.988002562522598,0.3971263365514151,2.5382712174286164,2.627298939870339,12.45566396406719,0.9715386630013435,2.845780962983568,0.3513973889795025
1.834,0.47432779247977025,0.026614589579213324,9.924106492902391,10.441769050823932,14.405500011912531,11.910971212414227,1.765801840009294,2.9934699452469293,-2.1552427538145014,-2.320548245251863,-1.9482192106304177,0.3552261580034002,2.6243253297130202,2.838406868617952,12.18508098676857,0.950423864442712,2.457576300774289,0.4069049655487555
2.089,0.49798931180215594,0.02706809900344857,9.372683573382096,10.502042851489163,14.07622468637316,10.975821657974471,1.6440428070475828,2.7850534999148717,-2.037297251964434,-2.136525371393945,-1.9128486881753248,0.3237141853617853,2.8260713076292303,3.46652566027949,13.183626232004363,0.8924628956406394,2.2621403425961084,0.44205922204294645
2.333,0.5239247469302553,0.027712987293742337,8.833233985863592,10.559394505253277,13.766874553310517,10.027516912012842,1.576107974253347,2.6510582582248703,-1.9820661463162992,-1.8721020212736665,-2.121948489007774,0.3008913953810664,3.0701028351570057,4.2863055509659755,15.250207603632429,0.8365284563872556,2.17752530395721,0.4592369136573078
2.577,0.5569972034365358,0.02858790217229379,8.420451377864183,10.616436340911745,13.550377189864728,9.176663703430352,1.5131535433199983,2.530519554252114,-1.9244819717277173,-1.6245762465985185,-2.3104364250640677,0.28136878109091223,3.3222799835157852,5.159583516645935,17.768019168816604,0.7931523448612352,2.0967687754688913,0.4769243092988994
2.821,0.5960980941135026,0.029661530986879722,8.071653132717655,10.673173325852533,13.381637162118869,8.383745704863715,1.452716488097076,2.415883419232423,-1.8672839862409658,-1.4011979323447488,-2.473940513672376,0.2646450214296523,3.5960058353384174,6.142910293301441,20.850841357879517,0.7562561654617299,2.019594848052143,0.4951488170830299
3.065,0.6427727621121673,0.030507189707020505,8.244428185273083,10.729610296126715,13.531265026185604,8.218448801224243,1.382588786250681,2.3418002020614717,-1.813988441827417,-1.280095743901734,-2.4837479306020405,0.243155806075927,3.621020454998276,5.991967353271795,21.525284501059463,0.7683809530574696,1.8621852834750359,0.5370034920122951
3.309,0.7161347170213914,0.031450563945350375,9.365804796235995,10.78575196125921,14.284633171734026,8.881484346764195,1.3015243917359174,2.3285374791362834,-1.696632388372626,-1.2375490125796895,-2.215208341625769,0.21750224763691534,3.2860385206357425,4.257698903531323,18.946947065442096,0.868349729335196,1.6185349957996138,0.6178426803221295
3.552,0.6960529766492722,0.030720118801137532,8.28987560166902,10.841374598692008,13.647616666667906,8.11129379431568,1.2387068778949413,2.18564655330993,-1.7068474527488053,-1.1954996956893962,-2.2995976388692383,0.2010189058129476,3.6263038587817107,6.059384456089081,20.378867682951338,0.7646517077888978,1.552579428700344,0.6440894304757694
3.796,0.6922958573835176,0.03019122805516515,7.77238106743303,10.896940462910806,13.384812994943715,7.756443260408059,1.1609125455793574,2.0551087937091514,-1.6623233814147529,-1.2052531086188705,-2.1889066242401163,0.18440100787999378,3.801158755259122,7.299760913125246,20.015299375233027,0.7132626900080228,1.4295230526798481,0.699534014596935
4.04,0.7120938635419862,0.03043687757080444,7.493619980261489,10.952224418595575,13.270477011918425,7.373197029675245,1.0870070715239608,1.9272757302942987,-1.596761118980249,-1.1891286266691976,-2.0650306681670556,0.17322377311416415,3.9746395252398403,8.294891832882174,20.167219937890785,0.6842098640289194,1.319685763570476,0.7577561474137979
4.284,0.7455224898251588,0.031234558986262595,7.165635035304561,11.007230713414689,13.134133143741305,6.798514352515717,1.020292168703833,1.7908052657979008,-1.6397910723297842,-1.1348235075608855,-2.230998648058809,0.16669453129161813,4.265500611012907,9.833506749465235,21.69657467388565,0.650993444388486,1.238045165750377,0.8077249745520404
4.528,0.7713470670044539,0.031719939321311376,6.8901702000116964,11.061963489426192,13.032324490532277,6.3960690059231124,0.9782663461560939,1.709336576818762,-1.5748459881102288,-1.0654402566380796,-2.1763681345706622,0.15904057591822526,4.504968024039521,11.344566269301247,23.361491467198224,0.6228704521216155,1.1835125314706503,0.8449424686339274
4.772000000000001,0.7941184570501997,0.031976728569303066,6.81454186452211,11.11642678671778,13.038900464678035,6.246994253969547,0.9537428502159528,1.6797119049673244,-1.607689687412378,-1.0013130891431585,-2.313047263566485,0.15031671091239499,4.591839306792465,11.938105695308705,24.26006755512524,0.6130154945709998,1.1400367709776273,0.8771646892954688
5.026999999999999,0.8178725569299898,0.0325051964393225,6.37002413884231,11.173061695355784,12.861357439153162,5.71508139818643,0.9153696302813527,1.589586833476714,-1.578612534735022,-0.9211359499904601,-2.3641870032966747,0.1442104545762034,4.993453749342516,15.009108990760286,27.422788470291295,0.5701234193927422,1.1022425313273212,0.9072413480505052
5.270999999999999,0.8614353987202601,0.033542807585368664,6.155716457046103,11.22698605643051,12.803829935251144,5.289302906053815,0.8657411726873032,1.4907691308790716,-1.6038996459850103,-0.8671292068661083,-2.498666618664946,0.13972522267419565,5.332245279566879,17.328896686468607,29.81170316815106,0.5482964373613235,1.043031808946147,0.9587435315231418
5.514999999999999,0.9162911395173802,0.03449519481592806,6.580191917957837,11.280652648421704,13.059557796935593,5.417032227860656,0.8321941021203789,1.47049911503344,-1.508113511578597,-0.8554834809990274,-2.262554544959245,0.13373423990349162,5.129905399600664,14.729646729276814,27.984612103695728,0.5833165972784814,0.9748135677864801,1.0258371785599076
5.759,0.9226557953842621,0.03456372631869179,6.078388111612653,11.3340651329257,12.861097716478016,5.000809118135659,0.8204283885127006,1.4263410441033524,-1.6063987221557825,-0.7756660634199132,-2.596773012183251,0.12879945895687026,5.564439766452431,18.901994924396128,32.339082961957324,0.5362937340067693,0.9721430642067592,1.028655181339972
6.002,0.931827685667178,0.03466659710809371,5.6747658742238265,11.387009715318568,12.722694603896407,4.658539714821658,0.8058503338058121,1.3855821717089847,-1.633752954819937,-0.7081872278942531,-2.7609940931794577,0.12340143998924472,5.977954147503887,23.516230435738883,36.60249791345667,0.4983543543121555,0.9616310771249761,1.0398998366293828
6.246,0.931101862487098,0.03462858841740381,4.995702883963845,11.43992563436572,12.483146471329357,4.130854500331373,0.7907095830052376,1.3233996267970227,-1.7138503627767012,-0.6217844964877473,-3.1167842637385985,0.11803375313988461,6.783088794060022,34.751403152400286,45.31055062245731,0.43669015373287684,0.9612141929561583,1.0403508472180985
6.49,0.9785297040329615,0.03575440842679873,4.759299818523119,11.492597912694777,12.439081217898313,3.7748506599396205,0.7535538165964193,1.2441329754298445,-1.6865465981006302,-0.5734079904279613,-3.1568646327786185,0.11526634188658123,7.3514980605999645,41.8810715419119,51.26369173597338,0.4141187096840806,0.9200790369268,1.0868631496486951
6.734,1.0556985598413764,0.037755386648875025,4.374404083619847,11.545029885016964,12.345976110973355,3.2404022868931017,0.7042543494225023,1.1255160481124022,-1.7287964774076023,-0.509769566086552,-3.453490317438145,0.11516197103771843,8.44596619191062,57.47689608954691,64.03981819932079,0.3788993295978306,0.8721667696601093,1.1465697098155991
6.978,1.1722480665241997,0.040711270105572024,4.094599772101094,11.59722481066023,12.29883614829808,2.761357471505981,0.6596296736286537,1.0215616002875698,-1.785142436425302,-0.4365197777995681,-3.831538006228765,0.11656347808037454,9.72954449523016,76.25518634474743,83.27753100046425,0.3530672069353451,0.8284656034181759,1.2070507162567623
7.222,1.3423989694124603,0.04491809219716538,3.8907865629659413,11.649185875933634,12.281765005511543,2.3247712379372154,0.6175543640374636,0.92671549827403,-1.8395507026287563,-0.3594822651594199,-4.258719699252067,0.11975155767454922,11.297262230796775,98.94211438959269,113.47629808810044,0.333996435837119,0.7868023140734803,1.2709672837929769
7.465,1.578100324588547,0.05039092156993315,4.0294539969004175,11.700704653627024,12.375095510926203,2.0680597823155424,0.5689586168461952,0.8426315279460561,-1.805429492709632,-0.3180865708977331,-4.316605886922186,0.12422420205179328,12.237576335316906,100.81349852824118,134.60983191257267,0.3443770367839644,0.7265279398106627,1.3764095572987953
7.709,1.897917517613294,0.05757787819732053,4.113998800312729,11.752208203332152,12.451481188334267,1.7746960700163634,0.516494469620331,0.7484715689833845,-1.7888711253605278,-0.27523510683221564,-4.490630802256836,0.13092575521049007,13.69559203460563,109.19005507909766,169.02840437912207,0.3500617695954595,0.6633078146461353,1.5075956862252329
7.952999999999999,2.240884082413166,0.06521860803294235,3.689339123160307,11.803487023652206,12.36662965739685,1.3791137174246755,0.4681936198001108,0.6460360899947326,-1.851915366929436,-0.21764646793266992,-5.195568611366729,0.1384085284461063,17.29865203505534,172.99255147081183,262.6592402936068,0.3125634921076705,0.6124171525377006,1.6328739256506042
