radius,h_err,l_err,u_err,cs_err,sig_err,Btot_err,Breg_err,Bord_err,po_err,pB_err,alphak_err,taue_err,taur_err,dkdc_err,mach_err,gamma_err
0.7860363636363636,40.82505494873948,23.191174436204477,19.019294648031224,23.32923235000363,18.87257273273216,13.895112350507969,14.452482980494377,14.322120773250013,-21.47341858036224,45.6205341835089,24.26812692261264,7.56221609404307,34.94975129013288,51.244314180116135,30.09961213951245,90.44093296766677
0.9825454545454544,40.81170286475497,23.190762762512946,19.012129383553855,23.275571104692016,18.860521361916398,13.86454377925556,14.67309552756732,14.511641599297311,-27.32882268537189,45.81958579453334,24.240575836015406,7.533342243192964,34.91930184863278,51.30657163527223,30.053506849393898,90.40934246878356
1.2071272727272726,40.79685903577269,23.190305244586117,19.004163170550463,23.215789711403072,18.836101642673775,13.816005775557812,15.009119290551245,14.796520468209678,-30.529225058880037,46.18714245479369,24.192851189045072,7.5011231908950915,34.885430991824,51.575933252737386,30.002185082706816,90.37569782866758
1.4597818181818183,40.780669492437255,23.189806428390344,18.995474252557646,23.150437542282546,18.802692617071138,13.65360657176663,15.20837780798033,14.92988349933834,-33.824285724476496,46.40018131060775,24.12465944847453,7.465838152756196,34.84846600194001,51.816532128790115,29.94613164464996,90.33901414428527
1.7264727272727272,40.76414167721667,23.189297382868517,18.98660324246488,23.083555889441985,18.751823311712997,13.613554397214637,15.412260568576414,15.033382848394142,-35.65488106359769,46.621992382898625,24.051786247360873,7.429657541011148,34.81070331622147,52.06470049853566,29.888821575762563,90.30284040543319
2.035272727272727,40.74569122482016,23.18872935198457,18.97669964361101,23.008696597689486,18.687405609031348,13.933589944072317,15.520744596280176,15.010292028836844,-37.713924488860975,46.722500224546174,23.962854776284047,7.389076329409821,34.76851746209744,52.202083687980405,29.824742219981616,90.26264685245586
2.3581090909090907,40.72715180076078,23.18815882695981,18.966747598554758,22.93326449671373,18.60529761152013,15.093781867594702,15.817242113825278,15.128320913836529,-37.397991639638775,47.074358138650126,23.866498148086578,7.348092348444296,34.72609583203903,52.56547892106265,29.76024420167807,90.22511429247709
2.7230545454545454,40.707067584462365,23.187541040274144,18.955965521392635,22.85130499362615,18.514226256432963,16.704380569470516,15.93635401908386,15.048608562450394,-38.17928639893679,47.191132016091316,23.755972710839274,7.303455099823987,34.680102703244664,52.71848799165003,29.69024703096877,90.18420062673387
3.1301090909090905,40.685696172186866,23.186883976273823,18.944491528426013,22.763813297385113,18.405051669137958,18.659787528076468,15.952979164004933,14.837217843650432,-39.11127848200254,47.15797938194721,23.63730618858744,7.255679897969887,34.63111976369165,52.74848262662203,29.615620120281328,90.14193424630818
3.5652363636363638,40.663976973377125,23.186216554036505,18.932829868764102,22.674599282063227,18.352208837660143,20.41598781956699,16.172712676170864,14.889572831040873,-40.13078020650794,47.239153532314646,23.513942372411332,7.206828716894109,34.581295028827114,53.0254465006257,29.53962591912275,90.09870003012466
