radius,h,l,u,cs,sig,Btot,Breg,Bord,po,pB,pani,alphak,taue_e,tau_r,dkdc,mach no,gamma,e_folding
1.221815106875,0.09868976167011548,0.020694235242429408,18.974284328029697,7.0674940217184865,20.247788459679736,28.19722528516765,16.56099232126635,17.810436299019493,-5.363431416735193,-5.254387965337341,-6.223962936974113,1.7271356960111532,1.067267518682065,0.14466551771990038,6.435031579375154,2.684725911294939,52.07138739704855,0.019204404760236538
2.0363585118125,0.14792831996843958,0.02304978669027711,17.623301936890968,7.222763072109125,19.045972738472777,21.726757372346707,9.131403759416147,10.273817991056918,-4.43494446258712,-4.44883982609669,-4.364074037352268,0.9195821703398821,1.2798790888781852,0.21003552635646114,5.723855961488853,2.4399667773879745,21.725154627042187,0.04602959183338834
2.85090191675,0.20941603094964836,0.026055023754107363,15.982660754611967,7.374763795852715,17.60206197698535,18.554173363811792,7.366462038489838,8.622971393644459,-3.0246685839487544,-2.508192098463616,-5.058703435824259,0.6320878064163414,1.5952608493919713,0.3318344081902804,9.299320532255123,2.1672098520090914,16.356610300699522,0.06113736169145224
3.685808906625,0.21085748118531925,0.025161166431427774,13.244438093543588,7.527379793735006,15.234060094828251,18.610118484248442,4.95300082183207,6.567675986145981,-3.4753351251395888,-3.2902658308804424,-3.903121045830117,0.5025411536915747,1.859030639011439,0.5866766074510434,6.508545051320944,1.7595017730561244,9.771901228346232,0.1023342312445003
4.5207158965000005,0.21856144069901293,0.0235853590275059,12.114228770414595,7.676962424920431,14.341906804033448,19.955750494080682,3.632559681106918,5.442207821871262,-3.58428712144589,-4.101672383905765,-2.7355508367642423,0.3967084318854239,1.905180095964605,0.7475064871165523,4.70508325693945,1.577997663644961,5.877323442300198,0.17014547690243023
5.3352593014375005,0.2765491665747207,0.02507097990624279,12.293662618581505,7.820139814762705,14.57013134127298,18.589558051224117,3.361046869531576,5.12313305573608,-2.7799960124707894,-2.773326676341227,-2.7904950286287074,0.30302931063871164,1.9956268258236984,0.7889281092634229,6.227328855744041,1.5720515118379053,5.065383794821734,0.19741840707554775
6.1701662913125,0.3873585022809503,0.029580490805907755,12.772954819409403,7.964225777622517,15.052483750385544,15.114616140581594,2.9544224208213135,4.408609389418824,-2.313751476013483,-1.7647891283159884,-3.2231929060707163,0.2506120048738304,2.266226504129189,0.8607941982141916,9.355668599131581,1.6037911500824362,4.357060645586558,0.22951252721555304
6.9847096951875,0.5721898126814713,0.036532739456693324,13.123055933699895,8.102328485247277,15.422785867730427,11.68070846749549,2.7101786683179134,3.9445951167862128,-2.0569068569017683,-0.9304291664926511,-4.044346336426364,0.2177846888020202,2.7241848570042944,1.014560499213419,18.053179129423025,1.6196647615058264,3.998553808644932,0.25009041965072104
7.8196166850625,0.7036908694298637,0.03943711187974119,12.560970302413674,8.241482415036723,15.023315457497318,10.713705601729103,2.4534201320042026,3.80428648284641,-2.2609680234725618,-0.62594466680461,-4.73520183650777,0.18126316836178488,3.0723538184914045,1.292192349635585,25.6836272374563,1.524115404225819,3.4202991258768884,0.29237208887208727
8.63416009,0.6316634795351321,0.03544023569354211,11.201465903534048,8.375014450504324,13.986196961082456,11.726461166528757,2.225811476753566,3.9753737196511882,-2.579894671657685,-0.7046858515257739,-4.70378745940571,0.15757824938109966,3.0960720231673178,1.6909240636894454,20.41058066567794,1.337486158350392,2.941718605623382,0.33993734073966236
