radius,b_iso,err_b_iso,b_ani,err_b_ani,B_bar,err_B_bar,pb,err_pb,po,err_po,pB,err_pB
1.221815106875,24.537782751259375,7.480043371577814,10.022679401361334,3.709992558893571,14.394395253530526,4.851506991964187,34.39690281450927,13.684297418469143,14.514149897788025,5.341216113186872,9.032900213376145,5.177514850276539
2.0363585118125,22.920508613269455,6.9811697183777035,7.4210140056970575,2.915380685437106,8.663309185755901,3.402935411516579,35.64994497038656,15.730903558323304,15.467871711140935,5.760179470924807,7.922590743090466,4.984018529289036
2.85090191675,19.424813122550752,5.912064602482931,6.877802370658867,2.5428458862347387,7.0866954191704234,2.748044199897961,35.21907302128414,13.765739059764504,13.74303355006323,4.956741954306655,4.245668887490093,2.440535268904735
3.685808906625,17.421114983220914,5.298666912116688,5.540239420653855,2.1411841557923936,3.5810592872211977,1.5173548941675403,35.7291868400087,15.232532578568991,20.390123874473264,5.564939821599841,4.659094464100581,2.8640508576064723
4.5207158965000005,18.367781760276156,5.583268498657156,4.863745059282001,1.9922114241661444,2.2541858800182495,0.9930508665552171,36.41776901941124,17.146799652514535,25.59028050248098,5.422911444923902,5.508391929864761,3.6838782890877826
5.3352593014375005,18.30032993095473,5.559877675771759,4.890410310959694,1.9063257709673669,2.4777620385597623,1.0379777296598254,36.3881818295534,15.574871856804648,23.585639209123407,5.465746413994964,3.8716723937048547,2.403457322811932
6.1701662913125,15.146828369505501,4.599607898786517,4.240701620563244,1.6037192861860325,2.3581043856293324,0.9652257087393865,36.23012162903938,14.603266839735998,21.461611612676542,5.570525357259292,2.505096669063266,1.4808513748061796
6.9847096951875,11.478948718553822,3.4843301708172794,3.724896296766821,1.3543344061286804,2.2129565324454488,0.8922712949789281,35.63988087375186,13.29937151682812,19.57027641922033,5.433782780240305,1.3232634991942658,0.7312793314334577
7.8196166850625,9.980569242199008,3.0283361916912184,3.5862610198979556,1.2955352659931962,1.865724219196541,0.7888279858288887,35.14224577398438,13.044009210979553,21.018097040660226,5.111856072024136,0.8558926089516237,0.4667653994914894
8.63416009,10.98802963117658,3.3328803208913054,3.9310630638258646,1.451222076345137,1.495862308270026,0.6886726337451248,35.16521376603443,13.739836418441062,25.186765393562993,4.502059407829518,0.9120595404303093,0.5154130777078565
