 ,M31,M33,M51,NGC 6946
B_tot,0.004700953646950305,0.008213676505851813,0.006644806534134789,0.0018167919065998246
B_reg,0.00582798946028173,0.004391512232718386,0.013389840310871573,0.007073011406185289
B_ord,0.004700953646950305,0.008213676505851813,0.006644806534134789,0.0018167919065998246
