 ,M31,M33,M51,NGC 6946
B_tot,-0.03722955818000501,-0.1156759440970931,-0.047998976709822,-0.008657647532002856
B_reg,-0.04283851402087063,-0.08760724286568605,-0.1031941619605824,-0.061720399430259656
B_ord,-0.043109412060788325,-0.09408765836410786,-0.07114378140374222,-0.03077898867853634
