rel_err_q,rel_err_omega,rel_err_sigmagas,rel_err_sigmatot,rel_err_sigmasfr,rel_err_T
0.4126175681768203,0.25430073890161103,0.25465020017757994,0.10962526830724803,0.10962526830724803,0.1293316696550261
0.45707461658863435,0.3095491335509898,0.2531514710633559,0.10962526830724804,0.10962526830724803,0.12383090473388857
0.3434347987553724,0.3384659727556314,0.25064134072303457,0.10962526830724804,0.10962526830724803,0.11865794738263398
0.38585885031995404,0.3688856069855421,0.24690342460498432,0.10962526830724804,0.10962526830724804,0.11401135995862724
0.4779489876009803,0.3617998793634465,0.24214646576199456,0.10962526830724804,0.10962526830724803,0.10961171024606037
0.40946165854940114,0.35668893955614944,0.23605698864422395,0.10962526830724804,0.10962526830724804,0.1055390050912173
0.3626026213842976,0.3585011508752392,0.22424822999011798,0.10962526830724804,0.10962526830724804,0.10184709761755155
0.2832613633984104,0.3691987938682218,0.20443519812465663,0.10962526830724804,0.10962526830724803,0.09840475651133623
0.22259792392856273,0.40017976343875816,0.19415644627327885,0.10962526830724804,0.10962526830724804,0.09510976558588127
0.18952979309280152,0.44481259096073494,0.20416250567182923,0.10962526830724804,0.10962526830724803,0.09202828483075547
