r,bord_biso
0.754414125,0.36
1.252006421,0.422727273
1.749598716,0.529090909
2.247191011,0.520909091
2.744783307,0.488181818
3.258426966,0.501818182
3.739967897,0.501818182
4.253611557,0.485454545
4.751203852,0.463636364
5.248796148,0.441818182
5.746388443,0.51
6.260032103,0.624545455
6.757624398,0.815454545
7.255216693,0.979090909
7.752808989,0.973636364
8.250401284,1.090909091
