r,ratio
0.421090909090909,0.0012212648549239933
0.5895272727272727,0.0020436146754439616
0.7860363636363636,0.003104918206301012
0.9825454545454544,0.004052002878603777
1.2071272727272726,0.004871062224759362
1.4597818181818183,0.005650238961633465
1.7264727272727272,0.006356363392847196
2.035272727272727,0.007059458042466735
2.3581090909090907,0.00762130729753767
2.7230545454545454,0.008184477712914901
3.1301090909090905,0.008708209887661965
3.5652363636363638,0.009179042082282656
4.056509090909091,0.00957953803153995
4.589890909090909,0.010701152487849966
5.179418181818182,0.012358652392210723
5.8250909090909095,0.014929986424388064
6.526909090909092,0.01818186969757632
7.312945454545454,0.02101609337316969
8.169163636363637,0.024372094162518752
9.1096,0.030385877672812943
10.14829090909091,0.04016158708539175
11.299272727272728,0.04993711989860139
12.54850909090909,0.05964150257571917
13.93810909090909,0.06614612726182846
15.44,0.07109434707068496
17.124363636363636,0.07425742337831774
18.94909090909091,0.07671302869970191
