r,ratio
6.25,0.023174760185442837
6.750000000000001,0.02152196162732209
7.25,0.022136968970481796
7.75,0.027039599491966954
8.25,0.031202825900749135
8.75,0.037213051266841206
9.25,0.04408278956770167
9.75,0.05171899027269916
10.25,0.055003779768268674
10.75,0.059828304543877546
11.25,0.06347256600381539
11.75,0.06888528865684791
12.25,0.07348799975668047
12.75,0.07478370877029648
13.25,0.0764911984934383
13.749999999999998,0.07689796678687409
14.25,0.07479945140383595
14.75,0.0693975387747779
15.249999999999998,0.06432160504455256
15.75,0.06038440077528324
16.25,0.056270605230748325
16.75,0.052887933120965416
