r,ratio
1.087921325776271,0.004422686669474323
1.8534955916271183,0.006649043865594721
2.578776474169491,0.007945849830426148
3.3443507400203387,0.008909097111969128
4.109925005871186,0.009609134124199961
4.875499271722034,0.011446521448403232
5.5604867735728805,0.013734971646046793
6.326061039423728,0.01730016488938417
7.091635305274576,0.0202396051530724
7.816916187816948,0.02278933709627316
8.582490453667795,0.026750314881967448
9.307771337518645,0.03197303139821507
10.073345603369493,0.039460992276500795
10.79862648722034,0.04550812582411041
11.523907369762712,0.05128091420166907
12.329775018922032,0.05791173607812066
13.095349287389828,0.0625367592483668
13.820630163389827,0.06551145381747316
14.545911052474574,0.06799394032935747
15.311485317016947,0.07052173547662015
16.036766206101696,0.07337130652058844
16.80234047064407,0.07350301244521663
17.56791473518644,0.07549367144811588
18.33348899972881,0.07612561409257015
