r,ratio
0.6153,0.057388744982437116
0.8592,0.06513428474669855
1.103,0.07561854575860828
1.346,0.08956636267658584
1.5900000000000003,0.10518356557260741
1.834,0.12249423241502717
2.089,0.14107576978457645
2.333,0.15899593625206165
2.577,0.17745623040643244
2.821,0.19631604019378115
3.065,0.22403932529768925
3.309,0.26253076741976994
3.552,0.31004719441470235
3.796,0.3687940691837544
4.04,0.42370639614306044
4.284,0.4724246424292867
4.528,0.5353856654329566
4.772000000000001,0.6158047925296182
5.026999999999999,0.6970904359645651
5.270999999999999,0.7705015561465465
5.514999999999999,0.868044553169674
5.759,0.9927676824580464
6.002,1.1352019690060378
6.246,1.2991538107015772
6.49,1.4308838327866846
6.734,1.5232470740741721
6.978,1.5778878944530879
7.222,1.5849517500270434
7.465,1.562190530416355
7.709,1.5003543661175458
7.952999999999999,1.4482191888073426
