r,ratio
6.25,0.01459736832407777
6.750000000000001,0.016305557927811718
7.25,0.01825746811172873
7.75,0.021495401701231702
8.25,0.02573412199837083
8.75,0.029807762076016965
9.25,0.034450789964048496
9.75,0.03808984948604778
10.25,0.04063393716331685
10.75,0.04400785126964515
11.25,0.04800449349529286
11.75,0.05299911230190286
12.25,0.05839783286835113
12.75,0.06371044642032488
13.25,0.06890346702106451
13.749999999999998,0.07072083440218939
14.25,0.07013905728084191
14.75,0.06624183378197711
15.249999999999998,0.06142689497661367
15.75,0.057879927403969036
16.25,0.05423706169050755
16.75,0.051597551157790834
